"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","Num Cands","Num Seats"
"1","3","2","9","10","13","4","5","11","12","7","8","6","13.0","1.0"
"9","4","8","1","2","3","7","10","13","5","6","skipped","skipped","nan","nan"
"3","1","7","10","9","13","2","4","11","12","8","5","6","nan","nan"
"4","8","3","10","6","12","5","11","2","7","9","13","1","nan","nan"
"8","4","11","2","3","1","7","10","5","13","6","9","skipped","nan","nan"
"6","11","13","9","8","7","1","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","4","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","4","9","1","10","8","5","13","6","skipped","skipped","skipped","skipped","nan","nan"
"1","7","2","10","4","12","11","3","8","13","5","6","9","nan","nan"
"3","13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","10","2","1","3","11","6","4","13","12","8","9","nan","nan"
"5","13","2","10","8","4","7","9","1","3","6","skipped","skipped","nan","nan"
"3","13","2","1","5","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","13","2","3","1","6","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","4","11","5","8","6","12","10","13","7","9","1","nan","nan"
"8","11","6","2","1","3","5","7","4","12","13","10","9","nan","nan"
"3","12","4","5","13","6","7","1","2","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","3","13","9","6","8","2","1","5","skipped","skipped","skipped","nan","nan"
"4","3","13","2","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","3","10","11","12","7","2","1","13","skipped","skipped","skipped","nan","nan"
"11","2","1","3","13","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","4","13","2","3","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","1","2","3","13","12","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","7","2","1","10","5","6","9","12","13","4","11","nan","nan"
"13","4","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","6","7","11","13","5","2","9","4","12","8","10","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","4","9","10","13","3","6","12","11","8","5","7","nan","nan"
"6","5","7","2","1","8","3","10","12","13","11","4","9","nan","nan"
"12","3","4","6","5","7","13","11","1","9","8","10","2","nan","nan"
"1","3","5","13","2","7","6","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","3","1","4","2","7","6","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","3","8","2","1","10","9","7","12","13","4","5","skipped","nan","nan"
"13","3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","2","8","9","10","6","4","13","12","11","5","7","nan","nan"
"13","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","8","2","1","3","10","7","9","13","skipped","skipped","skipped","nan","nan"
"9","7","11","3","2","1","6","10","8","12","13","5","4","nan","nan"
"2","3","1","9","10","8","4","11","13","7","5","12","6","nan","nan"
"3","4","5","12","2","1","13","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","1","10","12","13","6","8","9","11","4","2","7","nan","nan"
"5","2","4","6","7","9","10","8","11","13","12","1","3","nan","nan"
"11","4","9","1","2","3","8","10","7","13","12","5","6","nan","nan"
"2","1","4","13","3","6","5","7","8","skipped","skipped","skipped","skipped","nan","nan"
"1","8","4","10","11","12","3","2","7","13","6","9","5","nan","nan"
"13","2","1","3","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","8","5","4","13","3","9","10","1","6","skipped","skipped","nan","nan"
"10","1","13","11","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","11","2","1","3","7","6","13","skipped","skipped","skipped","skipped","nan","nan"
"3","5","6","8","9","10","1","4","13","11","7","2","12","nan","nan"
"13","10","2","1","7","8","4","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","3","9","2","1","7","10","8","11","13","12","4","5","nan","nan"
"13","6","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","12","6","2","1","3","7","8","13","11","9","skipped","skipped","nan","nan"
"2","13","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","8","9","2","1","3","5","10","6","13","12","4","7","nan","nan"
"2","3","4","13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","11","12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","5","1","13","2","9","3","6","skipped","skipped","skipped","skipped","nan","nan"
"1","3","6","13","12","11","4","2","8","10","9","5","7","nan","nan"
"1","6","2","12","9","13","4","7","11","10","8","3","5","nan","nan"
"13","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","6","2","1","7","11","10","3","13","12","4","5","nan","nan"
"4","5","13","2","1","3","7","6","8","skipped","skipped","skipped","skipped","nan","nan"
"5","9","6","11","10","13","2","12","4","8","1","7","3","nan","nan"
"1","13","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","1","3","10","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","7","8","2","1","3","5","10","6","13","4","9","skipped","nan","nan"
"13","1","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","6","4","1","11","10","5","13","2","7","12","8","nan","nan"
"1","8","3","11","7","13","6","12","9","5","2","4","10","nan","nan"
"7","13","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","13","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","3","13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","13","4","1","3","12","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","3","11","13","12","8","6","4","1","7","skipped","skipped","nan","nan"
"7","3","4","5","1","6","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","5","9","3","12","4","8","7","6","13","1","11","nan","nan"
"10","4","6","1","3","2","9","11","7","13","12","5","8","nan","nan"
"10","12","13","1","8","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","1","8","13","7","2","10","11","5","9","3","skipped","nan","nan"
"13","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","11","5","1","2","3","10","9","4","12","13","8","6","nan","nan"
"1","5","3","13","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","7","1","5","6","13","4","8","skipped","skipped","skipped","skipped","nan","nan"
"4","7","6","1","8","11","3","10","13","12","5","skipped","skipped","nan","nan"
