"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"8","4","3","2","5","1","7","6","9","9.0","1.0"
"1","3","7","6","9","8","5","4","2","nan","nan"
"7","9","4","3","5","1","2","6","8","nan","nan"
"9","6","1","5","2","7","3","skipped","skipped","nan","nan"
"9","3","6","2","7","4","5","8","1","nan","nan"
"8","6","5","4","9","1","7","2","3","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","2","5","1","3","4","6","7","nan","nan"
"7","5","4","3","6","1","8","2","9","nan","nan"
"9","3","5","1","4","2","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","3","4","2","1","6","5","9","nan","nan"
"9","4","2","7","6","1","5","3","8","nan","nan"
"6","4","3","9","5","2","8","1","7","nan","nan"
"9","7","3","5","4","1","2","skipped","skipped","nan","nan"
"8","5","3","7","2","1","4","9","skipped","nan","nan"
"6","9","3","1","8","2","5","4","7","nan","nan"
"3","7","1","5","8","2","6","4","9","nan","nan"
"6","1","3","2","5","4","9","skipped","skipped","nan","nan"
"2","9","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","2","8","4","1","6","5","9","nan","nan"
"7","3","5","1","4","2","9","6","8","nan","nan"
"4","5","3","6","8","1","7","2","9","nan","nan"
"7","4","2","8","9","1","6","3","5","nan","nan"
"6","2","1","5","8","3","9","7","4","nan","nan"
"1","9","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","6","4","5","9","1","3","2","7","nan","nan"
"9","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","4","3","2","9","1","8","5","nan","nan"
"8","9","3","1","4","2","skipped","skipped","skipped","nan","nan"
"6","8","3","1","2","4","9","5","7","nan","nan"
"4","8","2","1","3","5","9","skipped","skipped","nan","nan"
"6","9","4","1","5","3","2","skipped","skipped","nan","nan"
"6","9","2","8","4","1","5","3","skipped","nan","nan"
"9","2","7","8","1","skipped","skipped","skipped","skipped","nan","nan"
"9","3","1","2","4","5","skipped","skipped","skipped","nan","nan"
"1","7","8","5","6","3","2","4","9","nan","nan"
"4","9","1","2","3","5","skipped","skipped","skipped","nan","nan"
"3","9","7","6","4","1","5","2","8","nan","nan"
"9","1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","6","8","1","2","skipped","skipped","skipped","skipped","nan","nan"
"9","2","8","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","4","1","9","2","5","8","6","nan","nan"
"6","3","5","4","7","1","8","2","9","nan","nan"
"5","4","2","7","3","6","9","8","1","nan","nan"
"9","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","3","7","8","1","6","2","9","nan","nan"
"8","6","3","4","2","1","7","5","9","nan","nan"
"7","4","2","8","1","6","5","9","3","nan","nan"
"8","5","3","4","9","2","7","1","6","nan","nan"
"7","5","3","8","6","1","4","2","9","nan","nan"
"7","2","1","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","4","2","5","9","1","7","3","8","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","3","6","1","4","7","9","8","nan","nan"
"9","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","5","4","2","1","skipped","skipped","skipped","nan","nan"
"7","9","1","4","5","2","6","3","8","nan","nan"
"9","4","3","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","4","1","6","3","2","5","9","nan","nan"
"9","8","4","1","5","skipped","skipped","skipped","skipped","nan","nan"
"9","5","3","4","1","2","skipped","skipped","skipped","nan","nan"
