"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","Num Cands","Num Seats"
"1","19","11","2","14","8","17","18","4","7","16","13","3","12","15","5","10","9","6","19.0","1.0"
"7","13","12","17","1","11","2","14","6","5","3","18","10","8","9","19","4","skipped","skipped","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","12","3","10","9","14","17","1","7","6","15","2","16","11","13","4","8","skipped","skipped","nan","nan"
"2","12","11","9","10","19","17","15","1","5","16","14","6","7","3","8","13","4","18","nan","nan"
"7","1","4","2","6","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","19","3","5","6","2","4","8","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","18","1","19","3","2","5","6","8","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","2","6","17","11","16","3","1","8","15","5","19","13","14","12","7","18","10","nan","nan"
"1","8","6","11","17","15","16","2","4","7","9","3","19","18","5","13","10","12","14","nan","nan"
"1","8","16","15","12","18","5","2","19","10","11","3","17","13","14","4","7","6","skipped","nan","nan"
"3","4","15","6","1","7","14","11","2","8","12","9","10","13","5","skipped","skipped","skipped","skipped","nan","nan"
"19","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","19","5","2","1","7","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","17","5","12","7","2","15","1","8","18","9","3","13","19","11","10","14","16","4","nan","nan"
"1","13","4","14","5","19","15","2","16","7","3","10","9","8","12","6","11","skipped","skipped","nan","nan"
"2","19","1","5","4","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","15","10","8","1","7","2","19","5","4","9","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","4","5","8","19","18","11","14","3","12","2","6","13","7","15","9","17","10","nan","nan"
"1","12","2","6","18","15","4","16","10","11","9","5","14","17","7","19","13","8","3","nan","nan"
"3","19","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","19","7","12","2","11","16","14","4","6","13","15","18","8","3","17","10","5","9","nan","nan"
"1","11","6","3","4","13","14","9","12","17","8","2","18","15","7","19","5","10","16","nan","nan"
"1","17","4","3","6","19","16","2","5","18","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","7","6","14","12","15","5","4","2","16","10","3","17","8","19","13","11","18","nan","nan"
"2","11","9","6","18","17","10","1","5","4","14","7","16","19","3","13","15","8","12","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","15","3","5","16","10","1","4","13","11","6","17","14","8","12","9","7","skipped","skipped","nan","nan"
"6","8","11","5","1","4","3","10","7","2","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","1","4","9","12","3","11","10","7","5","14","13","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","18","1","17","9","15","19","12","16","8","5","2","7","14","4","6","13","11","10","nan","nan"
"1","5","7","12","4","16","11","17","8","19","6","9","18","13","3","15","14","2","10","nan","nan"
"1","12","11","10","3","18","13","14","16","4","7","15","5","19","2","9","6","17","skipped","nan","nan"
"19","5","2","4","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","13","19","12","6","8","1","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","14","9","1","13","10","18","4","7","3","17","2","5","19","16","8","12","15","11","nan","nan"
"2","4","5","9","11","14","3","6","7","18","1","12","15","16","13","10","17","8","skipped","nan","nan"
"1","19","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","17","18","15","3","19","9","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","15","6","5","14","19","18","1","9","2","17","10","8","3","7","4","12","13","11","nan","nan"
"10","7","12","15","6","13","5","1","2","3","16","4","19","18","14","8","11","17","9","nan","nan"
"3","13","2","8","10","19","16","4","12","15","11","5","14","18","1","17","7","6","9","nan","nan"
"3","15","7","5","11","13","8","12","1","10","6","4","14","2","9","skipped","skipped","skipped","skipped","nan","nan"
"19","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","17","5","11","12","1","3","8","15","2","6","16","13","10","9","14","7","skipped","skipped","nan","nan"
"2","19","3","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","11","14","2","15","17","5","13","6","18","10","3","4","7","16","8","9","skipped","nan","nan"
"1","8","12","9","7","13","18","4","6","2","19","3","15","17","16","11","14","10","5","nan","nan"
"1","17","2","8","16","15","19","3","5","7","9","6","10","11","4","12","18","13","skipped","nan","nan"
"2","12","4","10","11","18","19","5","9","15","6","1","13","17","7","16","3","14","8","nan","nan"
"3","4","6","5","13","17","1","12","11","9","2","8","19","7","10","18","14","skipped","skipped","nan","nan"
"5","19","1","2","6","3","4","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","14","3","10","13","4","1","7","8","16","2","5","6","17","12","15","18","9","skipped","nan","nan"
"1","13","3","15","6","18","17","4","7","5","8","9","14","19","2","12","10","16","11","nan","nan"
"2","19","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","8","12","13","14","2","3","1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","18","3","5","9","19","15","2","16","13","1","14","4","10","12","11","skipped","skipped","skipped","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","8","19","13","11","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","3","19","4","18","7","1","6","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","19","1","2","6","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","19","16","1","13","14","12","17","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","14","4","12","5","17","15","13","8","11","10","9","3","7","2","16","6","18","skipped","nan","nan"
"1","5","9","10","2","17","18","14","13","11","19","6","12","7","3","16","8","4","15","nan","nan"
"1","19","3","2","5","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","1","6","4","2","7","9","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","17","4","11","15","12","19","1","5","10","18","2","14","8","6","7","16","13","9","nan","nan"
"1","7","3","9","6","13","19","2","14","12","5","8","15","11","4","18","10","16","17","nan","nan"
