"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"4","9","3","2","1","skipped","skipped","skipped","skipped","9.0","1.0"
"9","5","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","4","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","4","3","1","5","skipped","skipped","skipped","nan","nan"
"4","9","3","8","5","7","2","1","6","nan","nan"
"6","4","7","3","2","1","9","8","5","nan","nan"
"4","9","3","6","5","8","1","2","7","nan","nan"
"9","5","1","4","3","skipped","skipped","skipped","skipped","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","7","9","1","3","5","2","6","nan","nan"
"9","1","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","3","2","5","4","9","6","7","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","3","7","1","2","9","4","8","nan","nan"
"8","4","6","7","5","1","2","9","3","nan","nan"
"4","5","3","7","6","8","2","1","9","nan","nan"
"6","9","3","5","2","7","4","1","8","nan","nan"
"5","3","7","8","4","6","2","1","9","nan","nan"
"5","1","6","2","9","4","7","3","8","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","7","6","3","8","4","5","nan","nan"
"1","4","6","3","7","8","2","9","5","nan","nan"
"6","5","7","9","8","3","2","4","1","nan","nan"
"2","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","5","6","4","3","8","9","skipped","nan","nan"
"6","4","9","3","1","5","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","7","2","3","4","6","9","5","nan","nan"
"6","5","4","9","3","2","1","8","skipped","nan","nan"
"5","1","7","6","9","8","2","4","3","nan","nan"
"2","5","1","3","4","skipped","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","2","5","6","4","3","1","9","nan","nan"
"3","4","9","2","5","8","6","1","7","nan","nan"
"3","2","4","8","1","5","6","9","7","nan","nan"
"9","4","5","3","1","2","skipped","skipped","skipped","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","8","3","2","7","5","6","9","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","7","4","2","1","8","9","3","nan","nan"
"8","6","4","7","3","5","2","1","9","nan","nan"
"2","6","5","4","7","9","1","3","skipped","nan","nan"
"4","6","3","9","7","5","2","1","8","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","7","8","6","2","1","4","9","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","5","8","6","4","3","1","9","nan","nan"
"6","3","5","7","9","1","4","2","8","nan","nan"
"9","2","4","3","1","skipped","skipped","skipped","skipped","nan","nan"
"8","2","9","6","3","1","5","7","4","nan","nan"
"8","9","5","1","2","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","9","2","6","4","7","8","3","nan","nan"
"9","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","3","4","9","1","skipped","skipped","skipped","nan","nan"
"7","2","4","6","5","1","8","9","3","nan","nan"
"9","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","8","3","2","1","7","9","4","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","5","2","1","3","7","9","8","nan","nan"
"6","7","4","8","3","5","1","9","2","nan","nan"
"9","7","2","5","4","8","1","3","6","nan","nan"
"2","1","9","4","5","3","8","7","6","nan","nan"
"2","7","1","8","5","9","4","3","6","nan","nan"
"4","7","6","3","1","9","2","5","8","nan","nan"
"9","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
