"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"2","8","10","7","5","6","9","1","4","3","10.0","1.0"
"10","9","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","7","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","5","3","7","8","skipped","skipped","skipped","skipped","nan","nan"
"1","6","10","8","3","2","4","5","7","skipped","nan","nan"
"7","9","8","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","10","8","1","7","9","3","4","2","nan","nan"
"4","10","5","9","6","1","7","2","8","3","nan","nan"
"3","5","7","8","1","9","10","4","6","2","nan","nan"
"5","7","10","4","3","9","6","2","8","1","nan","nan"
"8","7","10","3","6","1","4","2","9","5","nan","nan"
"1","5","10","6","7","2","8","3","4","9","nan","nan"
"8","7","6","5","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","9","2","1","3","10","7","4","6","nan","nan"
"5","7","8","3","1","4","2","6","skipped","skipped","nan","nan"
"3","9","1","6","7","10","8","2","4","5","nan","nan"
"9","10","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","3","10","1","9","4","8","7","5","nan","nan"
"10","4","9","2","7","1","8","6","5","3","nan","nan"
"1","9","10","2","5","7","8","3","6","4","nan","nan"
"10","9","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","3","4","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","8","3","4","7","9","6","5","10","nan","nan"
"3","8","4","7","6","1","10","2","5","9","nan","nan"
"1","9","8","7","5","6","3","4","2","10","nan","nan"
"1","5","10","3","8","7","6","4","2","9","nan","nan"
"8","5","10","2","1","6","9","4","3","7","nan","nan"
"1","5","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","7","6","3","5","8","2","4","9","nan","nan"
"3","10","8","4","7","1","9","2","6","5","nan","nan"
"3","7","9","2","4","8","1","6","10","5","nan","nan"
"10","6","8","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","3","4","8","1","10","5","6","9","nan","nan"
"1","5","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","4","9","1","5","10","6","skipped","skipped","nan","nan"
"6","5","4","8","10","9","3","2","7","1","nan","nan"
"2","1","10","8","3","9","7","4","6","5","nan","nan"
"10","8","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","8","7","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","10","8","4","5","7","1","2","6","nan","nan"
"9","7","10","4","5","1","8","3","2","6","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","10","6","1","7","9","4","8","2","nan","nan"
"10","9","7","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","10","9","7","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","10","4","5","1","7","2","8","3","nan","nan"
"9","10","7","5","2","1","8","4","6","skipped","nan","nan"
"1","5","10","7","6","3","9","2","8","4","nan","nan"
"3","5","6","2","4","1","skipped","skipped","skipped","skipped","nan","nan"
"9","1","10","4","6","2","7","3","5","8","nan","nan"
"3","10","8","4","5","2","1","skipped","skipped","skipped","nan","nan"
"1","6","9","10","5","4","7","3","8","2","nan","nan"
"8","9","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","7","2","6","1","10","4","5","3","nan","nan"
"9","10","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","5","2","3","4","10","9","6","8","nan","nan"
"1","8","10","7","9","2","3","4","6","5","nan","nan"
"4","9","5","1","6","3","8","7","10","2","nan","nan"
"9","10","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","6","4","1","7","10","2","8","5","nan","nan"
"10","8","7","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","10","8","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","4","10","6","9","8","2","1","3","nan","nan"
"9","5","4","1","8","2","3","6","7","10","nan","nan"
"9","7","8","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","10","5","4","6","9","1","3","8","nan","nan"
"1","9","8","6","2","4","10","5","7","3","nan","nan"
"1","8","9","10","4","5","7","3","6","2","nan","nan"
"1","10","6","5","7","4","9","8","2","3","nan","nan"
"1","9","10","5","3","2","8","7","4","6","nan","nan"
"10","8","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","10","5","8","3","6","4","9","1","nan","nan"
"3","2","1","10","8","6","4","9","7","5","nan","nan"
"4","6","7","2","10","5","8","3","1","9","nan","nan"
"7","10","4","6","1","5","8","3","2","9","nan","nan"
"1","8","9","6","2","7","5","4","3","skipped","nan","nan"
"1","4","6","10","5","9","7","2","8","3","nan","nan"
"1","5","2","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","10","8","4","5","7","6","1","3","9","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
