"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"5","2","3","7","4","8","1","6","8.0","1.0"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","2","3","5","4","skipped","skipped","nan","nan"
"6","1","2","8","5","3","7","4","nan","nan"
"2","1","3","4","5","8","7","6","nan","nan"
"1","8","3","6","7","2","5","4","nan","nan"
"5","2","8","4","1","3","7","6","nan","nan"
"7","4","6","8","1","3","2","5","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","8","1","4","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","8","3","5","4","2","7","6","nan","nan"
"6","7","2","1","4","8","5","3","nan","nan"
"3","1","6","5","8","4","2","7","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","2","3","6","5","7","8","nan","nan"
"8","1","4","5","3","skipped","skipped","skipped","nan","nan"
"1","8","3","6","5","2","7","4","nan","nan"
"8","2","3","4","1","skipped","skipped","skipped","nan","nan"
"3","1","4","6","8","7","5","2","nan","nan"
"3","6","1","2","7","5","4","skipped","nan","nan"
"8","3","2","7","4","1","6","5","nan","nan"
"4","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","3","8","7","6","2","4","nan","nan"
"8","4","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","4","8","6","5","3","7","nan","nan"
"5","2","6","7","1","4","8","3","nan","nan"
"4","3","5","1","2","skipped","skipped","skipped","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","8","1","5","skipped","skipped","skipped","nan","nan"
"3","4","5","1","2","8","6","7","nan","nan"
"5","1","4","7","6","8","3","2","nan","nan"
"7","1","2","5","3","6","8","4","nan","nan"
"8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","5","8","4","1","3","7","nan","nan"
"8","1","3","6","5","4","7","2","nan","nan"
"3","1","4","5","8","2","6","7","nan","nan"
"6","3","2","7","1","4","8","skipped","nan","nan"
