"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","10.0","1.0"
"1","8","10","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","1","4","10","2","skipped","skipped","skipped","skipped","nan","nan"
"1","4","10","7","2","5","3","6","skipped","skipped","nan","nan"
"1","5","6","8","7","10","4","9","3","2","nan","nan"
"1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","4","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","1","5","6","10","7","9","2","4","nan","nan"
"8","2","1","4","7","10","3","skipped","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","3","7","4","9","2","8","5","10","nan","nan"
"1","10","4","5","3","2","skipped","skipped","skipped","skipped","nan","nan"
"1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","3","8","9","5","6","4","1","10","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","8","10","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","9","1","7","10","2","4","6","skipped","nan","nan"
"1","2","10","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","3","4","2","5","skipped","skipped","skipped","skipped","nan","nan"
"1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","10","3","6","2","5","9","skipped","skipped","nan","nan"
"10","3","4","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","9","1","2","6","7","5","3","8","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","10","4","6","2","3","skipped","skipped","skipped","nan","nan"
"1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","3","5","1","2","skipped","skipped","skipped","skipped","nan","nan"
"4","7","3","8","6","5","1","9","2","10","nan","nan"
"5","3","4","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","1","5","4","2","skipped","skipped","skipped","skipped","nan","nan"
"8","7","2","6","9","3","10","5","1","4","nan","nan"
"7","2","4","5","3","9","1","10","6","8","nan","nan"
"1","4","10","3","2","5","skipped","skipped","skipped","skipped","nan","nan"
"4","2","3","6","7","5","9","1","8","skipped","nan","nan"
"10","3","2","4","5","1","6","skipped","skipped","skipped","nan","nan"
"1","3","2","4","5","9","10","skipped","skipped","skipped","nan","nan"
"3","10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","7","5","6","4","1","9","2","skipped","nan","nan"
"10","1","4","5","3","2","skipped","skipped","skipped","skipped","nan","nan"
"1","5","10","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","10","3","6","5","7","9","2","8","nan","nan"
"10","2","4","3","1","5","skipped","skipped","skipped","skipped","nan","nan"
"1","10","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","1","4","3","5","skipped","skipped","skipped","skipped","nan","nan"
"5","1","6","3","7","9","2","8","4","10","nan","nan"
"9","2","8","4","3","7","1","6","5","10","nan","nan"
"8","5","9","6","10","3","4","1","2","7","nan","nan"
"10","5","3","4","8","7","6","9","1","2","nan","nan"
"1","2","6","4","10","5","3","skipped","skipped","skipped","nan","nan"
"8","1","3","6","4","7","2","10","5","9","nan","nan"
"1","10","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","10","3","5","4","2","skipped","skipped","skipped","nan","nan"
"8","1","4","10","3","5","2","9","7","6","nan","nan"
"8","1","3","6","4","7","2","10","5","skipped","nan","nan"
"8","3","4","2","6","9","1","10","5","7","nan","nan"
"10","4","5","3","6","7","2","1","skipped","skipped","nan","nan"
