"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"7","8","4","2","9","5","3","6","1","9.0","1.0"
"6","4","8","2","9","7","3","5","1","nan","nan"
"8","4","5","2","9","6","3","7","1","nan","nan"
"8","4","5","2","9","7","3","6","1","nan","nan"
"8","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","6","5","2","9","7","3","4","1","nan","nan"
"7","6","4","3","9","8","2","5","1","nan","nan"
"7","6","8","3","9","5","2","4","1","nan","nan"
"8","6","5","2","9","4","7","3","1","nan","nan"
"8","4","7","2","9","6","3","5","1","nan","nan"
"8","5","7","2","9","6","3","4","1","nan","nan"
"3","6","5","2","9","7","4","8","1","nan","nan"
"8","4","7","2","9","5","3","6","1","nan","nan"
"6","4","7","2","9","8","3","5","1","nan","nan"
"8","3","7","1","9","2","4","skipped","skipped","nan","nan"
"7","8","6","2","9","4","3","5","1","nan","nan"
"8","6","7","2","9","5","3","4","1","nan","nan"
"8","6","5","2","9","7","3","4","1","nan","nan"
"9","2","5","3","4","1","skipped","skipped","skipped","nan","nan"
"8","4","7","2","9","6","3","5","1","nan","nan"
"6","7","5","3","9","2","4","8","1","nan","nan"
"8","6","7","3","9","4","2","5","1","nan","nan"
"8","6","4","2","7","3","5","1","skipped","nan","nan"
"8","4","5","2","9","6","3","7","1","nan","nan"
"7","5","8","3","9","4","2","6","1","nan","nan"
"7","5","8","2","9","6","3","4","1","nan","nan"
"8","5","6","3","9","7","2","4","1","nan","nan"
"8","4","7","2","9","5","3","6","1","nan","nan"
"6","7","8","2","9","4","3","5","1","nan","nan"
"8","5","7","2","9","6","3","4","1","nan","nan"
"4","7","8","3","9","5","2","6","1","nan","nan"
"7","6","8","3","9","5","2","4","1","nan","nan"
"8","4","6","2","9","7","3","5","1","nan","nan"
"7","5","8","2","9","6","3","4","1","nan","nan"
"8","4","5","2","9","7","3","6","1","nan","nan"
"6","7","8","2","9","5","3","4","1","nan","nan"
"8","5","4","3","9","6","2","7","1","nan","nan"
"6","5","7","2","9","4","3","8","1","nan","nan"
"8","6","5","2","9","3","1","skipped","skipped","nan","nan"
"6","5","8","2","9","7","3","4","1","nan","nan"
"8","6","5","2","9","4","3","7","1","nan","nan"
"5","6","7","2","9","8","4","3","1","nan","nan"
"8","6","7","2","9","4","3","5","1","nan","nan"
"8","5","7","2","9","4","3","6","1","nan","nan"
"7","2","6","5","9","3","4","1","skipped","nan","nan"
"6","4","2","9","8","3","1","skipped","skipped","nan","nan"
"8","4","7","2","9","6","3","5","1","nan","nan"
"7","6","8","3","9","5","2","4","1","nan","nan"
"7","4","8","2","9","6","3","5","1","nan","nan"
"8","7","6","2","9","4","3","5","1","nan","nan"
"8","6","4","2","9","5","3","7","1","nan","nan"
"7","5","3","4","9","8","2","6","1","nan","nan"
"8","5","7","2","9","6","3","4","1","nan","nan"
"7","5","6","2","9","4","3","8","1","nan","nan"
"7","4","8","2","9","6","3","5","1","nan","nan"
"8","5","7","2","9","6","3","4","1","nan","nan"
"7","6","4","2","9","5","3","8","1","nan","nan"
"6","5","7","3","9","4","2","8","1","nan","nan"
"8","6","5","2","9","4","3","7","1","nan","nan"
"6","8","5","2","9","7","3","4","1","nan","nan"
"8","4","6","2","9","5","3","7","1","nan","nan"
"8","7","5","2","9","4","3","6","1","nan","nan"
"7","5","8","2","9","6","3","4","1","nan","nan"
"4","8","6","3","9","7","2","5","1","nan","nan"
"8","5","6","2","9","7","3","4","1","nan","nan"
"6","8","7","3","9","5","2","4","1","nan","nan"
"8","6","5","2","9","7","3","4","1","nan","nan"
"6","5","7","2","9","4","3","1","skipped","nan","nan"
"8","5","7","3","9","6","2","4","1","nan","nan"
"5","7","8","2","9","6","3","4","1","nan","nan"
"8","4","7","3","9","6","2","5","1","nan","nan"
