"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","Num Cands","Num Seats"
"4","12","17","10","1","11","2","3","8","16","7","9","14","13","6","skipped","skipped","17.0","1.0"
"4","5","8","7","1","3","13","17","16","12","10","6","11","15","14","2","9","nan","nan"
"2","7","12","8","9","1","15","17","6","13","4","11","10","5","16","14","3","nan","nan"
"13","15","3","6","5","14","7","16","2","17","9","1","12","11","8","10","4","nan","nan"
"11","8","1","3","9","12","14","17","16","7","10","2","5","6","15","4","13","nan","nan"
"2","13","4","7","11","17","12","5","3","15","1","10","16","9","14","8","6","nan","nan"
"16","13","6","15","17","4","11","10","1","2","9","12","5","7","3","14","8","nan","nan"
"3","13","9","10","5","11","12","6","14","7","2","1","4","skipped","skipped","skipped","skipped","nan","nan"
"4","3","7","1","16","11","17","15","13","10","14","2","6","8","12","9","5","nan","nan"
"16","8","9","11","4","14","5","6","13","10","7","1","2","12","15","17","3","nan","nan"
"7","14","3","9","17","6","15","10","11","13","2","8","1","12","5","4","skipped","nan","nan"
"16","8","9","11","4","14","5","6","13","10","7","1","2","12","15","17","3","nan","nan"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","14","6","15","10","7","16","17","13","9","11","3","2","1","8","12","skipped","nan","nan"
"12","17","7","3","11","10","6","2","8","9","4","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","17","16","15","14","1","4","2","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","8","9","11","4","14","5","6","13","10","7","1","2","12","15","17","3","nan","nan"
"4","13","3","6","14","8","17","10","15","12","9","7","1","2","11","5","16","nan","nan"
"17","9","2","7","10","5","14","16","13","8","4","6","12","3","15","1","11","nan","nan"
"17","14","2","16","9","4","8","12","11","1","3","13","15","10","7","5","6","nan","nan"
"16","8","9","11","4","14","5","6","13","10","7","1","2","12","15","17","3","nan","nan"
"5","16","2","13","8","1","17","15","7","11","12","10","4","9","14","6","3","nan","nan"
