rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,1.0,15.0
1,4,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
7,11,8,14,10,4,5,3,12,1,Skipped,13,2,9,6,,
5,2,3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
5,8,9,Skipped,4,2,6,Skipped,11,10,Skipped,1,7,3,12,,
6,3,7,11,Skipped,10,13,1,4,2,Skipped,12,8,5,9,,
13,13,3,13,13,13,13,14,1,13,13,15,2,13,13,,
1,4,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,2,Skipped,3,,
9,7,10,13,5,3,Skipped,2,11,4,14,13,8,6,1,,
4,10,7,Skipped,Skipped,2,6,8,1,11,Skipped,Skipped,5,3,9,,
6,8,3,5,Skipped,1,Skipped,Skipped,Skipped,Skipped,4,9,2,Skipped,7,,
12,6,5,3,10,8,13,1,14,15,9,4,7,2,11,,
Skipped,6,Skipped,7,4,Skipped,3,1,2,Skipped,Skipped,5,Skipped,Skipped,Skipped,,
5,2,6,Skipped,Skipped,1,Skipped,Skipped,Skipped,3,Skipped,Skipped,4,Skipped,Skipped,,
6,5,2,11,10,1,12,8,15,4,14,13,3,7,11,,
5,6,3,13,13,4,13,1,7,9,14,15,2,13,8,,
10,9,5,11,Skipped,2,8,4,Skipped,1,7,12,6,Skipped,3,,
Skipped,Skipped,3,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,1,4,Skipped,2,,
6,7,5,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,8,3,Skipped,4,,
5,8,7,Skipped,Skipped,6,Skipped,4,Skipped,1,Skipped,Skipped,2,Skipped,3,,
8,6,3,10,13,7,15,9,5,14,11,4,2,12,1,,
1,6,3,11,10,5,12,8,9,7,14,13,4,15,2,,
5,2,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,6,,
Skipped,2,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
8,4,5,10,9,2,Skipped,1,12,Skipped,11,7,3,Skipped,6,,
4,8,3,Skipped,9,2,Skipped,Skipped,10,Skipped,Skipped,6,7,1,5,,
Skipped,4,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
6,5,8,9,12,3,Skipped,4,Skipped,2,Skipped,11,7,10,1,,
6,Skipped,7,Skipped,Skipped,1,Skipped,2,Skipped,5,Skipped,Skipped,3,Skipped,4,,
4,Skipped,9,7,Skipped,6,Skipped,1,12,2,10,11,3,8,5,,
6,4,5,Skipped,8,1,3,Skipped,Skipped,Skipped,Skipped,9,2,Skipped,7,,
5,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,3,2,Skipped,Skipped,,
3,Skipped,3,Skipped,Skipped,2,Skipped,1,4,2,Skipped,4,3,Skipped,2,,
8,5,7,Skipped,4,1,Skipped,Skipped,9,6,Skipped,Skipped,3,Skipped,2,,
2,2,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
8,5,4,?,9,2,?,1,11,3,?,?,7,6,10,,
