"rank1","rank2","rank3","rank4","rank5","rank6","Num Cands","Num Seats"
"6","1","3","5","2","4","nan","Unknown"
"3","4","2","6","5","1","nan","Unknown"
"5","4","3","1","6","2","nan","Unknown"
"4","6","2","1","5","3","nan","Unknown"
"4","1","6","2","3","5","nan","Unknown"
"5","4","6","1","2","3","nan","Unknown"
"4","2","3","1","6","5","nan","Unknown"
"5","2","3","4","6","1","nan","Unknown"
"1","4","6","3","skipped","skipped","nan","Unknown"
"1","3","6","5","2","4","nan","Unknown"
"6","1","skipped","skipped","skipped","skipped","nan","Unknown"
"6","5","2","1","4","3","nan","Unknown"
"4","2","6","1","5","skipped","nan","Unknown"
"4","3","2","1","5","6","nan","Unknown"
"3","1","2","4","6","5","nan","Unknown"
"2","1","5","4","3","6","nan","Unknown"
"2","4","6","1","5","3","nan","Unknown"
"3","2","1","5","4","skipped","nan","Unknown"
"5","6","2","4","3","1","nan","Unknown"
"2","4","3","6","5","1","nan","Unknown"
"1","6","2","skipped","skipped","skipped","nan","Unknown"
"1","2","6","3","5","4","nan","Unknown"
"3","2","1","4","6","5","nan","Unknown"
"3","5","6","1","2","4","nan","Unknown"
"4","3","2","5","6","1","nan","Unknown"
"2","5","6","1","4","3","nan","Unknown"
"1","6","skipped","skipped","skipped","skipped","nan","Unknown"
"3","6","5","4","1","2","nan","Unknown"
"5","3","6","2","4","1","nan","Unknown"
"2","4","5","6","3","1","nan","Unknown"
"2","3","6","1","5","4","nan","Unknown"
"4","3","6","1","5","2","nan","Unknown"
"2","1","3","5","4","6","nan","Unknown"
"1","3","2","6","5","4","nan","Unknown"
"6","1","2","3","skipped","skipped","nan","Unknown"
"2","6","5","3","4","1","nan","Unknown"
"5","4","2","3","6","1","nan","Unknown"
"1","2","5","6","4","3","nan","Unknown"
"2","1","6","4","5","3","nan","Unknown"
"2","3","5","1","6","4","nan","Unknown"
"5","3","6","1","4","2","nan","Unknown"
"2","1","5","6","3","4","nan","Unknown"
"5","6","1","skipped","skipped","skipped","nan","Unknown"
"6","3","2","1","5","4","nan","Unknown"
"6","3","1","2","5","4","nan","Unknown"
"4","2","6","3","5","1","nan","Unknown"
"1","4","6","2","5","3","nan","Unknown"
"1","4","6","3","5","2","nan","Unknown"
"2","5","6","1","3","4","nan","Unknown"
"1","6","2","skipped","skipped","skipped","nan","Unknown"
"1","3","6","4","5","2","nan","Unknown"
"5","2","1","3","6","4","nan","Unknown"
"4","5","2","6","3","1","nan","Unknown"
"6","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"2","4","3","1","5","6","nan","Unknown"
"3","5","1","2","6","4","nan","Unknown"
"4","1","2","5","6","3","nan","Unknown"
"3","5","6","1","2","4","nan","Unknown"
"4","1","2","5","6","3","nan","Unknown"
"4","6","5","1","skipped","skipped","nan","Unknown"
"1","6","skipped","skipped","skipped","skipped","nan","Unknown"
"6","2","5","1","4","3","nan","Unknown"
"1","3","6","4","5","2","nan","Unknown"
"2","4","5","6","3","1","nan","Unknown"
"2","5","6","3","4","1","nan","Unknown"
"3","1","6","2","4","5","nan","Unknown"
"4","5","6","1","2","3","nan","Unknown"
"1","2","6","skipped","skipped","skipped","nan","Unknown"
"2","6","1","4","5","skipped","nan","Unknown"
"2","5","1","3","6","4","nan","Unknown"
"2","3","6","1","5","4","nan","Unknown"
"6","1","skipped","skipped","skipped","skipped","nan","Unknown"
"3","5","2","1","6","4","nan","Unknown"
"2","6","1","3","4","5","nan","Unknown"
"3","4","5","1","6","2","nan","Unknown"
