"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"2","4","3","1","skipped","skipped","skipped","skipped","skipped","9.0","1.0"
"1","7","9","8","6","2","skipped","skipped","skipped","nan","nan"
"6","1","7","4","8","9","2","5","3","nan","nan"
"6","8","3","2","1","4","9","5","7","nan","nan"
"9","7","2","4","8","6","1","5","3","nan","nan"
"5","4","2","3","1","skipped","skipped","skipped","skipped","nan","nan"
"5","8","3","6","1","2","9","4","7","nan","nan"
"2","9","1","3","4","6","7","5","8","nan","nan"
"4","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","8","3","7","5","9","1","2","skipped","nan","nan"
"1","3","4","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","1","4","7","9","3","2","5","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","6","7","5","1","4","skipped","skipped","nan","nan"
"4","5","9","1","7","3","6","2","8","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","6","5","9","3","skipped","skipped","skipped","nan","nan"
"4","2","7","6","8","9","1","3","5","nan","nan"
"5","8","1","3","2","7","9","4","6","nan","nan"
"2","3","4","7","1","8","9","6","5","nan","nan"
"4","3","5","8","9","6","2","7","1","nan","nan"
"3","7","2","4","8","5","1","6","skipped","nan","nan"
"6","5","4","3","1","2","7","skipped","skipped","nan","nan"
"2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","5","6","3","4","skipped","skipped","skipped","nan","nan"
"6","2","8","5","1","7","9","4","3","nan","nan"
"3","1","6","5","4","7","2","skipped","skipped","nan","nan"
"4","3","8","7","9","5","2","6","1","nan","nan"
"3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","9","6","8","4","1","5","2","nan","nan"
"5","6","2","3","9","4","7","1","8","nan","nan"
"4","1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","1","5","2","8","3","4","9","nan","nan"
"2","7","8","4","9","1","3","5","skipped","nan","nan"
"7","1","6","3","8","5","9","2","4","nan","nan"
"2","6","8","4","9","5","7","1","3","nan","nan"
"3","5","6","4","1","2","8","7","9","nan","nan"
"3","9","7","4","5","6","8","2","1","nan","nan"
"3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","4","5","6","1","7","3","9","nan","nan"
"3","8","2","5","4","7","9","6","1","nan","nan"
"2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","9","7","2","6","4","8","5","nan","nan"
"3","2","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","1","3","7","5","6","4","9","nan","nan"
