"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"10","1","5","9","6","7","3","4","8","2","10.0","1.0"
"4","3","7","9","6","2","10","8","5","skipped","nan","nan"
"8","1","6","10","7","9","4","3","5","2","nan","nan"
"9","7","8","10","3","2","6","1","5","4","nan","nan"
"4","9","10","5","8","3","1","7","6","2","nan","nan"
"6","9","4","10","1","3","5","7","8","2","nan","nan"
"8","2","10","4","5","6","1","7","3","9","nan","nan"
"8","6","5","10","1","4","2","7","9","3","nan","nan"
"2","1","4","6","8","10","5","skipped","skipped","skipped","nan","nan"
"6","4","10","3","1","2","5","skipped","skipped","skipped","nan","nan"
"7","3","6","10","4","5","2","8","9","1","nan","nan"
"2","8","3","4","10","1","6","5","9","7","nan","nan"
"9","8","4","10","3","1","5","2","7","6","nan","nan"
"7","4","10","9","5","3","1","6","8","2","nan","nan"
"9","10","7","3","1","4","8","2","6","5","nan","nan"
"5","2","7","8","10","6","1","3","4","skipped","nan","nan"
"7","4","10","9","5","1","3","6","8","2","nan","nan"
"5","8","4","9","7","2","3","6","10","1","nan","nan"
"7","4","5","8","10","2","3","9","skipped","skipped","nan","nan"
"8","2","10","6","7","4","1","5","9","3","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","8","9","5","7","3","4","1","2","nan","nan"
"4","5","7","8","1","9","3","10","2","6","nan","nan"
"4","1","9","10","7","8","5","6","2","3","nan","nan"
"3","10","6","7","5","2","9","1","8","4","nan","nan"
"8","3","5","10","9","2","4","7","6","1","nan","nan"
"4","7","9","10","8","3","2","5","6","1","nan","nan"
"10","1","8","9","5","2","4","7","6","3","nan","nan"
"1","2","6","5","7","9","4","8","10","3","nan","nan"
"3","8","1","6","9","5","2","4","10","7","nan","nan"
"5","1","10","3","9","6","8","2","7","4","nan","nan"
"9","5","4","10","8","6","3","2","7","1","nan","nan"
"1","7","10","9","4","6","2","5","8","3","nan","nan"
"5","4","7","8","9","3","2","1","skipped","skipped","nan","nan"
"10","1","9","7","8","2","5","3","4","6","nan","nan"
"7","8","5","10","1","4","2","9","6","3","nan","nan"
"3","1","10","6","9","5","2","7","8","4","nan","nan"
"8","7","9","6","4","3","2","5","10","1","nan","nan"
"1","10","3","4","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","7","6","9","2","5","4","10","1","nan","nan"
"3","8","2","7","5","6","4","9","10","1","nan","nan"
"4","9","6","7","8","10","5","2","3","1","nan","nan"
"10","9","1","7","3","2","4","skipped","skipped","skipped","nan","nan"
"6","4","10","9","7","8","2","3","5","1","nan","nan"
"10","2","3","1","4","6","7","5","skipped","skipped","nan","nan"
"8","1","6","10","5","7","2","9","3","4","nan","nan"
"2","8","10","7","5","9","4","3","1","skipped","nan","nan"
"9","3","6","8","10","1","5","7","4","2","nan","nan"
"5","1","8","6","2","7","4","10","9","3","nan","nan"
"8","6","4","10","9","7","2","1","5","3","nan","nan"
"8","3","5","10","9","6","1","4","7","2","nan","nan"
"6","2","9","10","1","8","3","4","7","5","nan","nan"
"7","8","5","10","1","3","2","4","9","6","nan","nan"
"10","4","3","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","5","10","2","7","6","8","9","1","nan","nan"
