"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"2","1","8","6","7","5","3","4","8.0","1.0"
"2","1","8","3","4","7","5","6","nan","nan"
"4","7","1","3","5","8","2","6","nan","nan"
"5","7","2","6","3","4","1","8","nan","nan"
"6","8","2","4","3","7","1","5","nan","nan"
"8","1","2","3","7","6","5","4","nan","nan"
"1","6","4","5","3","7","2","8","nan","nan"
"5","6","3","4","2","1","8","7","nan","nan"
"5","1","8","3","2","4","skipped","skipped","nan","nan"
"8","1","3","6","2","5","4","7","nan","nan"
"6","4","2","7","3","1","8","5","nan","nan"
"2","1","5","3","4","6","7","8","nan","nan"
"2","1","4","3","5","7","8","skipped","nan","nan"
"8","6","2","5","3","7","1","4","nan","nan"
"6","7","2","4","5","8","1","3","nan","nan"
"8","7","6","1","3","5","4","2","nan","nan"
"5","8","7","4","1","6","2","3","nan","nan"
"3","8","2","4","5","7","1","6","nan","nan"
"6","5","1","4","8","3","2","7","nan","nan"
"6","8","3","4","1","5","2","7","nan","nan"
"3","7","1","6","5","2","4","8","nan","nan"
"6","7","4","3","5","2","1","skipped","nan","nan"
"4","8","3","6","2","5","1","7","nan","nan"
"4","6","3","5","2","8","1","7","nan","nan"
"3","6","1","8","4","7","2","5","nan","nan"
"8","2","1","7","4","5","6","skipped","nan","nan"
"3","5","1","7","6","4","2","8","nan","nan"
"2","1","8","6","4","3","5","7","nan","nan"
"4","6","1","5","7","8","2","3","nan","nan"
"3","6","1","7","2","5","8","4","nan","nan"
"7","4","5","8","3","2","1","6","nan","nan"
"1","8","4","5","6","2","7","3","nan","nan"
"6","4","2","5","1","8","3","7","nan","nan"
"4","1","8","3","2","6","7","5","nan","nan"
"6","1","8","3","2","7","5","4","nan","nan"
"7","5","8","1","3","6","2","4","nan","nan"
"3","2","7","4","5","8","6","1","nan","nan"
"6","8","1","4","3","7","2","5","nan","nan"
"4","6","2","8","7","5","1","3","nan","nan"
"4","1","3","5","2","6","8","7","nan","nan"
"7","3","5","8","2","6","4","1","nan","nan"
"7","8","4","2","5","3","1","6","nan","nan"
"3","1","4","8","7","5","6","2","nan","nan"
"3","8","1","5","6","2","4","skipped","nan","nan"
"4","6","7","1","2","8","5","3","nan","nan"
"3","7","1","5","4","6","2","8","nan","nan"
