"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","Num Cands","Num Seats"
"7","6","21","1","2","5","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","21.0","1.0"
"10","7","6","3","11","19","2","13","8","9","5","15","21","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","10","9","4","8","21","3","2","12","5","11","13","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","1","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","2","5","1","3","7","6","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","11","1","8","6","12","3","15","18","5","13","9","7","10","17","19","16","21","14","20","2","nan","nan"
"3","10","6","9","21","1","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","13","8","3","11","17","1","14","20","4","9","10","5","6","15","12","19","16","18","2","skipped","nan","nan"
"21","6","1","3","7","8","11","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","14","13","5","11","16","4","17","10","8","18","15","12","2","6","7","20","21","9","19","3","nan","nan"
"3","4","5","2","6","21","1","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","3","5","14","15","1","9","13","6","17","7","12","10","18","16","11","19","4","skipped","skipped","nan","nan"
"8","10","5","4","11","21","1","15","2","9","7","6","13","14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","21","3","1","9","4","10","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","2","7","1","21","3","8","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","2","8","9","1","5","6","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","2","7","19","12","1","16","14","6","15","13","11","5","21","9","17","20","10","18","4","nan","nan"
"4","8","6","5","12","15","1","14","16","3","13","10","9","7","21","11","17","2","skipped","skipped","skipped","nan","nan"
"3","7","5","9","21","2","6","4","8","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","3","6","13","17","1","18","11","4","14","10","8","7","20","15","16","21","12","19","2","nan","nan"
"5","21","6","8","1","4","7","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","3","11","1","10","6","21","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","21","9","3","1","7","12","5","6","10","8","11","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","4","7","14","2","8","6","13","19","12","3","10","11","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","21","3","2","10","17","1","16","20","4","8","9","7","19","14","15","13","18","11","12","5","nan","nan"
"6","9","5","7","8","21","1","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","2","1","3","5","21","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","6","1","12","2","10","4","9","11","8","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","14","8","5","7","15","1","11","19","3","18","12","10","2","9","20","21","17","13","16","6","nan","nan"
"21","6","3","1","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","15","11","12","7","2","14","13","9","18","5","17","8","20","6","19","21","16","4","1","nan","nan"
"6","9","10","4","8","2","3","7","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","6","9","8","1","5","3","10","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","9","2","1","21","6","4","7","10","8","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","21","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","9","3","17","18","1","11","14","4","19","16","7","6","13","15","12","21","10","20","2","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","6","4","16","14","1","17","12","13","9","5","7","21","15","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
