ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,numSeats,numCands
00005_00000_640612,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_662248,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,JOAN SHANNON,skipped,1,4
00005_00000_841328,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,skipped,1,4
00005_00000_000696,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_209900,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_812173,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,skipped,1,4
00005_00000_788959,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,skipped,skipped,skipped,1,4
00005_00000_040161,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,"WILL ""BILLY"" ANDERSON",FARIED MUNARSYAH,skipped,1,4
00005_00000_850940,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,JOAN SHANNON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",skipped,1,4
00005_00000_313083,Ballot 5 - Type 5,Election Day,SOUTH,DISTRICT,WARD 5,WARD 5,CITY OF BURLINGTON,FARIED MUNARSYAH,"WILL ""BILLY"" ANDERSON",JOAN SHANNON,skipped,1,4
