rank1,rank2,rank3,numSeats,numCands
Barry A. Hong PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,skipped,skipped,1,3
Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,1,3
Barry A. Hong PhD,Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,1,3
Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,1,3
Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,Barry A. Hong PhD,1,3
Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,1,3
Barry A. Hong PhD,Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,1,3
Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,Kim E. Dixon PhD,1,3
Barry A. Hong PhD,Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,1,3
Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,Barry A. Hong PhD,1,3
Barry A. Hong PhD,skipped,skipped,1,3
Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,skipped,1,3
Barry A. Hong PhD,skipped,skipped,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,1,3
Kim E. Dixon PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,Barry A. Hong PhD,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,skipped,1,3
Barry A. Hong PhD,Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,1,3
Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,skipped,1,3
Barry A. Hong PhD,Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,1,3
Kim E. Dixon PhD,skipped,skipped,1,3
Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,1,3
Kim E. Dixon PhD,skipped,skipped,1,3
Barry A. Hong PhD,Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,1,3
Shannon L. Wiltsey Stirman PhD,skipped,skipped,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,1,3
Kim E. Dixon PhD,skipped,skipped,1,3
Barry A. Hong PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,Kim E. Dixon PhD,1,3
Barry A. Hong PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,Kim E. Dixon PhD,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,1,3
Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,skipped,1,3
Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,1,3
Kim E. Dixon PhD,skipped,skipped,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,1,3
Shannon L. Wiltsey Stirman PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,skipped,1,3
Barry A. Hong PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,Barry A. Hong PhD,Kim E. Dixon PhD,1,3
Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,1,3
Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,1,3
Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,Barry A. Hong PhD,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,Shannon L. Wiltsey Stirman PhD,1,3
Barry A. Hong PhD,Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,1,3
Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,Barry A. Hong PhD,1,3
Kim E. Dixon PhD,Barry A. Hong PhD,skipped,1,3
Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,Barry A. Hong PhD,1,3
Barry A. Hong PhD,skipped,skipped,1,3
Shannon L. Wiltsey Stirman PhD,Kim E. Dixon PhD,skipped,1,3
