rank1,rank2,rank3,numSeats,numCands
Anthony L. Chambers PhD ABPP,Randall P. White PhD,Ronald H. Rozensky PhD ABPP,1,3
Anthony L. Chambers PhD ABPP,skipped,skipped,1,3
Randall P. White PhD,skipped,skipped,1,3
Randall P. White PhD,skipped,skipped,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,Randall P. White PhD,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,Randall P. White PhD,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,Randall P. White PhD,1,3
Anthony L. Chambers PhD ABPP,Randall P. White PhD,Ronald H. Rozensky PhD ABPP,1,3
Anthony L. Chambers PhD ABPP,Randall P. White PhD,Ronald H. Rozensky PhD ABPP,1,3
Anthony L. Chambers PhD ABPP,Ronald H. Rozensky PhD ABPP,Randall P. White PhD,1,3
Anthony L. Chambers PhD ABPP,Ronald H. Rozensky PhD ABPP,Randall P. White PhD,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,Randall P. White PhD,1,3
Randall P. White PhD,Ronald H. Rozensky PhD ABPP,skipped,1,3
Anthony L. Chambers PhD ABPP,skipped,skipped,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,skipped,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,skipped,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,Randall P. White PhD,1,3
Anthony L. Chambers PhD ABPP,Randall P. White PhD,Ronald H. Rozensky PhD ABPP,1,3
Anthony L. Chambers PhD ABPP,Ronald H. Rozensky PhD ABPP,Randall P. White PhD,1,3
Anthony L. Chambers PhD ABPP,skipped,skipped,1,3
Anthony L. Chambers PhD ABPP,Randall P. White PhD,Ronald H. Rozensky PhD ABPP,1,3
Anthony L. Chambers PhD ABPP,Ronald H. Rozensky PhD ABPP,skipped,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,Randall P. White PhD,1,3
Anthony L. Chambers PhD ABPP,skipped,skipped,1,3
Ronald H. Rozensky PhD ABPP,Randall P. White PhD,Anthony L. Chambers PhD ABPP,1,3
Anthony L. Chambers PhD ABPP,Randall P. White PhD,Ronald H. Rozensky PhD ABPP,1,3
Ronald H. Rozensky PhD ABPP,Randall P. White PhD,Anthony L. Chambers PhD ABPP,1,3
Ronald H. Rozensky PhD ABPP,Randall P. White PhD,Anthony L. Chambers PhD ABPP,1,3
Ronald H. Rozensky PhD ABPP,skipped,skipped,1,3
Anthony L. Chambers PhD ABPP,Randall P. White PhD,Ronald H. Rozensky PhD ABPP,1,3
Ronald H. Rozensky PhD ABPP,Anthony L. Chambers PhD ABPP,Randall P. White PhD,1,3
