Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
SP01,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP02,MARCIA CONOVER-HARRIS,CRAIG JENSEN,XIMENA M. BISHOP,CRAIG CONOVER,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,2,7
SP03,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP04,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,skipped,skipped,skipped,skipped,2,7
SP06,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP07,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,2,7
SP08,AMANDA MILLER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,2,7
SP09,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG JENSEN,DALE WATSON,CRAIG CONOVER,AMANDA MILLER,2,7
SP10,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,2,7
SP11,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP12,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,2,7
SP13,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP15,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,2,7
SP16,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP17,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,2,7
SP18,XIMENA M. BISHOP,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP19,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,CRAIG JENSEN,2,7
