voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
0,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
1,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
2,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
3,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
4,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
5,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
6,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
7,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
8,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
9,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
10,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
11,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
12,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
13,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
14,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
15,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
16,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
17,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
18,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
19,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
20,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
21,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
22,Catherine MCCLYMONT Scottish Labour Party,Richard ELIOTT-LOCKHART Scottish Conservative and Unionist,Ronald LOGAN Independent,John SCOTT Independent,Julia MARRS Scottish National Party (SNP),3
