ballotID,Precinct,Ballot Style,rank1,rank2,rank3,numSeats,numCands
600001,205111,UOCAVA,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
600002,205111,UOCAVA,"Crafts, Lydia V.","Levesque, David J.",skipped,1,3
600003,211111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
600004,204111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
600005,204111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.",skipped,1,3
600006,204111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
600007,205111,UOCAVA,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
600008,205111,UOCAVA,"Crafts, Lydia V.",skipped,skipped,1,3
600009,211111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.",skipped,1,3
600050,Nobleboro,Unscanned,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
600051,Monhegan,Unscanned,"Pieh, Wendy","Levesque, David J.","Crafts, Lydia V.",1,3
600052,Bristol,Unscanned,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
600053,Bristol,Unscanned,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
600054,Newcastle,Unscanned,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy",1,3
600055,Newcastle,Unscanned,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
600056,Newcastle,Unscanned,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
600057,Newcastle,Unscanned,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy",1,3
600058,Newcastle,Unscanned,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy",1,3
600059,Newcastle,Unscanned,"Pieh, Wendy",skipped,skipped,1,3
600060,Bremen,Unscanned,"Pieh, Wendy","Levesque, David J.","Crafts, Lydia V.",1,3
600061,Bremen,Unscanned,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
600062,Bremen,Unscanned,"Pieh, Wendy",skipped,skipped,1,3
600063,Bremen,Unscanned,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
145771,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy",skipped,skipped,1,3
145773,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy",1,3
145781,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
145787,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
145790,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy",1,3
145857,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy",skipped,skipped,1,3
145879,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy",1,3
145922,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
145975,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
145978,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
145989,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy",1,3
145998,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
146001,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy","Crafts, Lydia V.",skipped,1,3
146011,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy",1,3
146024,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy",skipped,skipped,1,3
146034,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
146050,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J.",1,3
146110,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy","Levesque, David J.","Crafts, Lydia V.",1,3
146156,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
146227,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy",skipped,skipped,1,3
146253,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Levesque, David J.",skipped,1,3
146255,South Bristol W1,DEM Ballot Style 56,"Pieh, Wendy",skipped,skipped,1,3
146256,South Bristol W1,DEM Ballot Style 56,"Levesque, David J.","Crafts, Lydia V.","Pieh, Wendy",1,3
146268,South Bristol W1,DEM Ballot Style 56,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J.",1,3
146306,South Bristol W1,DEM Ballot Style 56,"Levesque, David J.","Crafts, Lydia V.","Pieh, Wendy",1,3
