ballotID,precinctPortion,ballot_type,countingGroup,votingLocation,district,districtType,precinct,rank1,rank2,rank3,Num cands,Num seats
00020_00722_000003,PCT 7942,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7942,HILLARY RONEN,skipped,skipped,2,1
00020_00722_000048,PCT 7945,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7945,HILLARY RONEN,skipped,skipped,2,1
00022_00797_000046,PCT 7906,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7906,HILLARY RONEN,skipped,skipped,2,1
00027_00697_000067,PCT 7948,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7948,HILLARY RONEN,skipped,skipped,2,1
00027_00697_000071,PCT 7948,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7948,HILLARY RONEN,skipped,skipped,2,1
00027_00698_000009,PCT 7956,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7956,HILLARY RONEN,skipped,skipped,2,1
00027_00698_000013,PCT 7946,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7946,HILLARY RONEN,skipped,skipped,2,1
00030_00756_000010,PCT 7908,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7908,HILLARY RONEN,skipped,skipped,2,1
00019_00524_000029,PCT 7922,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7922,HILLARY RONEN,skipped,skipped,2,1
00024_00068_000004,PCT 7926,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7926,HILLARY RONEN,skipped,skipped,2,1
00024_00068_000055,PCT 7948,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7948,HILLARY RONEN,skipped,skipped,2,1
00024_00068_000043,PCT 7916,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7916,HILLARY RONEN,skipped,skipped,2,1
00022_00798_000039,PCT 7924,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7924,HILLARY RONEN,skipped,skipped,2,1
00019_00526_000019,PCT 7918,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7918,HILLARY RONEN,skipped,skipped,2,1
00019_00526_000042,PCT 7912,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7912,HILLARY RONEN,skipped,skipped,2,1
00027_00701_000015,PCT 7928,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7928,HILLARY RONEN,skipped,skipped,2,1
00027_00701_000003,PCT 7906,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7906,HILLARY RONEN,skipped,skipped,2,1
00027_00701_000007,PCT 7928,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7928,HILLARY RONEN,skipped,skipped,2,1
00027_00701_000083,PCT 7928,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7928,HILLARY RONEN,skipped,skipped,2,1
00027_00701_000011,PCT 7914,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7914,HILLARY RONEN,skipped,skipped,2,1
00025_00054_000105,PCT 7946,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7946,HILLARY RONEN,skipped,skipped,2,1
00025_00054_000097,PCT 7924,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7924,HILLARY RONEN,skipped,skipped,2,1
00025_00054_000102,PCT 7905,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7905,HILLARY RONEN,skipped,skipped,2,1
00025_00054_000063,PCT 7911,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7911,HILLARY RONEN,skipped,skipped,2,1
00020_00725_000056,PCT 7941,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7941,HILLARY RONEN,skipped,skipped,2,1
00022_00799_000005,PCT 7909,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7909,HILLARY RONEN,skipped,skipped,2,1
00022_00799_000030,PCT 7913,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7913,HILLARY RONEN,skipped,skipped,2,1
00022_00799_000045,PCT 7908,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7908,HILLARY RONEN,skipped,skipped,2,1
00022_00799_000019,PCT 7918,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7918,HILLARY RONEN,skipped,skipped,2,1
00022_00799_000041,PCT 7906,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7906,HILLARY RONEN,skipped,skipped,2,1
00022_00799_000071,PCT 7917,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7917,HILLARY RONEN,skipped,skipped,2,1
00022_00799_000012,PCT 7912,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7912,HILLARY RONEN,skipped,skipped,2,1
00027_00702_000016,PCT 7928,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7928,HILLARY RONEN,skipped,skipped,2,1
00027_00702_000039,PCT 7907,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7907,HILLARY RONEN,skipped,skipped,2,1
00027_00702_000031,PCT 7913,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7913,HILLARY RONEN,skipped,skipped,2,1
00027_00702_000023,PCT 7928,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7928,HILLARY RONEN,skipped,skipped,2,1
00027_00703_000065,PCT 7941,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7941,HILLARY RONEN,skipped,skipped,2,1
00027_00703_000054,PCT 7919,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7919,HILLARY RONEN,skipped,skipped,2,1
00027_00703_000061,PCT 7924,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7924,HILLARY RONEN,skipped,skipped,2,1
00030_00760_000049,PCT 7907,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7907,HILLARY RONEN,skipped,skipped,2,1
00030_00760_000058,PCT 7937,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7937,HILLARY RONEN,skipped,skipped,2,1
00020_00727_000008,PCT 7934,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7934,HILLARY RONEN,skipped,skipped,2,1
00020_00727_000019,PCT 7934,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7934,HILLARY RONEN,skipped,skipped,2,1
00020_00727_000074,PCT 7929,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7929,HILLARY RONEN,skipped,skipped,2,1
00026_00076_000093,PCT 7939,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7939,HILLARY RONEN,skipped,skipped,2,1
00026_00076_000050,PCT 7944,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7944,HILLARY RONEN,skipped,skipped,2,1
00026_00076_000079,PCT 7944,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7944,HILLARY RONEN,skipped,skipped,2,1
00023_00498_000064,PCT 7917,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7917,HILLARY RONEN,skipped,skipped,2,1
00026_00660_000068,PCT 7912,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7912,HILLARY RONEN,skipped,skipped,2,1
00026_00660_000041,PCT 7927,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7927,HILLARY RONEN,skipped,skipped,2,1
00027_00704_000008,PCT 7918,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7918,HILLARY RONEN,skipped,skipped,2,1
00027_00704_000004,PCT 7918,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7918,HILLARY RONEN,skipped,skipped,2,1
00027_00704_000033,PCT 7944,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7944,HILLARY RONEN,skipped,skipped,2,1
00019_00529_000013,PCT 7918,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7918,HILLARY RONEN,skipped,skipped,2,1
00019_00529_000069,PCT 7947,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7947,HILLARY RONEN,skipped,skipped,2,1
00019_00529_000038,PCT 7957,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7957,HILLARY RONEN,skipped,skipped,2,1
00020_00728_000001,PCT 7929,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7929,HILLARY RONEN,skipped,skipped,2,1
00020_00728_000047,PCT 7929,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7929,HILLARY RONEN,skipped,skipped,2,1
00020_00728_000077,PCT 7939,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7939,HILLARY RONEN,skipped,skipped,2,1
00030_00761_000075,PCT 7958 MB,Ballot Type 21,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7958 MB,HILLARY RONEN,skipped,skipped,2,1
00030_00761_000054,PCT 7906,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7906,HILLARY RONEN,skipped,skipped,2,1
00030_00762_000034,PCT 7948,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7948,HILLARY RONEN,skipped,skipped,2,1
00019_00531_000061,PCT 7949,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7949,HILLARY RONEN,skipped,skipped,2,1
00019_00531_000057,PCT 7918,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7918,HILLARY RONEN,skipped,skipped,2,1
00026_00661_000009,PCT 7951,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7951,HILLARY RONEN,skipped,skipped,2,1
00030_00763_000003,PCT 7948,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7948,HILLARY RONEN,skipped,skipped,2,1
00027_00706_000097,PCT 7913,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7913,HILLARY RONEN,skipped,skipped,2,1
00030_00764_000007,PCT 7955,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7955,HILLARY RONEN,skipped,skipped,2,1
00019_00532_000022,PCT 7908,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7908,HILLARY RONEN,skipped,skipped,2,1
00023_00502_000020,PCT 7929,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7929,HILLARY RONEN,skipped,skipped,2,1
00023_00502_000024,PCT 7929,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7929,HILLARY RONEN,skipped,skipped,2,1
00023_00503_000104,PCT 7939,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7939,HILLARY RONEN,skipped,skipped,2,1
00023_00503_000060,PCT 7909,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7909,HILLARY RONEN,skipped,skipped,2,1
00023_00504_000070,PCT 7917,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7917,HILLARY RONEN,skipped,skipped,2,1
00023_00505_000011,PCT 7914,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7914,HILLARY RONEN,skipped,skipped,2,1
00023_00505_000058,PCT 7935,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7935,HILLARY RONEN,skipped,skipped,2,1
00023_00505_000021,PCT 7924,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7924,HILLARY RONEN,skipped,skipped,2,1
00023_00506_000070,PCT 7904,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7904,HILLARY RONEN,skipped,skipped,2,1
00022_00801_000014,PCT 7914,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7914,HILLARY RONEN,skipped,skipped,2,1
00022_00803_000033,PCT 7909,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7909,HILLARY RONEN,skipped,skipped,2,1
00022_00804_000059,PCT 7904,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7904,HILLARY RONEN,skipped,skipped,2,1
00021_00616_000095,PCT 7943,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7943,HILLARY RONEN,skipped,skipped,2,1
00021_00616_000021,PCT 7903,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7903,HILLARY RONEN,skipped,skipped,2,1
00021_00617_000006,PCT 7926,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7926,HILLARY RONEN,skipped,skipped,2,1
00021_00617_000084,PCT 7928,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7928,HILLARY RONEN,skipped,skipped,2,1
00022_00056_000023,PCT 7932,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7932,HILLARY RONEN,skipped,skipped,2,1
00022_00056_000028,PCT 7932,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7932,HILLARY RONEN,skipped,skipped,2,1
00018_00304_000016,PCT 7931,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7931,HILLARY RONEN,skipped,skipped,2,1
00018_00304_000041,PCT 7941,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7941,HILLARY RONEN,skipped,skipped,2,1
00018_00304_000023,PCT 7921,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7921,HILLARY RONEN,skipped,skipped,2,1
00018_00305_000065,PCT 7937,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7937,HILLARY RONEN,skipped,skipped,2,1
00020_00729_000010,PCT 7932,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7932,HILLARY RONEN,skipped,skipped,2,1
00020_00729_000030,PCT 7919,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7919,HILLARY RONEN,skipped,skipped,2,1
00020_00729_000069,PCT 7911,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7911,HILLARY RONEN,skipped,skipped,2,1
00020_00729_000098,PCT 7911,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7911,HILLARY RONEN,skipped,skipped,2,1
00020_00729_000108,PCT 7932,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7932,HILLARY RONEN,skipped,skipped,2,1
00020_00729_000092,PCT 7944,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7944,HILLARY RONEN,skipped,skipped,2,1
00020_00730_000014,PCT 7925,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7925,HILLARY RONEN,skipped,skipped,2,1
00020_00731_000031,PCT 7957,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7957,HILLARY RONEN,skipped,skipped,2,1
00020_00731_000026,PCT 7957,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7957,HILLARY RONEN,skipped,skipped,2,1
00020_00731_000050,PCT 7946,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7946,HILLARY RONEN,skipped,skipped,2,1
00020_00731_000065,PCT 7919,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7919,HILLARY RONEN,skipped,skipped,2,1
00020_00732_000048,PCT 7916,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7916,HILLARY RONEN,skipped,skipped,2,1
00020_00733_000011,PCT 7918,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7918,HILLARY RONEN,skipped,skipped,2,1
00020_00734_000020,PCT 7903,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7903,HILLARY RONEN,skipped,skipped,2,1
00020_00734_000048,PCT 7922,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7922,HILLARY RONEN,skipped,skipped,2,1
00020_00734_000024,PCT 7901,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7901,HILLARY RONEN,skipped,skipped,2,1
00020_00736_000011,PCT 7921,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7921,HILLARY RONEN,skipped,skipped,2,1
00031_00047_000042,PCT 7922,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7922,HILLARY RONEN,skipped,skipped,2,1
00020_00738_000028,PCT 7951,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7951,HILLARY RONEN,skipped,skipped,2,1
00020_00741_000051,PCT 7914,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7914,HILLARY RONEN,skipped,skipped,2,1
00020_00741_000062,PCT 7942,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7942,HILLARY RONEN,skipped,skipped,2,1
00020_00741_000024,PCT 7925,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7925,HILLARY RONEN,skipped,skipped,2,1
00024_00660_000074,PCT 7926,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7926,HILLARY RONEN,skipped,skipped,2,1
00024_00660_000050,PCT 7914,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7914,HILLARY RONEN,skipped,skipped,2,1
00024_00662_000003,PCT 7925,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7925,HILLARY RONEN,skipped,skipped,2,1
00024_00662_000056,PCT 7931,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7931,HILLARY RONEN,skipped,skipped,2,1
00024_00662_000064,PCT 7952,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7952,HILLARY RONEN,skipped,skipped,2,1
00024_00662_000029,PCT 7936,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7936,HILLARY RONEN,skipped,skipped,2,1
00024_00664_000022,PCT 7938,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7938,HILLARY RONEN,skipped,skipped,2,1
00024_00664_000026,PCT 7938,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7938,HILLARY RONEN,skipped,skipped,2,1
00024_00667_000056,PCT 7918,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7918,HILLARY RONEN,skipped,skipped,2,1
00024_00668_000040,PCT 7936,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7936,HILLARY RONEN,skipped,skipped,2,1
00024_00668_000042,PCT 7936,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7936,HILLARY RONEN,skipped,skipped,2,1
00024_00668_000026,PCT 7909,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7909,HILLARY RONEN,skipped,skipped,2,1
00025_00447_000016,PCT 7912,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7912,HILLARY RONEN,skipped,skipped,2,1
00025_00448_000027,PCT 7913,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7913,HILLARY RONEN,skipped,skipped,2,1
00026_00663_000033,PCT 7934,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7934,HILLARY RONEN,skipped,skipped,2,1
