rank1,rank2,rank3,Num cands,Num seats
Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,M. Nicole Coleman PhD,3,1
Nancy M. Sidun PsyD ABPP,Debra M. Kawahara PhD,M. Nicole Coleman PhD,3,1
M. Nicole Coleman PhD,Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,3,1
Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,skipped,3,1
M. Nicole Coleman PhD,Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,3,1
Debra M. Kawahara PhD,M. Nicole Coleman PhD,Nancy M. Sidun PsyD ABPP,3,1
M. Nicole Coleman PhD,Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,3,1
Debra M. Kawahara PhD,M. Nicole Coleman PhD,Nancy M. Sidun PsyD ABPP,3,1
Debra M. Kawahara PhD,skipped,skipped,3,1
M. Nicole Coleman PhD,Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,3,1
Nancy M. Sidun PsyD ABPP,skipped,skipped,3,1
Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,M. Nicole Coleman PhD,3,1
Nancy M. Sidun PsyD ABPP,skipped,skipped,3,1
M. Nicole Coleman PhD,Nancy M. Sidun PsyD ABPP,Debra M. Kawahara PhD,3,1
Nancy M. Sidun PsyD ABPP,M. Nicole Coleman PhD,Debra M. Kawahara PhD,3,1
M. Nicole Coleman PhD,Nancy M. Sidun PsyD ABPP,skipped,3,1
Debra M. Kawahara PhD,M. Nicole Coleman PhD,Nancy M. Sidun PsyD ABPP,3,1
M. Nicole Coleman PhD,skipped,skipped,3,1
M. Nicole Coleman PhD,Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,3,1
Debra M. Kawahara PhD,M. Nicole Coleman PhD,Nancy M. Sidun PsyD ABPP,3,1
M. Nicole Coleman PhD,Nancy M. Sidun PsyD ABPP,Debra M. Kawahara PhD,3,1
Nancy M. Sidun PsyD ABPP,Debra M. Kawahara PhD,M. Nicole Coleman PhD,3,1
M. Nicole Coleman PhD,Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,3,1
Debra M. Kawahara PhD,M. Nicole Coleman PhD,Nancy M. Sidun PsyD ABPP,3,1
Nancy M. Sidun PsyD ABPP,M. Nicole Coleman PhD,Debra M. Kawahara PhD,3,1
Debra M. Kawahara PhD,skipped,skipped,3,1
M. Nicole Coleman PhD,Debra M. Kawahara PhD,skipped,3,1
Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,M. Nicole Coleman PhD,3,1
Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,skipped,3,1
Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,M. Nicole Coleman PhD,3,1
M. Nicole Coleman PhD,skipped,skipped,3,1
Nancy M. Sidun PsyD ABPP,Debra M. Kawahara PhD,M. Nicole Coleman PhD,3,1
M. Nicole Coleman PhD,Debra M. Kawahara PhD,Nancy M. Sidun PsyD ABPP,3,1
Nancy M. Sidun PsyD ABPP,Debra M. Kawahara PhD,M. Nicole Coleman PhD,3,1
