rank1,rank2,rank3,Num cands,Num seats
Candice Hargons PhD,John A. Nelson PsyD,skipped,3,1
Candice Hargons PhD,Justin E. Karr PhD,John A. Nelson PsyD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Justin E. Karr PhD,skipped,skipped,3,1
Candice Hargons PhD,skipped,skipped,3,1
Justin E. Karr PhD,skipped,skipped,3,1
Justin E. Karr PhD,skipped,skipped,3,1
Justin E. Karr PhD,Candice Hargons PhD,John A. Nelson PsyD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
John A. Nelson PsyD,Candice Hargons PhD,Justin E. Karr PhD,3,1
Candice Hargons PhD,skipped,skipped,3,1
Candice Hargons PhD,Justin E. Karr PhD,skipped,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Justin E. Karr PhD,John A. Nelson PsyD,skipped,3,1
Justin E. Karr PhD,skipped,skipped,3,1
Candice Hargons PhD,Justin E. Karr PhD,John A. Nelson PsyD,3,1
Candice Hargons PhD,Justin E. Karr PhD,John A. Nelson PsyD,3,1
Justin E. Karr PhD,skipped,skipped,3,1
John A. Nelson PsyD,Candice Hargons PhD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Justin E. Karr PhD,Candice Hargons PhD,skipped,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,skipped,skipped,3,1
Candice Hargons PhD,skipped,skipped,3,1
Justin E. Karr PhD,John A. Nelson PsyD,Candice Hargons PhD,3,1
Candice Hargons PhD,Justin E. Karr PhD,John A. Nelson PsyD,3,1
John A. Nelson PsyD,Candice Hargons PhD,Justin E. Karr PhD,3,1
Justin E. Karr PhD,Candice Hargons PhD,John A. Nelson PsyD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Justin E. Karr PhD,Candice Hargons PhD,John A. Nelson PsyD,3,1
Justin E. Karr PhD,John A. Nelson PsyD,Candice Hargons PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,skipped,3,1
Justin E. Karr PhD,skipped,skipped,3,1
John A. Nelson PsyD,Candice Hargons PhD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
John A. Nelson PsyD,Justin E. Karr PhD,Candice Hargons PhD,3,1
Candice Hargons PhD,skipped,skipped,3,1
Justin E. Karr PhD,skipped,skipped,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
John A. Nelson PsyD,Candice Hargons PhD,skipped,3,1
John A. Nelson PsyD,Candice Hargons PhD,Justin E. Karr PhD,3,1
John A. Nelson PsyD,Candice Hargons PhD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,Justin E. Karr PhD,John A. Nelson PsyD,3,1
Candice Hargons PhD,Justin E. Karr PhD,John A. Nelson PsyD,3,1
Justin E. Karr PhD,skipped,skipped,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
John A. Nelson PsyD,Justin E. Karr PhD,Candice Hargons PhD,3,1
Candice Hargons PhD,skipped,skipped,3,1
Candice Hargons PhD,Justin E. Karr PhD,John A. Nelson PsyD,3,1
Candice Hargons PhD,John A. Nelson PsyD,Justin E. Karr PhD,3,1
Candice Hargons PhD,Justin E. Karr PhD,John A. Nelson PsyD,3,1
