rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,numSeats,numCands
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1.0,34.0
3,34,2,34,34,1,34,34,34,34,34,5,34,34,34,34,34,34,34,4,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
11,23,9,10,25,4,18,21,12,22,7,5,28,20,24,14,15,16,13,2,33,17,1,19,34,31,32,26,8,30,29,3,27,6,,
5,6,8,27,15,1,26,3,2,32,18,29,10,31,34,24,7,23,17,4,9,16,14,13,30,28,22,20,19,33,25,12,11,21,,
7,23,5,15,11,1,21,13,10,30,4,6,14,30,30,19,12,20,9,2,32,17,3,30,31,Skipped,16,18,30,30,30,8,34,22,,
4,34,5,34,34,2,34,34,34,34,7,34,34,34,34,34,34,34,6,1,34,34,5,34,34,34,34,34,34,34,34,3,34,34,,
4,34,5,13,7,1,18,19,34,14,34,9,12,34,11,34,10,34,16,2,34,17,3,34,34,7,20,34,34,34,34,8,34,15,,
34,34,34,34,34,1,34,34,5,34,34,34,34,34,34,34,3,34,34,2,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
5,9,20,10,34,2,34,34,34,34,3,6,20,20,20,20,22,12,11,1,34,8,4,13,34,34,20,14,7,22,34,13,34,12,,
5,34,3,34,34,1,34,34,34,34,34,4,34,34,34,34,34,34,34,2,34,34,6,34,34,34,34,34,34,34,34,34,34,34,,
7,28,10,21,4,2,24,18,5,34,6,15,8,32,14,29,11,31,1,3,23,13,16,27,33,22,9,12,20,30,26,25,19,17,,
4,22,4,22,34,1,22,34,34,34,4,7,34,22,34,22,22,22,7,1,34,22,1,22,34,34,34,22,22,22,22,22,34,9,,
5,34,8,34,9,1,34,34,34,34,2,3,34,34,34,34,6,34,34,4,34,34,7,34,34,34,10,9,34,34,34,34,34,34,,
34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,2,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
3,34,10,34,34,1,34,34,10,34,6,6,10,34,34,34,34,34,34,2,34,34,4,34,34,34,10,34,6,34,34,4,34,6,,
5,10,3,12,9,1,18,Skipped,8,Skipped,4,6,17,Skipped,15,Skipped,13,Skipped,16,2,Skipped,21,7,Skipped,Skipped,Skipped,11,20,Skipped,Skipped,Skipped,14,Skipped,19,,
5,33,31,34,27,2,6,15,9,12,8,4,25,14,26,7,17,32,3,1,29,13,16,21,34,20,34,18,19,34,30,10,28,11,,
4,20,3,15,12,1,22,15,11,Skipped,5,2,9,33,Skipped,16,20,Skipped,10,10,Skipped,8,8,28,Skipped,23,14,Skipped,34,Skipped,34,32,Skipped,Skipped,,
3,10,6,13,34,1,34,34,7,34,12,5,15,34,34,34,4,34,11,2,34,34,8,34,34,34,34,34,9,34,34,34,34,34,,
34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
3,34,2,34,34,1,34,34,34,34,5,7,8,34,34,34,34,34,34,6,34,34,4,34,34,34,34,34,34,34,34,34,34,34,,
6,34,4,34,34,2,8,34,34,34,5,3,7,34,34,34,34,34,6,4,34,34,1,34,34,34,34,34,7,34,34,34,34,34,,
