rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
Skipped,Skipped,2,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,1.0,10.0
3,1,Skipped,4,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,,
10,1,9,5,6,3,5,7,8,2,,
9,1,3,8,7,4,6,10,5,2,,
3,2,7,1,5,4,Skipped,8,Skipped,6,,
4,5,10,9,2,1,6,8,7,3,,
1,3,2,7,6,5,3,4,1,8,,
2,6,10,5,7,3,4,9,1,8,,
8,6,3,4,10,2,5,7,9,1,,
2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,4,6,7,1,3,Skipped,Skipped,Skipped,5,,
8,1,10,2,6,3,9,6,5,4,,
3,4,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
8,6,10,1,9,5,7,3,2,4,,
1,3,Skipped,Skipped,Skipped,5,Skipped,Skipped,2,4,,
2,1,7,5,3,6,10,4,8,9,,
2,4,1,Skipped,5,3,Skipped,Skipped,Skipped,Skipped,,
2,3,1,8,4,10,6,7,9,5,,
1,4,10,9,2,3,5,9,2,8,,
1,1,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,,
4,1,Skipped,Skipped,6,Skipped,5,2,3,Skipped,,
2,1,6,3,5,4,8,9,7,10,,
2,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,5,10,6,4,3,9,7,1,2,,
2,1,5,6,2,6,4,5,6,6,,
2,Skipped,Skipped,Skipped,3,1,Skipped,Skipped,Skipped,Skipped,,
5,3,Skipped,Skipped,4,Skipped,2,1,Skipped,Skipped,,
4,1,7,2,3,Skipped,Skipped,Skipped,6,5,,
7,5,Skipped,1,6,4,Skipped,3,Skipped,2,,
4,3,Skipped,Skipped,5,2,4,Skipped,4,1,,
2,1,7,9,8,5,4,6,10,3,,
3,Skipped,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,5,1,2,Skipped,Skipped,3,4,,
2,2,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,5,7,6,8,10,4,3,2,9,,
2,1,Skipped,Skipped,1,2,Skipped,2,1,Skipped,,
8,4,5,10,6,9,3,7,1,2,,
4,1,8,7,6,9,5,10,2,3,,
2,1,6,9,5,3,7,4,10,8,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
2,1,6,5,10,Skipped,3,Skipped,4,7,,
10,2,4,9,3,6,5,7,1,8,,
5,2,Skipped,4,5,3,Skipped,Skipped,Skipped,1,,
Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,,
Skipped,3,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,Skipped,,
2,8,10,6,5,4,7,9,3,1,,
Skipped,3,Skipped,1,6,4,3,2,2,5,,
10,10,1,6,2,1,10,2,10,1,,
3,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,1,3,7,5,4,Skipped,Skipped,Skipped,2,,
1,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
1,2,9,7,3,5,8,4,10,6,,
Skipped,Skipped,Skipped,Skipped,3,2,Skipped,Skipped,Skipped,1,,
4,7,7,8,3,7,1,Skipped,2,Skipped,,
9,2,5,7,4,3,8,10,6,1,,
4,Skipped,Skipped,3,5,1,Skipped,Skipped,Skipped,2,,
4,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
1,2,3,10,4,9,7,8,5,5,,
1,6,10,5,2,3,7,9,8,4,,
10,7,9,7,6,1,4,2,5,3,,
8,7,3,1,Skipped,2,4,6,Skipped,5,,
4,1,6,5,2,9,8,7,10,3,,
1,1,2,6,2,10,5,4,9,3,,
5,3,Skipped,2,4,1,Skipped,Skipped,Skipped,Skipped,,
3,1,8,5,4,2,10,9,7,6,,
1,Skipped,Skipped,4,Skipped,3,Skipped,Skipped,5,2,,
Skipped,2,3,1,2,1,3,Skipped,Skipped,Skipped,,
1,5,10,9,2,8,4,3,7,6,,
3,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,1,5,Skipped,3,Skipped,Skipped,Skipped,6,2,,
1,1,Skipped,Skipped,1,4,Skipped,Skipped,6,3,,
1,Skipped,Skipped,2,Skipped,Skipped,5,3,4,Skipped,,
3,1,Skipped,5,2,Skipped,Skipped,Skipped,Skipped,4,,
2,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
3,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,2,10,1,3,10,4,6,7,1,,
1,6,Skipped,Skipped,4,3,Skipped,2,5,Skipped,,
3,2,5,8,4,7,6,1,9,10,,
