rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Unknown,18.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
8,10,3,2,13,15,14,4,9,11,7,18,5,12,6,17,16,1,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Unknown,
5,5,1,18,18,18,18,18,18,2,5,18,3,6,18,18,18,4,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
7,13,3,10,15,16,8,2,11,1,9,18,4,5,6,17,12,14,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,2,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
4,9,2,3,12,17,16,6,13,5,7,18,11,1,8,15,14,10,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
1,18,18,18,18,18,18,18,18,3,18,18,4,18,18,18,18,2,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
16,15,1,14,3,4,17,7,8,2,13,11,9,6,18,5,10,12,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Unknown,
3,3,1,3,4,4,3,3,3,2,3,3,4,4,18,3,3,3,Unknown,
8,16,2,9,12,6,7,5,10,4,14,18,13,17,1,11,15,3,Unknown,
3,17,4,6,15,11,10,12,7,2,14,16,1,5,13,18,9,8,Unknown,
18,18,3,18,18,18,18,18,18,2,1,18,18,18,18,18,18,18,Unknown,
11,4,9,1,12,15,10,7,11,10,10,5,10,6,18,11,14,13,Unknown,
11,14,2,15,18,17,10,6,12,4,9,16,3,5,8,13,1,7,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
15,6,1,9,13,12,18,3,14,2,8,16,7,4,10,17,5,11,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,5,1,7,18,18,18,8,4,2,18,18,3,18,18,18,6,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
6,13,1,15,9,14,7,5,8,2,17,16,4,10,18,12,3,11,Unknown,
2,6,4,14,12,13,10,16,11,3,9,18,17,1,5,7,8,15,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
4,14,1,3,11,13,15,2,10,7,5,18,9,6,8,17,12,16,Unknown,
8,18,4,18,18,18,18,3,18,6,5,18,2,7,18,18,1,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
12,9,8,15,7,17,11,1,13,5,4,14,3,16,6,18,2,10,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
2,7,3,18,9,11,17,15,13,6,8,16,12,4,1,10,5,14,Unknown,
3,18,18,18,18,4,18,5,18,18,2,18,18,18,1,18,6,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Unknown,
3,10,11,14,6,8,12,4,13,5,7,17,2,9,18,15,1,16,Unknown,
8,6,3,9,18,18,18,9,11,5,18,18,2,1,7,10,18,4,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,Unknown,
