rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,numSeats,numCands
17,7,11,16,4,8,6,12,14,19,10,9,18,3,2,15,5,1,13,1.0,19.0
16,12,7,10,15,18,2,13,19,3,14,4,8,5,6,11,9,1,17,,
17,8,6,15,14,19,7,1,18,4,16,13,3,5,9,2,12,11,10,,
6,9,8,17,10,12,1,15,13,14,11,13,16,12,5,4,7,2,3,,
16,15,19,3,5,18,6,8,15,13,17,2,4,19,7,19,12,11,10,,
13,3,9,14,2,19,11,4,18,12,10,8,16,17,6,5,1,15,7,,
13,18,15,2,11,19,8,16,9,17,14,6,7,12,10,3,1,4,5,,
12,16,7,8,11,17,1,14,18,9,1,4,10,13,6,15,3,2,5,,
4,17,8,15,13,19,9,10,16,7,3,2,12,6,5,14,11,1,18,,
5,18,6,4,3,7,1,19,10,16,9,11,13,12,14,17,15,2,8,,
12,5,9,11,17,6,7,16,18,8,13,1,10,15,14,3,19,4,2,,
4,12,7,9,18,14,1,10,3,15,13,16,8,17,11,6,11,5,2,,
16,18,4,8,15,17,1,7,19,14,13,3,10,9,6,11,5,2,12,,
15,19,6,11,14,18,1,13,17,8,10,4,7,9,3,16,12,2,5,,
19,18,6,15,12,4,2,5,16,10,14,7,17,13,8,11,9,1,3,,
17,19,13,7,5,18,8,14,15,6,12,3,9,11,1,16,10,2,4,,
8,1,10,9,5,3,4,16,15,13,17,12,7,6,2,11,14,19,18,,
8,18,9,5,10,19,1,11,17,4,14,2,6,13,7,16,12,3,15,,
1,17,6,8,12,19,3,11,10,18,13,5,9,16,15,14,7,2,4,,
5,4,15,7,13,8,1,14,16,12,6,10,17,11,9,18,19,3,2,,
6,18,11,3,15,17,2,13,19,5,14,10,4,7,9,16,12,1,8,,
3,14,4,15,11,13,17,8,10,19,16,6,12,1,2,5,18,9,7,,
14,19,5,8,10,19,3,17,16,4,15,11,9,12,1,13,6,2,7,,
2,19,13,1,3,19,8,19,19,5,12,10,6,9,14,19,4,7,11,,
17,2,11,14,12,2,6,15,19,16,9,8,18,5,13,10,7,4,1,,
5,18,7,8,15,19,3,6,17,11,13,2,9,12,10,16,14,1,4,,
3,17,7,13,10,9,4,19,18,15,14,5,11,8,2,12,16,1,6,,
12,18,7,16,8,16,5,10,19,9,6,1,2,16,11,17,16,3,4,,
2,17,9,4,8,18,3,14,19,13,16,11,5,15,12,10,7,6,1,,
4,15,8,6,11,14,1,19,19,9,12,19,7,10,5,13,2,3,19,,
18,2,9,13,16,3,1,11,19,14,17,7,10,15,6,12,8,4,5,,
