rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,numSeats,numCands
4,7,26,11,16,34,27,21,4,31,28,15,9,17,8,29,4,12,4,30,24,22,19,2,33,25,20,32,23,1,4,18,13,3,15,10,14,1.0,37.0
22,1,28,18,37,37,12,37,16,17,34,9,5,35,36,28,29,37,37,21,37,4,20,37,2,7,32,6,10,30,3,12,34,37,36,8,22,,
2,9,7,5,6,7,7,7,7,7,3,7,7,7,1,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,,
1,16,37,19,37,37,37,37,18,5,10,3,37,37,11,37,37,7,37,9,15,37,37,37,37,1,37,37,37,4,6,37,8,37,37,37,17,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,,
7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,5,7,7,7,7,7,7,2,7,4,7,7,1,7,6,7,7,7,7,,
37,37,37,37,1,37,37,1,37,37,5,37,37,37,37,37,37,1,37,37,2,37,37,37,37,8,37,37,37,4,37,37,3,37,7,37,6,,
37,16,37,37,37,37,20,36,5,3,37,7,37,24,37,9,21,11,14,8,37,13,17,6,1,2,23,22,19,10,37,37,4,37,18,37,15,,
12,21,29,28,7,23,30,34,11,4,13,35,16,24,22,18,27,32,3,25,10,8,6,15,19,31,17,20,14,2,5,36,1,26,9,33,37,,
36,6,36,24,36,36,17,36,20,18,19,2,36,36,36,24,36,36,36,36,15,36,3,36,36,3,36,36,36,4,23,36,1,36,5,36,22,,
12,33,33,22,15,32,16,7,3,2,8,28,4,29,6,32,21,13,37,10,1,26,36,27,17,19,11,20,29,5,35,31,30,34,9,18,14,,
3,28,9,7,2,35,24,10,31,13,37,25,15,34,30,29,33,16,32,4,17,26,27,21,23,5,14,18,12,19,22,36,6,20,11,1,8,,
37,9,37,13,37,37,12,37,37,3,1,37,7,37,37,11,37,17,4,8,6,15,37,37,37,2,37,18,19,14,37,37,37,37,5,37,10,,
10,1,20,6,8,22,13,16,1,1,11,1,9,7,1,19,1,4,1,1,3,1,2,21,14,1,12,18,5,1,1,24,1,23,17,15,1,,
3,37,37,37,37,37,37,2,37,4,1,37,37,37,37,37,37,3,37,3,37,37,37,37,37,1,37,37,37,37,37,37,2,37,37,37,2,,
37,6,37,23,11,37,21,37,13,7,14,37,9,15,5,37,16,24,19,3,8,37,22,37,10,2,37,17,20,4,37,37,1,37,12,25,18,,
3,36,36,36,36,36,36,36,1,2,5,12,1,7,14,36,1,2,36,36,3,7,36,1,36,36,5,1,8,1,36,36,1,36,37,36,36,,
37,37,37,37,37,37,37,37,2,5,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,5,37,37,37,1,37,37,37,37,37,37,37,,
7,10,3,6,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,8,10,10,10,10,10,10,10,4,11,10,10,1,10,10,2,10,5,,
37,37,37,2,37,37,8,37,37,37,37,3,37,37,37,7,37,37,11,4,6,5,10,37,37,37,37,37,9,1,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,4,37,2,37,37,37,37,37,1,37,37,37,5,37,37,37,37,37,37,3,,
37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,,
37,37,33,1,37,28,37,37,35,29,9,37,8,37,37,37,31,36,10,34,5,4,37,37,7,37,2,37,37,3,30,37,37,37,37,23,37,,
34,34,35,34,34,34,34,34,34,8,37,34,34,34,34,34,34,4,34,34,7,34,34,34,34,3,1,34,34,2,5,36,34,34,6,34,9,,
37,37,37,37,2,37,37,37,37,3,37,4,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,4,1,37,37,2,37,,
37,7,37,5,11,37,37,35,30,37,12,37,37,26,36,10,37,37,1,37,4,37,34,37,20,3,36,33,9,8,37,36,37,37,37,2,37,,
5,2,1,37,2,37,3,37,5,3,37,3,5,5,37,37,37,2,37,1,5,37,1,37,37,1,4,5,3,5,2,37,4,37,5,1,4,,
20,9,33,19,11,34,10,30,16,14,15,2,13,22,21,18,8,28,30,30,29,12,25,31,5,7,3,27,26,1,6,30,4,32,24,17,23,,
13,37,37,37,37,37,12,37,7,5,37,37,37,37,15,37,37,9,8,6,37,4,14,37,37,1,37,10,3,2,37,37,37,37,11,37,37,,
16,14,2,16,16,16,16,15,13,11,16,8,10,12,9,16,16,16,16,5,16,16,15,4,6,7,16,16,13,4,15,16,1,16,15,16,3,,
37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,28,37,37,37,37,1,37,2,37,4,37,37,37,37,37,37,37,37,37,37,37,,
2,37,2,2,37,37,2,37,7,37,37,5,2,37,37,37,37,37,37,37,37,37,37,1,37,6,37,2,37,1,37,37,37,37,37,37,37,,
2,37,37,37,37,3,37,37,37,37,37,37,37,37,3,37,37,37,3,37,37,37,37,37,37,1,37,37,37,1,2,37,37,37,3,37,37,,
7,13,13,4,13,13,2,13,6,8,13,13,12,13,13,11,5,13,13,13,13,13,13,13,13,3,13,9,13,1,13,13,13,13,13,10,13,,
36,3,37,5,36,37,36,37,9,6,36,37,8,37,37,2,36,37,37,36,36,36,36,1,37,37,36,36,4,1,37,37,36,37,36,7,10,,
2,37,37,2,2,37,1,37,1,1,37,37,37,37,1,37,37,37,37,37,2,37,37,37,37,37,37,37,37,2,37,37,2,37,2,2,37,,
37,5,37,37,37,37,4,2,2,3,7,37,1,8,37,4,37,37,4,2,7,7,6,37,37,1,3,37,8,37,37,37,37,37,3,5,8,,
1,37,37,37,37,37,1,37,37,1,37,37,1,37,37,37,37,37,37,37,1,37,1,37,37,1,37,37,37,1,37,37,37,37,37,37,37,,
12,23,35,15,7,31,21,11,34,24,16,4,9,22,33,30,36,20,17,14,13,5,1,29,26,3,27,25,10,28,19,32,18,37,8,6,2,,
37,4,6,2,5,37,1,6,6,1,37,37,1,37,6,6,37,37,37,2,37,37,37,37,37,2,37,3,37,5,37,6,6,37,37,37,37,,
12,34,25,9,21,37,28,23,3,2,32,8,14,33,22,36,26,16,35,10,19,20,7,5,30,1,27,29,17,5,24,31,4,5,13,6,18,,
37,37,37,9,37,37,37,37,37,4,37,37,37,37,37,37,37,37,37,37,1,37,5,6,37,37,3,37,2,37,37,37,37,37,7,37,37,,
8,12,12,12,12,12,5,12,9,12,12,6,12,12,4,13,12,12,12,3,10,12,12,12,12,2,12,12,12,12,12,12,7,12,11,12,1,,
1,37,37,4,37,37,6,8,37,37,37,37,4,37,37,37,37,37,37,5,6,37,37,37,37,37,37,37,37,37,37,37,2,37,3,37,37,,
37,37,37,37,37,37,37,37,2,1,37,37,37,4,37,37,37,37,37,5,37,7,37,37,37,37,37,37,37,3,37,37,8,37,37,37,6,,
37,13,37,37,37,37,37,37,15,37,37,27,37,37,37,37,7,37,17,37,37,37,37,20,37,21,37,37,37,1,24,37,37,5,37,37,37,,
5,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,37,37,4,37,37,37,37,37,4,1,37,37,37,37,37,3,37,2,37,3,,
23,13,36,5,37,28,26,12,9,11,31,18,20,24,15,29,35,2,17,7,1,21,19,32,22,10,25,8,16,33,6,27,3,34,30,4,14,,
12,9,15,16,19,33,14,11,21,10,26,34,17,29,28,13,37,27,35,7,25,8,32,2,24,4,22,23,31,1,36,20,18,30,3,5,6,,
37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,1,37,4,37,37,37,1,37,37,37,3,37,37,37,37,37,37,37,,
15,11,15,15,15,15,15,3,15,15,15,2,4,12,15,9,8,15,14,15,15,13,15,15,15,15,6,7,15,15,15,15,15,15,5,10,1,,
36,37,37,35,35,37,35,36,37,35,36,37,37,37,37,37,37,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
36,36,37,2,11,37,9,3,10,5,7,22,12,18,37,36,15,37,30,20,35,14,36,6,21,13,17,16,35,6,37,37,19,6,1,4,8,,
37,37,15,37,17,37,37,16,10,4,20,6,37,9,13,37,1,37,2,11,12,14,21,7,37,3,37,23,37,7,5,37,8,7,22,37,37,,
37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,3,37,5,37,37,37,37,37,1,37,37,37,37,37,37,4,37,37,37,37,,
37,37,37,2,37,37,37,6,37,37,9,37,3,1,37,37,37,37,11,37,5,37,8,37,37,37,37,37,14,37,37,37,14,37,1,7,12,,
18,24,5,31,27,37,22,10,19,1,15,33,9,29,25,8,36,23,34,7,13,21,17,4,32,2,12,20,30,14,36,26,28,35,16,6,3,,
2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,,
29,25,37,10,28,37,21,31,4,1,6,24,20,27,13,18,14,17,37,9,16,8,30,2,32,7,11,22,19,2,15,37,12,37,5,26,23,,
37,37,37,37,37,37,37,37,37,37,37,4,3,37,37,37,37,37,37,37,37,2,5,37,37,37,37,37,1,37,37,37,37,37,37,37,37,,
11,37,37,9,17,37,2,37,5,4,12,37,37,37,10,37,37,13,37,14,7,37,37,1,8,16,37,15,37,1,37,37,37,37,3,6,37,,
37,37,37,37,2,11,37,37,7,10,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,4,37,37,37,8,5,37,37,37,9,3,37,,
37,37,37,13,37,37,15,37,12,7,37,3,37,37,37,14,37,4,36,1,9,5,8,37,37,2,37,37,11,10,8,37,6,37,37,16,37,,
37,18,37,12,5,37,37,37,19,10,37,13,17,20,8,37,1,37,37,37,37,7,37,11,6,4,37,37,16,1,15,37,1,37,14,37,9,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,2,3,37,37,37,37,37,37,,
37,7,37,37,1,13,37,9,37,37,37,3,8,5,37,37,37,37,37,37,10,37,6,36,37,37,4,37,37,37,37,37,11,12,1,37,37,,
37,10,37,37,37,37,37,9,37,10,37,10,1,37,37,10,37,5,37,37,7,37,37,37,37,10,5,37,37,10,37,37,37,37,37,37,5,,
6,37,37,1,5,37,6,2,5,3,2,1,1,37,37,5,37,1,1,4,1,4,37,37,37,3,4,37,37,3,37,37,37,37,5,37,2,,
22,8,23,20,37,37,12,13,37,35,24,37,37,36,10,15,21,7,22,2,31,18,14,32,37,3,37,16,27,37,17,16,1,15,11,37,9,,
9,22,37,12,13,36,2,23,7,1,4,32,15,28,35,24,31,18,5,6,17,10,25,27,20,3,26,19,11,8,33,30,16,34,21,14,29,,
37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,4,37,37,37,37,37,37,37,1,37,37,37,37,37,1,37,37,37,37,4,37,37,,
32,8,37,22,21,27,31,20,30,2,23,13,12,35,10,7,1,17,25,9,14,16,36,6,33,3,11,28,29,5,34,26,24,4,18,19,15,,
