rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
7,1,3,16,5,12,11,11,4,6,8,2,9,15,12,14,1.0,16.0
16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,16,,
5,1,11,14,2,12,13,3,4,7,9,16,6,15,8,10,,
14,10,7,1,9,4,16,6,12,5,13,3,2,8,15,11,,
12,4,8,7,16,2,13,10,3,5,9,1,14,6,15,11,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
1,16,16,6,7,2,9,5,16,16,16,16,4,8,16,3,,
4,13,3,7,1,5,8,6,9,10,16,11,2,15,12,14,,
1,10,8,13,6,2,4,5,15,9,7,16,14,3,11,12,,
8,2,16,7,10,15,14,5,9,3,12,1,4,11,13,6,,
16,16,7,4,6,16,2,3,16,1,16,16,16,16,5,16,,
6,11,9,7,14,5,13,15,4,3,10,2,1,8,16,12,,
3,7,9,15,5,10,12,8,16,1,2,14,13,11,6,4,,
6,10,14,1,9,16,15,5,13,7,4,16,11,8,12,3,,
16,16,16,3,1,16,16,16,5,16,16,2,4,16,16,16,,
16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,16,,
8,13,4,11,1,10,9,2,16,6,15,3,12,14,5,7,,
16,4,1,16,6,16,5,16,16,2,16,16,16,7,3,16,,
12,6,5,9,1,14,8,3,15,2,11,10,4,16,7,13,,
2,16,5,16,16,16,16,16,16,3,7,1,16,6,16,4,,
13,9,6,12,7,8,11,5,1,14,15,2,3,16,10,4,,
2,10,8,13,16,14,12,15,4,7,5,1,3,6,11,9,,
12,1,6,2,15,11,16,8,5,3,7,4,10,9,14,13,,
7,3,4,16,16,11,14,16,9,8,6,5,1,2,15,10,,
5,7,8,6,4,13,14,10,3,1,15,2,13,16,13,9,,
6,8,12,13,5,11,14,16,7,3,4,9,2,10,15,1,,
3,14,5,6,2,16,4,15,13,7,12,1,12,12,8,12,,
16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,16,,
16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,16,,
16,8,3,11,1,10,7,16,2,16,6,5,4,12,9,16,,
1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
12,4,8,11,11,5,3,11,15,1,14,16,2,7,6,14,,
3,11,8,6,1,13,7,5,12,4,14,9,2,16,10,15,,
4,11,14,13,7,12,6,3,15,10,2,16,9,1,5,8,,
1,6,4,16,16,16,16,2,5,3,16,16,16,16,16,16,,
8,4,10,2,1,9,16,7,16,6,16,16,16,5,16,3,,
7,12,10,11,2,15,5,16,8,4,13,1,9,14,3,6,,
4,6,8,13,11,15,5,10,2,3,12,1,7,14,9,16,,
5,11,8,2,13,16,9,1,15,7,6,10,12,3,14,4,,
12,16,10,4,11,13,6,15,8,14,7,3,1,5,9,2,,
16,16,16,16,16,16,16,16,1,16,16,2,16,16,16,16,,
1,7,2,16,6,16,5,16,16,16,16,16,16,16,4,3,,
16,16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,,
6,16,16,16,1,5,16,16,16,4,16,16,2,16,16,3,,
16,16,16,16,16,16,16,16,16,1,16,16,16,16,16,16,,
9,15,13,12,2,11,16,10,6,8,7,3,1,5,14,4,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,,
2,14,15,5,10,16,9,7,6,3,13,1,12,8,11,4,,
16,1,3,16,16,16,5,16,16,16,6,16,16,2,4,16,,
2,14,13,11,1,7,11,12,3,4,6,11,5,16,11,15,,
3,15,4,7,16,11,13,1,8,5,9,2,10,6,15,12,,
6,1,1,11,16,13,4,9,12,15,3,7,10,2,5,8,,
16,16,16,16,16,16,16,16,2,3,16,1,16,16,16,16,,
10,9,6,1,5,16,4,7,12,3,14,11,13,15,3,8,,
7,2,6,13,11,12,16,4,5,3,8,1,9,10,15,14,,
16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,16,,
16,16,16,16,16,16,16,16,16,16,16,1,16,16,16,16,,
5,6,4,7,1,13,8,16,14,2,15,10,12,11,3,9,,
5,7,3,8,11,16,14,9,2,13,10,1,4,12,15,6,,
5,13,7,10,12,9,8,16,14,4,6,15,11,3,1,2,,
16,2,3,5,1,16,16,16,16,16,6,16,16,4,16,16,,
5,6,9,13,1,12,14,11,4,16,7,3,10,8,15,2,,
3,16,16,4,10,7,16,9,5,1,11,2,16,8,16,6,,
16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,16,,
3,4,12,10,14,9,11,7,8,1,15,2,6,16,13,5,,
4,12,3,2,1,15,11,14,7,5,9,10,13,16,8,6,,
5,1,9,16,6,7,10,11,16,2,16,16,4,16,8,3,,
16,15,1,14,14,16,16,16,14,15,16,15,15,16,15,15,,
10,13,12,16,2,8,7,14,1,3,6,5,11,4,9,15,,
1,16,16,5,16,3,12,6,13,4,11,9,10,7,8,2,,
2,12,13,15,1,16,9,8,11,3,6,14,7,5,10,4,,
16,16,16,16,4,16,16,16,16,3,16,16,2,16,16,1,,
7,1,3,12,5,13,11,14,8,6,15,4,16,9,10,2,,
15,11,4,13,6,3,14,16,9,5,12,8,1,10,7,2,,
