rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
2,4,6,1,5,6,3,6,13,1,8,6,2,1.0,13.0
6,9,8,7,5,1,4,3,Skipped,Skipped,Skipped,Skipped,2,,
2,8,4,7,5,Skipped,9,1,13,11,6,10,3,,
1,13,Skipped,Skipped,Skipped,13,Skipped,13,13,1,Skipped,1,13,,
1,3,4,2,3,1,4,3,Skipped,4,2,3,2,,
1,1,1,5,5,1,5,2,13,1,2,1,1,,
5,10,4,7,6,1,8,3,13,12,11,9,2,,
1,13,13,13,13,6,13,6,13,8,13,6,3,,
5,6,4,10,8,13,12,2,11,7,9,3,1,,
1,1,13,1,1,1,1,13,Skipped,2,1,1,2,,
10,12,4,2,7,13,8,11,13,5,3,9,1,,
1,13,3,13,13,3,13,2,13,13,3,2,2,,
10,6,1,13,3,13,13,8,Skipped,10,13,2,1,,
1,3,6,13,6,13,4,13,13,5,4,3,2,,
1,3,1,13,1,13,13,1,Skipped,3,3,1,1,,
2,3,13,13,10,13,10,3,13,3,4,1,2,,
5,6,8,5,2,12,2,13,11,9,4,3,1,,
13,13,3,3,13,2,13,2,13,13,2,1,13,,
1,2,2,3,3,Skipped,3,1,Skipped,2,2,1,1,,
1,2,1,2,1,1,2,1,13,2,2,2,1,,
2,10,4,6,6,4,10,1,13,13,6,2,2,,
13,2,13,13,13,1,13,2,13,1,13,1,3,,
6,8,9,7,10,3,13,2,6,4,5,1,12,,
3,Skipped,2,Skipped,Skipped,1,Skipped,3,13,Skipped,Skipped,2,3,,
1,4,2,3,4,13,4,1,13,3,3,2,1,,
7,12,13,1,2,5,2,1,13,4,12,1,1,,
1,1,13,13,13,1,1,13,10,1,1,1,13,,
3,Skipped,3,4,3,4,Skipped,2,Skipped,Skipped,Skipped,3,1,,
3,13,5,13,13,7,13,1,13,6,13,2,4,,
9,2,12,10,7,11,3,6,13,4,8,5,1,,
6,9,3,12,7,1,8,4,13,11,10,2,5,,
2,13,8,12,10,13,11,7,13,9,13,4,3,,
9,5,8,7,10,3,1,4,13,12,6,11,2,,
8,8,2,5,4,7,13,3,9,4,5,8,1,,
7,9,1,13,4,1,9,12,2,13,7,7,1,,
5,8,3,8,8,8,7,1,13,8,6,4,2,,
12,6,3,4,6,1,5,6,13,12,8,12,12,,
1,13,8,9,11,9,6,2,13,10,4,6,1,,
12,1,5,4,6,12,3,12,13,12,2,12,12,,
1,12,8,9,6,5,11,4,13,10,7,2,3,,
2,8,7,1,7,13,6,7,12,7,3,7,4,,
6,13,9,2,3,13,13,8,13,4,1,7,5,,
1,2,1,1,2,13,3,1,13,1,1,1,1,,
7,8,13,2,9,13,13,3,13,6,4,1,5,,
5,10,7,11,9,6,8,3,Skipped,1,12,2,4,,
10,5,13,1,1,1,1,13,13,1,1,5,13,,
12,12,6,12,12,7,12,4,13,2,1,5,3,,
13,1,13,2,1,13,2,13,13,1,2,2,1,,
2,3,2,5,5,7,4,1,13,2,6,2,1,,
5,9,6,8,7,3,9,2,13,1,8,3,4,,
9,7,5,10,6,4,3,2,13,12,8,11,1,,
1,3,3,13,13,2,1,1,Skipped,13,13,4,1,,
1,3,2,2,11,2,10,1,13,13,12,2,1,,
2,1,3,7,5,2,9,1,10,3,13,2,2,,
4,13,13,3,5,13,7,6,13,1,2,13,13,,
1,7,11,3,3,12,10,2,13,6,1,2,4,,
9,7,Skipped,12,Skipped,Skipped,Skipped,13,Skipped,10,6,8,11,,
6,7,2,7,5,2,7,1,13,5,6,6,1,,
3,3,1,2,3,3,3,2,13,3,1,1,1,,
3,4,8,9,7,10,6,2,11,12,13,1,5,,
13,1,8,1,1,8,2,2,13,12,13,13,3,,
6,7,2,9,5,3,11,1,13,10,8,8,4,,
13,13,13,13,13,1,13,13,3,13,2,13,13,,
4,3,8,9,4,6,7,1,13,10,6,2,5,,
2,8,8,1,13,13,13,7,10,3,1,8,9,,
4,9,1,11,12,10,7,1,13,6,8,5,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
1,7,11,8,10,2,5,3,13,12,9,4,6,,
7,8,2,6,11,1,9,12,13,5,3,10,4,,
4,13,13,13,13,13,13,3,13,2,13,13,1,,
2,5,2,Skipped,5,13,5,2,13,Skipped,3,2,1,,
1,5,3,12,7,4,9,11,8,6,13,2,10,,
13,1,1,3,4,13,3,1,13,2,3,13,13,,
1,Skipped,4,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,,
11,3,6,2,9,10,4,7,13,5,8,12,1,,
5,4,13,13,5,13,5,4,13,1,2,4,3,,
7,13,5,13,6,1,13,3,13,13,13,2,4,,
5,13,2,13,6,9,7,1,13,13,8,4,3,,
13,13,13,13,13,13,13,13,13,13,13,1,13,,
7,13,4,13,3,13,13,1,13,5,2,13,6,,
4,3,5,5,5,3,5,2,Skipped,2,3,1,4,,
4,11,7,8,12,5,9,1,13,6,10,2,3,,
3,3,3,2,3,3,3,3,13,3,3,1,3,,
5,13,6,13,13,10,13,3,13,7,13,1,4,,
2,2,2,3,3,2,3,1,13,2,3,2,1,,
2,3,3,2,4,5,4,1,13,5,4,2,1,,
2,3,4,3,3,4,2,1,13,2,2,1,1,,
3,13,2,3,13,13,13,1,13,13,7,5,2,,
4,12,8,7,11,9,6,1,13,5,10,3,2,,
13,6,2,4,13,3,13,5,13,13,13,7,1,,
6,3,8,4,5,2,1,12,13,7,9,10,13,,
12,10,12,12,9,13,10,11,12,10,2,12,1,,
2,13,3,13,13,13,3,3,4,13,13,3,1,,
9,13,2,13,2,4,9,2,11,9,13,13,1,,
4,9,6,8,10,2,11,1,Skipped,13,3,7,12,,
2,10,7,4,9,13,5,6,12,8,11,3,1,,
2,7,5,Skipped,3,1,7,2,Skipped,Skipped,4,Skipped,6,,
13,13,13,1,13,1,13,13,13,13,2,13,13,,
5,9,8,7,11,1,6,3,13,4,10,12,2,,
4,8,9,2,5,13,3,11,12,10,7,6,1,,
12,12,2,12,12,1,12,13,13,12,3,12,4,,
5,13,13,4,13,13,6,7,13,13,1,3,2,,
1,6,9,8,4,10,7,1,13,4,5,2,1,,
4,11,5,10,8,7,12,2,13,9,6,3,1,,
2,13,13,13,13,5,13,3,13,4,13,1,13,,
2,3,4,1,1,2,1,3,13,1,1,4,1,,
2,13,13,1,10,13,1,11,12,1,13,9,13,,
12,12,3,12,12,3,12,2,13,12,12,12,1,,
Skipped,6,3,1,4,13,7,5,12,Skipped,Skipped,Skipped,2,,
5,12,6,3,5,12,4,2,13,8,12,8,1,,
3,3,5,1,5,1,3,13,13,3,2,1,13,,
1,3,13,5,1,13,3,4,12,1,3,2,13,,
13,12,9,3,8,6,4,10,5,11,2,1,7,,
3,13,4,2,13,2,4,1,13,13,3,4,1,,
3,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
2,8,1,10,8,10,8,1,13,9,10,6,6,,
2,13,6,5,13,13,4,3,13,7,13,13,1,,
4,13,2,5,13,1,13,4,13,Skipped,3,13,13,,
7,4,11,2,9,12,5,8,13,3,6,10,1,,
3,13,3,3,13,1,3,1,13,13,13,13,2,,
5,13,3,6,13,13,13,1,13,13,7,2,4,,
1,3,2,2,2,2,3,1,13,2,1,1,1,,
2,Skipped,3,Skipped,Skipped,4,Skipped,5,Skipped,4,Skipped,1,2,,
8,4,10,1,2,6,3,9,13,5,7,12,11,,
8,1,13,11,10,2,Skipped,9,12,10,10,7,3,,
1,2,1,2,9,8,12,1,13,2,10,1,11,,
5,10,6,8,3,13,11,2,12,9,4,7,1,,
7,13,6,8,9,2,13,4,13,13,5,13,3,,
1,13,4,13,2,3,13,1,13,13,5,1,1,,
6,4,9,1,10,5,5,3,13,7,8,11,2,,
2,Skipped,4,Skipped,Skipped,3,Skipped,1,13,Skipped,Skipped,5,13,,
1,6,13,12,2,5,7,13,8,12,4,3,13,,
5,13,3,9,7,1,8,6,13,13,13,2,4,,
1,1,1,8,8,1,8,13,12,1,8,1,1,,
6,2,4,5,6,1,5,3,Skipped,3,6,5,5,,
1,5,11,9,7,13,8,3,12,6,10,2,4,,
2,Skipped,3,Skipped,Skipped,1,Skipped,1,Skipped,Skipped,1,1,2,,
5,8,2,6,12,3,10,7,13,11,9,4,1,,
Skipped,3,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,,
3,2,6,4,4,1,13,7,13,5,13,13,13,,
4,4,Skipped,Skipped,4,2,13,4,Skipped,3,Skipped,1,Skipped,,
2,9,5,8,6,11,10,3,13,11,7,1,4,,
13,7,13,2,4,13,13,6,13,5,3,13,1,,
3,11,2,4,10,1,5,8,13,12,7,6,9,,
1,1,1,3,9,13,10,1,11,9,3,1,1,,
1,3,1,2,2,13,12,1,7,2,1,1,1,,
1,3,2,2,4,13,2,1,13,2,4,3,1,,
3,2,5,2,2,3,2,8,13,4,1,1,13,,
6,5,Skipped,2,8,1,3,7,13,Skipped,4,Skipped,Skipped,,
5,4,5,4,4,4,3,3,13,5,5,3,3,,
8,7,6,8,8,1,5,4,9,8,8,2,3,,
1,3,4,3,3,4,3,2,13,1,3,1,2,,
3,7,5,8,9,10,4,2,13,Skipped,8,6,1,,
13,5,1,10,10,3,6,8,13,7,2,8,3,,
1,7,13,3,8,13,13,4,13,13,5,1,4,,
5,10,8,3,9,4,7,2,13,12,11,1,6,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
7,6,4,Skipped,Skipped,2,Skipped,8,Skipped,Skipped,3,1,5,,
1,4,5,1,2,3,5,1,13,5,2,5,1,,
12,7,1,7,7,11,5,13,13,7,6,3,2,,
Skipped,1,3,Skipped,7,2,6,9,13,Skipped,8,5,4,,
2,2,2,2,3,13,1,1,13,3,4,4,1,,
1,2,5,3,2,2,1,3,Skipped,Skipped,2,4,1,,
2,6,9,13,13,8,13,1,13,7,5,3,4,,
1,8,11,3,9,12,7,6,13,2,10,4,5,,
13,13,3,13,2,1,13,13,13,13,13,13,13,,
