rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
8,1,5,4,3,2,7,6,1.0,8.0
Skipped,1,Skipped,Skipped,Skipped,3,2,Skipped,,
8,2,6,8,5,1,5,3,,
5,1,8,4,7,3,2,6,,
Skipped,1,5,Skipped,4,Skipped,2,3,,
6,1,7,8,5,2,3,4,,
6,1,6,6,5,2,3,5,,
Skipped,1,6,Skipped,4,3,2,5,,
7,1,6,8,5,2,2,4,,
8,1,7,4,5,3,2,6,,
7,4,8,6,1,2,3,5,,
8,3,8,8,8,2,1,4,,
6,4,7,8,5,1,2,3,,
6,1,7,8,5,3,2,4,,
6,1,7,8,5,3,2,4,,
6,1,8,7,5,2,3,4,,
7,1,6,8,4,2,3,5,,
Skipped,1,Skipped,Skipped,4,2,3,Skipped,,
Skipped,1,Skipped,Skipped,4,3,2,Skipped,,
7,1,6,8,4,3,2,5,,
Skipped,1,Skipped,Skipped,Skipped,3,2,Skipped,,
Skipped,1,5,Skipped,Skipped,2,3,4,,
Skipped,1,Skipped,Skipped,5,2,3,4,,
Skipped,1,Skipped,Skipped,5,3,2,4,,
8,3,5,7,4,1,6,2,,
Skipped,1,7,Skipped,5,2,3,4,,
7,1,2,3,5,4,8,6,,
7,1,4,8,5,2,3,6,,
Skipped,2,Skipped,Skipped,Skipped,3,1,Skipped,,
7,1,Skipped,Skipped,Skipped,2,8,Skipped,,
7,1,5,8,4,3,2,6,,
7,1,6,8,5,2,3,4,,
Skipped,1,Skipped,2,5,3,4,Skipped,,
5,2,8,4,7,3,1,6,,
Skipped,1,8,Skipped,3,2,4,2,,
8,2,8,8,8,8,1,8,,
Skipped,2,Skipped,Skipped,5,1,3,4,,
Skipped,1,Skipped,Skipped,Skipped,3,2,4,,
4,1,7,8,3,5,2,6,,
Skipped,1,Skipped,Skipped,3,2,4,Skipped,,
6,1,7,Skipped,5,2,3,4,,
7,1,6,5,3,4,8,2,,
7,1,4,8,5,3,2,6,,
6,1,7,8,4,3,2,5,,
4,1,5,6,3,2,8,7,,
Skipped,1,Skipped,Skipped,5,3,2,4,,
Skipped,1,Skipped,Skipped,Skipped,3,2,Skipped,,
5,4,8,8,6,1,3,2,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,,
4,1,8,7,6,3,5,2,,
8,1,4,7,6,2,3,5,,
