rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
5,2,2,18,2,8,18,1,1,17,7,15,18,14,12,18,3,18,1.0,18.0
18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,,
12,2,1,Skipped,5,Skipped,Skipped,6,3,11,Skipped,8,10,Skipped,7,4,Skipped,9,,
4,4,1,6,18,18,18,18,18,18,18,18,18,18,7,2,18,18,,
14,5,1,4,12,15,18,6,2,10,8,9,11,7,13,3,17,16,,
18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,18,1,10,2,18,18,3,18,3,18,6,18,18,18,18,18,18,,
7,3,2,12,4,17,18,6,5,10,9,8,14,13,11,1,15,16,,
7,3,1,18,4,8,18,4,4,18,8,7,18,18,18,2,18,18,,
4,6,1,18,8,18,18,18,5,7,18,3,9,18,18,2,18,18,,
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,6,1,18,4,8,18,9,5,15,18,16,18,18,18,2,18,3,,
10,1,2,3,7,18,17,5,6,14,8,9,15,11,13,4,16,12,,
18,18,3,18,4,2,18,18,5,6,18,18,18,18,18,1,18,18,,
5,7,1,18,4,18,18,10,2,9,6,8,18,18,18,3,18,18,,
16,4,2,5,5,11,18,7,3,8,18,13,12,14,10,1,9,15,,
1,8,4,9,14,16,17,7,5,6,18,15,11,17,13,2,15,3,,
18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,,
6,8,1,6,2,7,18,4,11,8,12,5,18,9,10,3,17,13,,
8,2,1,18,6,14,15,5,4,7,11,12,10,17,9,3,16,13,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
13,3,1,18,14,12,18,3,8,15,2,18,16,18,17,4,18,11,,
18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,1,3,18,18,18,18,6,4,18,18,18,18,5,2,18,18,,
6,1,3,18,9,11,18,4,8,12,7,2,14,15,13,5,10,18,,
4,3,1,9,4,9,11,2,3,11,8,10,10,12,16,3,18,10,,
18,5,18,18,18,18,18,4,1,2,18,18,18,18,18,3,18,18,,
11,18,7,14,12,9,13,2,10,6,17,1,5,16,4,3,15,8,,
18,1,18,18,18,8,18,3,7,18,18,12,18,2,18,5,18,18,,
10,1,2,18,13,7,6,3,5,14,9,8,17,16,12,4,11,15,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
3,2,1,17,8,9,14,6,5,7,12,10,13,18,15,4,16,11,,
5,18,4,18,18,18,18,6,3,2,18,7,9,18,8,1,18,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
18,2,4,18,18,18,18,3,18,18,18,18,18,18,18,5,18,1,,
9,6,1,18,5,11,18,3,2,10,8,4,12,15,18,7,14,13,,
5,6,3,18,18,18,18,4,18,3,18,18,18,18,18,1,18,18,,
12,3,1,14,6,16,17,5,2,7,13,8,9,18,11,4,15,11,,
18,3,4,15,5,7,16,2,8,15,11,18,18,14,12,1,18,6,,
4,2,1,9,7,14,15,6,5,8,12,10,13,16,17,3,18,11,,
1,8,2,15,17,14,16,4,10,5,11,12,9,13,6,3,18,7,,
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
18,3,1,18,18,18,18,18,18,18,18,18,18,18,18,2,18,18,,
18,18,2,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,,
16,10,5,7,17,12,18,8,15,2,1,3,11,6,4,14,9,13,,
