rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
7,8,1,3,6,10,4,2,11,12,5,9,1.0,12.0
5,1,8,2,11,4,9,7,10,3,6,12,,
Skipped,11,7,1,5,9,6,12,8,12,10,3,,
Skipped,6,12,8,5,9,2,Skipped,1,4,3,7,,
12,12,12,12,12,1,2,12,12,12,12,12,,
5,1,7,2,10,6,9,8,3,12,11,4,,
12,12,12,12,12,12,12,12,12,12,12,12,,
2,12,12,1,12,12,12,12,12,12,12,12,,
2,12,12,12,12,12,12,12,1,12,12,12,,
12,12,12,12,12,12,12,12,1,12,12,12,,
5,2,Skipped,6,Skipped,3,Skipped,Skipped,1,4,Skipped,Skipped,,
6,7,5,1,4,Skipped,3,2,Skipped,Skipped,5,8,,
8,2,3,1,6,11,5,4,10,7,9,12,,
12,12,12,12,12,12,12,12,1,12,12,12,,
6,12,11,1,4,9,2,5,7,8,3,10,,
4,2,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,6,Skipped,5,,
1,5,12,6,12,3,7,12,2,4,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
3,1,Skipped,2,10,8,9,Skipped,7,5,4,6,,
8,9,3,6,4,11,5,7,10,12,1,2,,
2,12,12,12,12,12,12,12,1,12,12,12,,
11,7,1,3,6,9,4,2,10,8,5,12,,
8,10,1,5,7,3,6,2,12,9,4,11,,
5,10,12,1,7,6,2,12,9,3,4,8,,
2,3,6,4,10,11,8,6,5,11,9,1,,
1,3,5,2,12,9,11,4,7,8,10,6,,
12,12,12,12,12,12,12,12,12,12,12,12,,
1,12,12,12,12,12,12,12,12,12,12,12,,
2,3,12,12,12,12,12,12,1,12,12,12,,
12,12,1,3,12,12,12,2,12,12,12,12,,
11,6,4,4,4,5,11,11,12,4,7,11,,
7,5,Skipped,12,8,3,6,Skipped,9,2,1,4,,
2,12,6,1,5,12,4,Skipped,12,12,3,12,,
5,4,3,1,8,11,7,2,12,10,6,12,,
11,4,5,8,3,10,2,6,12,9,1,7,,
11,8,4,1,5,12,7,3,10,2,6,9,,
1,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
5,1,12,12,12,2,12,12,3,12,4,6,,
2,3,7,1,5,9,8,6,12,12,4,12,,
12,4,2,1,12,12,12,3,12,12,12,12,,
1,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,4,Skipped,Skipped,Skipped,,
1,3,12,12,12,5,12,12,4,12,12,2,,
3,4,8,2,11,10,12,7,6,9,1,6,,
12,1,12,2,12,12,12,12,12,12,12,12,,
1,12,12,12,12,12,12,12,12,12,12,12,,
3,1,6,2,8,9,11,10,12,5,7,4,,
3,4,Skipped,5,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,Skipped,,
12,12,12,12,12,12,12,12,1,12,12,12,,
2,1,8,6,10,7,12,9,4,3,11,5,,
12,12,12,12,12,12,12,12,12,12,12,12,,
10,8,3,1,6,12,2,4,9,7,5,11,,
7,2,4,1,8,10,5,3,11,12,6,9,,
5,12,4,2,10,7,9,3,1,6,8,12,,
4,3,Skipped,Skipped,Skipped,5,Skipped,Skipped,1,Skipped,Skipped,2,,
1,1,12,1,12,12,12,12,12,3,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
9,3,Skipped,8,6,5,7,Skipped,10,2,1,4,,
5,1,4,2,12,8,9,3,6,10,11,7,,
3,1,12,12,12,4,12,12,2,5,12,12,,
2,Skipped,12,5,7,8,6,12,4,3,1,12,,
12,5,3,1,12,4,6,2,12,12,7,12,,
12,12,12,12,12,12,12,12,12,12,12,12,,
1,11,8,7,4,6,5,9,4,2,3,12,,
3,1,Skipped,6,Skipped,Skipped,Skipped,Skipped,4,2,Skipped,5,,
5,Skipped,2,1,Skipped,Skipped,Skipped,3,Skipped,Skipped,6,4,,
4,2,12,1,5,12,8,6,12,9,12,12,,
2,5,12,12,12,12,3,12,1,4,12,12,,
4,7,12,5,10,1,9,3,6,2,8,11,,
