rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
2,12,6,5,4,7,8,1,13,3,11,14,10,9,15,1.0,15.0
5,Skipped,Skipped,7,2,Skipped,4,Skipped,Skipped,1,8,Skipped,6,3,Skipped,,
2,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,4,10,Skipped,5,9,7,1,11,3,8,Skipped,Skipped,6,Skipped,,
Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,4,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,12,1,2,10,7,5,14,13,11,6,3,4,9,15,,
7,2,Skipped,Skipped,3,6,4,5,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,4,Skipped,Skipped,Skipped,Skipped,,
2,Skipped,13,Skipped,6,7,3,1,Skipped,Skipped,5,4,8,9,Skipped,,
8,1,10,Skipped,Skipped,9,7,5,2,4,3,Skipped,Skipped,6,Skipped,,
10,1,13,3,11,14,12,4,6,2,5,7,9,8,Skipped,,
Skipped,Skipped,5,Skipped,Skipped,7,4,1,6,3,Skipped,Skipped,Skipped,2,Skipped,,
2,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,Skipped,9,10,Skipped,7,4,5,2,1,8,Skipped,Skipped,6,Skipped,,
1,Skipped,3,Skipped,Skipped,Skipped,4,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,Skipped,7,1,Skipped,Skipped,5,4,Skipped,Skipped,3,Skipped,2,Skipped,Skipped,,
13,1,11,12,10,8,7,9,14,6,3,5,5,2,15,,
3,1,12,14,2,13,10,15,8,5,4,7,6,9,11,,
Skipped,Skipped,3,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,1,8,Skipped,Skipped,Skipped,7,Skipped,5,2,4,Skipped,Skipped,3,Skipped,,
13,2,15,8,12,10,11,3,9,4,6,7,5,14,1,,
Skipped,6,8,Skipped,Skipped,Skipped,Skipped,2,5,1,3,Skipped,4,7,Skipped,,
6,8,15,11,7,4,3,2,9,1,13,10,14,5,12,,
1,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,4,3,Skipped,1,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,Skipped,4,Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,2,Skipped,Skipped,4,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
13,3,15,5,8,9,12,2,10,1,7,6,4,11,14,,
13,3,9,1,11,15,14,12,8,2,6,4,5,10,7,,
7,5,9,10,8,Skipped,Skipped,2,1,3,4,Skipped,Skipped,6,Skipped,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,3,5,Skipped,2,7,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
10,4,13,1,12,11,9,2,6,3,5,Skipped,8,7,Skipped,,
8,12,13,4,1,14,Skipped,10,9,5,3,2,6,7,11,,
5,Skipped,6,Skipped,Skipped,Skipped,1,Skipped,4,Skipped,3,Skipped,Skipped,2,Skipped,,
1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,Skipped,2,Skipped,Skipped,Skipped,Skipped,4,1,Skipped,3,Skipped,Skipped,Skipped,Skipped,,
7,Skipped,8,1,4,Skipped,5,2,Skipped,3,6,Skipped,9,Skipped,Skipped,,
4,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,1,7,Skipped,Skipped,Skipped,5,2,4,Skipped,6,Skipped,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,2,5,Skipped,4,Skipped,Skipped,Skipped,3,Skipped,3,Skipped,Skipped,,
9,12,7,8,Skipped,10,11,5,6,1,4,Skipped,2,3,Skipped,,
6,Skipped,10,Skipped,7,11,8,4,Skipped,2,3,5,1,9,Skipped,,
3,1,4,2,6,Skipped,4,15,Skipped,Skipped,5,14,Skipped,15,Skipped,,
3,Skipped,5,Skipped,Skipped,6,8,2,7,1,4,Skipped,Skipped,3,Skipped,,
5,2,5,Skipped,Skipped,4,4,Skipped,4,1,5,Skipped,Skipped,3,Skipped,,
?,?,?,2,3,?,?,1,?,15,?,?,?,?,?,,
