rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,numSeats,numCands
13,7,2,9,3,8,14,29,29,29,14,11,6,29,4,29,5,29,29,16,29,10,17,1,29,29,12,29,29,1.0,29.0
17,5,27,21,28,10,24,7,25,9,1,2,18,14,3,16,20,23,15,11,13,4,8,24,26,22,6,19,12,,
9,10,7,22,5,12,6,26,29,29,11,4,6,9,2,21,1,20,9,16,27,10,15,9,26,8,10,25,28,,
19,11,9,10,25,5,8,19,23,20,12,1,5,7,1,22,1,5,13,16,18,22,15,1,20,20,14,22,17,,
29,29,7,29,6,5,4,29,3,29,1,29,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,10,8,29,3,15,7,29,29,29,6,4,9,29,5,11,2,29,13,29,29,29,16,1,29,12,14,29,29,,
29,29,8,29,3,29,29,29,29,29,9,2,7,29,4,5,5,29,29,29,29,29,29,1,29,6,29,29,29,,
15,14,10,21,4,20,7,29,26,28,9,1,8,22,5,3,6,27,11,19,25,12,17,2,23,16,13,18,24,,
29,9,11,29,2,12,7,20,29,29,4,3,8,13,5,13,6,19,15,29,29,29,14,1,18,10,16,17,29,,
29,8,4,23,1,29,5,29,27,29,6,2,10,18,3,Skipped,9,29,14,29,29,24,26,3,29,9,21,16,29,,
29,29,20,29,3,29,10,29,29,29,2,4,17,29,14,12,1,29,29,29,29,29,29,1,29,13,29,29,29,,
29,29,4,29,29,29,29,29,29,29,29,3,5,1,29,29,2,29,29,29,29,29,29,6,29,29,29,29,29,,
24,12,10,27,3,11,5,29,20,28,7,4,15,16,6,9,2,18,17,21,26,22,13,1,23,8,14,19,25,,
29,10,6,29,1,6,6,29,29,29,29,4,6,29,4,11,1,29,29,29,29,29,29,1,29,12,29,29,29,,
Skipped,6,15,21,7,Skipped,8,16,23,Skipped,9,2,5,17,4,18,3,22,14,Skipped,Skipped,19,13,1,20,12,10,11,Skipped,,
29,10,3,29,4,29,7,29,29,29,6,2,8,16,6,9,5,29,13,29,29,29,11,1,13,29,11,15,29,,
29,14,6,20,1,18,12,29,21,29,8,4,7,19,5,13,3,29,11,29,29,15,16,2,29,9,17,10,29,,
18,13,7,16,2,Skipped,8,Skipped,Skipped,Skipped,6,4,5,9,5,12,3,Skipped,11,Skipped,Skipped,14,17,1,15,Skipped,10,Skipped,Skipped,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2,29,29,29,29,29,29,1,29,29,29,29,,
14,18,Skipped,17,7,Skipped,8,Skipped,Skipped,Skipped,5,2,15,13,1,9,4,19,9,Skipped,Skipped,Skipped,11,2,10,Skipped,6,16,Skipped,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
18,Skipped,15,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,14,5,11,6,Skipped,20,3,9,17,12,Skipped,10,Skipped,16,13,Skipped,2,Skipped,Skipped,,
29,29,7,29,4,29,6,29,29,29,3,4,8,29,5,29,2,29,29,29,29,29,29,1,29,29,10,29,29,,
29,29,29,29,3,29,29,29,29,29,29,4,29,29,4,29,1,29,29,29,29,29,29,1,29,29,29,29,29,,
29,29,6,29,2,29,8,29,29,29,5,4,7,10,5,29,1,29,29,9,29,29,29,3,29,29,29,29,29,,
27,15,8,16,3,13,5,22,19,27,21,2,4,17,1,28,12,14,11,18,24,23,7,6,20,29,9,25,25,,
29,5,2,5,1,5,1,29,29,29,4,2,4,6,3,4,2,6,4,29,29,5,29,1,6,29,5,29,29,,
29,29,10,29,6,12,4,29,29,29,3,7,9,29,5,29,2,14,8,29,29,15,11,1,13,29,29,29,29,,
29,6,9,29,2,29,10,29,29,29,8,4,29,29,7,5,3,29,11,29,29,29,29,1,29,29,29,29,29,,
13,6,6,29,3,29,9,29,29,29,9,3,9,13,3,6,1,29,9,29,29,29,15,1,29,29,15,29,29,,
24,11,12,25,1,19,8,28,27,26,6,4,7,17,5,18,3,20,13,23,29,15,16,2,21,9,10,14,22,,
18,5,13,16,3,22,14,24,28,29,11,7,10,6,27,8,1,21,26,15,25,12,9,4,17,19,1,23,20,,
29,29,8,17,6,18,7,29,29,29,3,5,10,11,4,29,2,14,12,29,29,13,16,1,15,29,9,29,29,,
15,6,8,Skipped,2,Skipped,7,Skipped,Skipped,Skipped,8,3,12,14,8,11,4,Skipped,13,Skipped,Skipped,Skipped,Skipped,1,Skipped,5,13,15,Skipped,,
18,16,8,15,3,29,2,20,Skipped,29,2,4,19,13,9,17,5,10,28,29,29,Skipped,8,1,Skipped,Skipped,10,15,29,,
26,13,10,20,3,18,9,25,24,28,7,2,6,16,5,19,4,21,12,27,29,15,22,1,17,8,14,11,23,,
29,29,9,29,3,29,11,29,29,29,7,1,12,10,6,8,4,29,29,29,29,29,29,1,29,5,29,29,29,,
Skipped,8,6,Skipped,2,Skipped,9,29,29,29,4,1,11,7,4,5,5,Skipped,12,Skipped,29,29,29,3,29,10,12,Skipped,29,,
29,11,9,29,4,29,8,29,29,29,7,2,13,14,5,16,3,17,10,29,29,29,15,1,29,29,12,6,29,,
27,16,6,22,2,12,10,25,24,26,9,4,8,14,5,15,3,28,13,21,29,20,17,1,23,7,18,11,19,,
6,6,5,10,6,10,6,10,10,10,5,1,5,6,3,6,3,6,6,10,10,10,6,1,10,3,6,6,10,,
Skipped,13,6,Skipped,3,Skipped,9,Skipped,Skipped,Skipped,7,4,8,13,5,8,2,Skipped,14,Skipped,Skipped,17,16,1,18,11,15,12,Skipped,,
29,12,6,16,7,9,10,29,29,29,8,3,29,14,2,29,1,17,5,15,29,29,11,4,29,29,29,13,29,,
29,11,29,29,2,29,12,29,29,29,29,4,10,29,3,29,29,29,29,29,29,29,29,1,29,29,29,29,29,,
29,29,7,29,5,29,6,29,29,29,3,4,8,29,29,29,1,29,29,29,29,29,29,2,29,29,29,29,29,,
28,15,10,3,7,4,24,29,27,1,9,5,14,8,6,13,2,25,19,22,11,21,2,16,Skipped,12,10,18,12,,
24,6,8,21,3,12,7,26,25,27,11,2,15,14,5,13,4,22,20,23,29,16,19,1,17,9,18,10,28,,
14,4,3,8,1,8,5,11,12,15,3,3,4,7,3,9,2,13,5,9,16,8,8,1,10,6,5,9,9,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,,
14,6,13,13,4,20,12,18,29,28,12,4,6,16,3,3,3,21,5,15,25,22,14,3,14,Skipped,12,16,20,,
29,10,6,29,1,29,29,29,29,29,8,4,6,29,4,29,1,29,29,29,29,29,29,1,29,29,29,29,29,,
29,29,7,29,7,29,2,29,29,29,1,5,29,29,4,29,5,29,29,29,29,29,29,3,29,29,29,29,29,,
20,9,5,15,6,21,13,29,29,29,7,1,4,14,3,11,10,29,15,29,29,16,12,2,18,19,8,17,29,,
14,8,3,12,2,10,3,18,12,20,4,3,4,9,5,3,2,12,7,12,20,12,7,1,13,10,7,6,20,,
Skipped,Skipped,8,Skipped,3,9,6,Skipped,Skipped,Skipped,4,4,7,10,5,15,1,Skipped,8,Skipped,12,Skipped,9,2,10,Skipped,7,Skipped,Skipped,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,2,29,29,29,29,29,,
2,4,8,1,3,29,5,29,29,29,29,29,29,29,29,29,29,6,29,29,29,29,29,29,29,29,7,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,,
27,8,10,21,7,14,22,25,29,26,3,6,9,10,2,27,4,14,5,22,17,20,12,1,14,24,18,19,12,,
21,7,10,12,2,18,3,Skipped,16,Skipped,9,3,11,20,1,8,4,Skipped,14,Skipped,Skipped,21,18,6,13,5,17,15,Skipped,,
24,12,10,21,3,22,6,29,20,29,9,3,8,13,7,5,3,29,16,23,29,18,14,1,19,15,11,17,29,,
29,8,4,29,1,12,6,29,18,29,10,4,9,13,4,7,5,29,11,29,29,19,15,2,17,3,16,14,29,,
