rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,1.0,18.0
Skipped,1,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,,
4,3,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,2,,
Skipped,Skipped,Skipped,Skipped,2,4,1,5,9,Skipped,Skipped,Skipped,Skipped,8,6,3,Skipped,7,,
Skipped,Skipped,4,Skipped,Skipped,5,Skipped,Skipped,9,2,7,6,3,8,Skipped,Skipped,1,Skipped,,
2,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,4,Skipped,Skipped,,
6,9,12,3,18,7,1,15,18,13,11,5,8,14,2,4,17,10,,
Skipped,Skipped,Skipped,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,,
2,8,10,Skipped,6,1,3,Skipped,4,Skipped,7,5,Skipped,11,Skipped,Skipped,Skipped,9,,
Skipped,Skipped,1,Skipped,2,Skipped,Skipped,7,6,4,Skipped,Skipped,3,2,Skipped,Skipped,5,Skipped,,
Skipped,3,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
17,14,10,4,13,1,8,6,9,5,15,18,12,2,11,3,7,16,,
Skipped,Skipped,Skipped,3,Skipped,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,4,3,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,3,4,5,6,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,3,Skipped,Skipped,7,Skipped,1,5,Skipped,Skipped,Skipped,6,2,4,Skipped,Skipped,,
13,14,3,17,10,17,6,2,18,6,Skipped,Skipped,1,17,17,17,6,13,,
4,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
11,8,16,14,1,9,4,5,18,6,12,10,2,7,17,15,3,13,,
5,4,1,17,6,17,17,7,18,3,17,17,8,9,17,17,2,17,,
Skipped,Skipped,4,Skipped,1,Skipped,5,6,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,7,Skipped,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,5,Skipped,2,Skipped,Skipped,1,7,Skipped,Skipped,8,6,3,4,8,Skipped,,
6,3,2,6,6,6,6,6,5,6,6,6,4,6,6,6,1,6,,
2,10,Skipped,11,14,7,6,Skipped,8,12,3,1,15,13,5,9,16,4,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,6,Skipped,3,Skipped,Skipped,5,4,Skipped,Skipped,Skipped,,
Skipped,7,4,Skipped,3,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,6,Skipped,Skipped,Skipped,5,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,,
Skipped,4,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,,
6,3,Skipped,Skipped,4,5,1,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
10,6,2,10,1,10,3,4,18,7,10,10,5,9,10,10,8,10,,
