rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
11,11,11,11,11,11,11,11,11,11,11,1.0,11.0
1,4,2,4,3,2,5,2,1,5,3,,
1,8,2,Skipped,4,7,5,3,10,9,6,,
Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,,
1,Skipped,7,Skipped,4,2,9,5,8,6,3,,
Skipped,8,3,Skipped,2,1,4,6,9,5,7,,
4,2,11,8,3,7,5,6,1,9,10,,
2,Skipped,3,Skipped,4,1,Skipped,5,Skipped,Skipped,Skipped,,
Skipped,Skipped,5,Skipped,3,6,Skipped,2,Skipped,4,1,,
Skipped,Skipped,1,Skipped,6,5,Skipped,1,Skipped,4,3,,
2,10,8,Skipped,4,5,9,1,6,7,3,,
Skipped,11,4,Skipped,9,2,3,6,5,1,10,,
2,7,3,4,9,6,8,1,Skipped,10,5,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,10,8,Skipped,4,6,5,1,9,7,3,,
5,Skipped,8,2,9,7,3,4,Skipped,6,1,,
Skipped,3,7,Skipped,4,2,6,1,Skipped,Skipped,5,,
1,4,3,1,5,6,8,2,9,6,2,,
9,6,2,8,7,4,3,9,5,10,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,9,7,11,8,6,5,1,10,4,3,,
3,Skipped,Skipped,Skipped,Skipped,4,Skipped,1,Skipped,2,Skipped,,
3,6,10,Skipped,5,7,4,2,9,8,1,,
Skipped,6,4,Skipped,7,1,8,3,9,5,2,,
4,7,5,11,8,2,9,3,10,6,1,,
2,9,8,6,1,10,5,3,Skipped,7,4,,
Skipped,6,3,10,4,7,9,5,2,8,1,,
Skipped,5,4,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,1,,
1,3,3,6,4,5,7,2,5,8,4,,
Skipped,9,2,Skipped,3,6,7,1,8,5,4,,
1,5,2,4,5,5,6,2,8,7,3,,
4,3,7,2,5,8,10,1,11,9,6,,
4,8,9,11,6,2,7,3,5,10,1,,
7,10,3,9,1,4,6,8,11,5,2,,
9,10,11,11,8,10,9,11,10,8,10,,
1,11,5,2,7,3,10,9,8,6,4,,
Skipped,11,1,Skipped,Skipped,3,Skipped,2,Skipped,Skipped,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
