rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
1,18,Skipped,Skipped,18,18,Skipped,18,Skipped,2,15,Skipped,16,18,Skipped,18,Skipped,18,1.0,18.0
2,18,18,7,12,18,9,4,18,8,1,18,5,11,18,6,3,10,,
1,Skipped,5,12,6,3,10,7,Skipped,8,9,Skipped,2,4,Skipped,Skipped,Skipped,11,,
6,9,3,15,7,2,8,5,Skipped,10,1,4,11,Skipped,12,Skipped,13,14,,
5,14,11,13,3,16,8,9,10,12,1,7,6,15,17,18,2,4,,
1,10,11,13,2,7,12,5,14,2,4,3,1,2,6,18,8,9,,
2,11,6,16,7,5,17,12,9,10,1,3,4,13,14,18,15,8,,
2,13,16,9,5,7,4,12,Skipped,8,1,17,6,11,14,15,3,10,,
3,14,7,18,2,9,4,12,Skipped,10,1,5,8,6,15,17,13,11,,
2,15,10,16,12,1,8,3,13,7,5,14,9,17,11,18,4,6,,
2,Skipped,Skipped,11,5,9,15,10,Skipped,6,1,14,3,8,12,13,4,7,,
3,Skipped,Skipped,18,4,18,9,7,8,6,1,Skipped,Skipped,2,18,18,5,18,,
3,10,6,18,15,1,8,12,14,13,5,9,2,7,16,17,4,11,,
2,2,4,5,Skipped,1,1,3,Skipped,Skipped,1,Skipped,2,4,Skipped,Skipped,1,Skipped,,
2,9,11,14,4,6,10,15,Skipped,17,1,12,8,5,16,13,3,7,,
1,Skipped,8,Skipped,4,Skipped,3,Skipped,Skipped,7,5,Skipped,2,Skipped,Skipped,18,6,Skipped,,
8,2,13,9,1,11,14,6,Skipped,7,15,16,4,5,10,17,3,12,,
7,Skipped,Skipped,Skipped,4,1,9,6,Skipped,11,3,10,2,5,Skipped,Skipped,8,Skipped,,
3,15,12,17,2,8,13,9,Skipped,Skipped,1,11,6,18,14,18,4,16,,
3,Skipped,1,5,6,14,12,11,Skipped,10,7,4,9,13,Skipped,Skipped,8,2,,
4,8,18,9,16,15,17,17,Skipped,2,1,15,5,6,16,14,3,7,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
1,5,18,18,18,18,18,18,18,2,3,18,6,18,18,18,4,7,,
4,Skipped,Skipped,18,6,Skipped,Skipped,Skipped,Skipped,3,2,17,1,Skipped,Skipped,Skipped,16,Skipped,,
Skipped,5,Skipped,6,Skipped,Skipped,7,Skipped,Skipped,1,4,3,Skipped,Skipped,Skipped,Skipped,2,Skipped,,
2,Skipped,18,Skipped,4,5,3,Skipped,18,8,1,18,7,Skipped,18,18,6,Skipped,,
3,14,7,12,11,13,2,5,Skipped,8,6,9,1,10,Skipped,15,4,Skipped,,
1,15,13,10,9,3,6,5,14,8,2,7,17,16,12,18,11,4,,
1,13,11,10,9,8,15,4,Skipped,14,2,Skipped,6,Skipped,5,16,3,7,,
1,17,12,18,9,6,7,4,10,3,16,15,11,5,13,14,2,8,,
5,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,6,2,Skipped,4,Skipped,Skipped,Skipped,1,3,,
5,Skipped,Skipped,10,3,6,1,7,Skipped,Skipped,2,Skipped,4,8,Skipped,Skipped,9,Skipped,,
1,Skipped,Skipped,4,7,Skipped,Skipped,6,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,5,3,Skipped,,
1,17,1,2,17,17,1,17,17,3,1,17,1,17,17,17,1,18,,
2,5,18,18,18,18,4,18,18,18,1,18,3,18,18,18,18,18,,
1,5,9,14,11,7,12,6,Skipped,13,2,3,8,10,Skipped,16,15,4,,
5,14,15,12,1,8,2,3,Skipped,11,6,Skipped,7,13,7,10,3,9,,
2,15,7,Skipped,11,9,Skipped,1,Skipped,8,14,4,5,6,12,13,3,10,,
1,Skipped,Skipped,Skipped,5,Skipped,2,Skipped,9,6,7,Skipped,4,8,Skipped,Skipped,3,Skipped,,
3,12,14,5,13,Skipped,8,10,Skipped,6,2,11,1,Skipped,7,Skipped,9,4,,
5,Skipped,1,7,8,Skipped,Skipped,Skipped,Skipped,18,3,2,4,Skipped,Skipped,Skipped,Skipped,6,,
1,7,6,17,5,3,16,16,7,6,2,6,4,6,16,18,16,5,,
1,8,6,16,10,11,9,12,18,15,7,3,4,2,14,17,13,5,,
18,18,3,18,18,2,18,18,18,18,1,4,18,18,18,18,18,18,,
2,Skipped,Skipped,5,3,18,8,Skipped,Skipped,7,6,Skipped,4,11,Skipped,9,1,10,,
2,13,7,17,11,4,14,12,Skipped,9,1,10,3,5,15,16,8,6,,
1,10,2,11,15,10,9,6,12,13,4,18,3,16,14,Skipped,8,7,,
3,Skipped,16,9,13,2,6,5,Skipped,7,4,18,1,11,10,17,12,8,,
2,Skipped,5,Skipped,4,13,6,1,7,10,3,Skipped,11,9,12,Skipped,8,14,,
5,14,3,8,Skipped,2,7,9,Skipped,10,6,12,4,13,Skipped,Skipped,11,1,,
1,10,6,16,5,4,13,13,10,6,2,6,3,10,15,18,13,6,,
1,11,18,13,3,6,12,8,18,9,2,15,4,5,14,18,7,10,,
4,18,18,8,1,18,18,18,18,7,5,18,6,18,18,18,2,3,,
3,13,16,13,4,1,13,9,Skipped,10,5,Skipped,2,6,14,17,7,9,,
2,Skipped,7,Skipped,9,1,12,11,Skipped,6,10,Skipped,3,8,Skipped,Skipped,5,4,,
2,10,Skipped,Skipped,4,1,Skipped,Skipped,Skipped,8,5,Skipped,3,7,9,12,11,6,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
4,18,2,18,18,18,5,18,18,3,7,1,6,18,18,18,5,18,,
Skipped,3,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,5,Skipped,2,Skipped,Skipped,Skipped,6,Skipped,,
5,14,Skipped,Skipped,8,1,7,3,Skipped,12,4,Skipped,11,2,13,9,6,10,,
7,7,15,7,14,2,7,6,7,6,1,15,3,14,15,18,7,6,,
3,10,18,18,7,4,6,18,11,18,2,18,1,5,18,18,9,8,,
2,15,9,18,10,4,13,12,7,8,1,14,5,6,17,16,11,3,,
5,10,16,15,3,1,12,2,Skipped,8,9,14,6,7,11,17,13,4,,
2,17,7,17,3,6,17,18,17,5,4,17,1,17,17,17,17,18,,
2,8,Skipped,14,10,7,9,12,Skipped,15,3,4,1,11,13,Skipped,5,6,,
2,9,4,17,13,1,8,12,17,14,3,11,5,10,17,18,6,7,,
5,13,17,8,16,3,12,10,Skipped,2,1,4,6,14,11,15,7,9,,
2,?,1,7,?,?,17,?,?,6,3,?,4,?,?,?,5,?,,
