rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
15,8,13,14,3,10,4,16,2,9,12,1,5,7,11,6,1.0,16.0
16,5,1,2,3,4,16,16,16,6,16,16,16,16,16,7,,
7,2,6,5,8,3,16,12,9,11,4,16,16,16,1,10,,
10,5,3,3,1,5,2,6,5,6,3,4,6,7,16,2,,
3,6,4,8,5,1,9,Skipped,Skipped,3,Skipped,7,Skipped,Skipped,2,2,,
13,2,10,12,8,7,16,14,3,15,4,5,1,9,11,6,,
16,4,7,5,2,6,3,8,10,11,13,1,12,15,14,9,,
12,13,4,5,3,2,8,11,10,15,16,7,9,14,6,1,,
Skipped,7,Skipped,8,4,6,5,Skipped,Skipped,1,Skipped,1,Skipped,Skipped,2,3,,
Skipped,5,Skipped,Skipped,14,1,Skipped,15,13,Skipped,2,4,6,16,3,8,,
Skipped,2,5,5,8,2,Skipped,4,2,1,7,5,6,Skipped,3,1,,
4,2,Skipped,Skipped,1,1,5,16,3,Skipped,2,16,16,16,2,1,,
6,5,Skipped,Skipped,2,3,2,4,7,Skipped,1,3,Skipped,6,4,Skipped,,
7,9,14,1,12,3,11,16,13,8,5,6,15,10,4,2,,
5,9,2,1,14,13,12,16,8,3,6,10,11,15,7,4,,
Skipped,Skipped,8,6,3,1,Skipped,Skipped,Skipped,2,5,8,7,Skipped,8,4,,
5,14,1,4,1,8,6,10,16,7,12,11,9,15,13,1,,
6,3,2,5,1,2,4,3,4,7,7,5,2,6,6,4,,
16,16,14,Skipped,3,16,7,12,16,Skipped,9,6,16,14,1,Skipped,,
14,6,3,5,11,2,8,13,7,15,9,12,10,16,4,1,,
Skipped,8,7,6,1,2,Skipped,9,Skipped,Skipped,Skipped,5,Skipped,Skipped,4,3,,
Skipped,Skipped,1,1,5,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,1,,
6,8,4,7,9,10,Skipped,5,11,Skipped,2,1,12,13,14,3,,
Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,4,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,1,,
16,5,3,4,1,2,9,15,7,6,12,11,14,10,8,13,,
Skipped,Skipped,2,2,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
14,2,8,5,1,3,10,13,6,15,11,16,12,9,4,7,,
16,2,1,1,10,2,10,16,2,16,16,7,16,16,10,3,,
Skipped,2,9,8,5,1,10,6,3,14,15,4,11,12,13,7,,
10,16,10,16,2,Skipped,16,3,3,Skipped,Skipped,10,12,16,10,Skipped,,
6,5,7,9,2,4,Skipped,11,10,Skipped,8,Skipped,12,Skipped,3,1,,
5,2,6,10,12,9,8,14,7,1,13,15,11,16,4,3,,
Skipped,Skipped,5,2,Skipped,Skipped,Skipped,1,4,Skipped,Skipped,3,6,Skipped,Skipped,Skipped,,
11,8,2,1,4,6,Skipped,Skipped,10,7,Skipped,9,12,Skipped,5,3,,
6,7,5,16,4,7,16,16,7,16,16,2,16,Skipped,1,3,,
Skipped,Skipped,1,3,5,Skipped,Skipped,8,6,9,4,7,Skipped,Skipped,Skipped,2,,
Skipped,5,4,3,9,1,2,8,7,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,9,2,1,11,5,14,8,10,16,15,7,3,13,12,4,,
Skipped,11,4,3,16,12,Skipped,13,2,Skipped,Skipped,1,14,15,Skipped,Skipped,,
16,10,2,3,16,1,16,2,6,9,8,13,11,12,4,5,,
6,15,3,13,5,10,12,11,16,14,8,9,7,4,1,2,,
14,15,16,16,1,16,11,2,16,10,4,5,9,2,6,6,,
16,1,5,14,15,2,16,16,7,15,16,6,16,16,4,3,,
Skipped,7,1,4,15,13,10,5,3,14,9,11,6,12,8,3,,
13,6,9,10,5,4,15,12,3,16,8,7,11,14,2,1,,
12,2,1,1,1,2,2,15,5,10,10,4,16,13,2,15,,
7,14,8,Skipped,1,3,10,5,13,Skipped,6,6,9,Skipped,4,2,,
Skipped,8,Skipped,Skipped,6,8,Skipped,9,8,7,4,2,5,1,3,10,,
16,5,3,4,2,5,1,16,5,3,16,2,16,5,3,1,,
16,1,10,3,12,11,7,1,1,11,13,8,5,9,6,4,,
14,13,9,10,2,5,4,7,12,16,11,8,6,15,3,1,,
Skipped,7,Skipped,9,2,1,Skipped,11,6,10,8,5,Skipped,Skipped,4,3,,
16,8,2,2,7,1,5,9,15,16,4,16,16,16,6,3,,
12,10,6,12,8,9,7,12,11,15,12,14,16,13,12,1,,
11,3,16,14,7,1,2,4,8,15,5,12,6,10,9,13,,
16,1,5,4,10,2,14,8,3,12,9,6,7,15,11,13,,
11,7,Skipped,1,3,6,2,16,8,Skipped,12,10,9,5,16,4,,
10,7,2,8,16,5,12,9,14,15,13,6,1,11,3,4,,
1,13,2,16,3,8,5,10,14,6,11,9,12,15,7,4,,
16,16,5,15,16,16,16,16,6,14,7,13,16,16,16,3,,
1,3,1,1,2,3,5,4,3,4,2,5,5,4,3,2,,
16,8,13,16,1,6,9,5,4,16,2,10,11,12,7,3,,
Skipped,4,2,5,5,4,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,1,2,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
6,6,?,3,1,5,?,16,16,?,4,?,4,16,2,6,,
