rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,numSeats,numCands
16,14,3,11,10,18,1,5,7,15,17,9,4,2,6,8,12,13,19,20,1.0,20.0
7,15,11,11,3,1,4,13,13,14,5,9,10,12,9,9,11,6,2,8,,
15,3,17,13,8,19,12,11,5,10,1,14,6,7,18,4,9,20,2,16,,
7,20,16,14,6,1,2,19,18,17,4,11,12,13,9,10,15,5,3,8,,
20,11,14,18,5,12,4,13,9,3,7,15,17,1,8,2,10,19,6,16,,
8,12,10,1,14,6,15,2,16,9,3,11,1,20,4,19,17,5,7,13,,
7,20,16,14,6,1,2,19,18,17,4,11,12,13,9,10,15,5,3,8,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,6,8,5,2,Skipped,Skipped,Skipped,3,Skipped,7,Skipped,4,Skipped,Skipped,,
Skipped,Skipped,Skipped,4,3,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,1,Skipped,,
20,20,20,20,20,20,20,20,20,3,1,20,20,20,20,20,20,20,2,20,,
4,20,20,20,2,1,20,20,6,20,5,20,20,20,20,20,20,3,20,20,,
3,8,15,1,12,9,10,5,14,20,18,16,19,4,13,7,6,11,17,2,,
13,15,6,12,2,7,1,17,5,10,16,9,4,3,18,11,20,19,8,14,,
17,19,15,16,2,11,5,10,18,8,1,4,9,6,20,3,14,12,7,13,,
20,20,20,20,1,20,3,9,20,20,20,8,2,4,20,20,20,7,5,6,,
6,17,19,12,7,1,4,20,18,16,5,9,10,11,15,13,14,2,3,8,,
Skipped,Skipped,Skipped,Skipped,3,1,4,Skipped,Skipped,5,2,Skipped,8,Skipped,Skipped,7,Skipped,6,Skipped,Skipped,,
20,20,8,20,6,3,7,20,20,1,4,7,7,20,5,20,20,20,2,20,,
7,20,16,14,6,1,3,19,18,17,5,11,12,13,9,10,15,2,4,8,,
7,20,16,14,6,1,2,19,18,17,4,11,12,13,9,10,15,5,3,8,,
6,19,7,16,19,4,3,19,2,9,1,12,5,3,11,10,15,19,8,17,,
2,17,3,10,5,15,4,18,11,19,8,16,1,20,15,8,15,12,6,9,,
1,Skipped,5,3,2,Skipped,9,Skipped,Skipped,20,Skipped,Skipped,7,8,Skipped,4,Skipped,Skipped,Skipped,6,,
