rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
8,1,3,6,16,16,9,11,16,12,2,5,7,4,10,16,1.0,16.0
16,9,1,16,7,16,4,16,8,16,6,16,16,2,3,5,,
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,,
7,16,16,9,2,1,10,13,15,16,4,16,16,16,5,16,,
12,9,6,1,11,16,8,4,14,2,3,7,15,5,10,13,,
3,16,2,5,13,15,12,7,6,9,1,10,8,4,11,14,,
16,16,16,16,16,16,16,16,16,16,16,16,16,1,16,16,,
16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
11,16,6,1,13,8,15,10,5,3,9,4,7,2,12,14,,
5,16,1,3,6,9,10,7,4,13,2,12,14,8,11,15,,
16,3,16,16,16,16,16,2,16,16,1,16,16,16,16,16,,
16,16,1,16,16,16,16,16,16,16,1,16,16,16,16,16,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,,
16,16,1,16,16,16,16,16,16,16,16,16,16,2,16,16,,
16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,,
5,16,1,3,16,16,6,16,16,16,4,7,16,2,16,16,,
5,16,1,7,15,11,9,6,8,2,4,13,10,3,14,12,,
6,16,4,9,8,15,13,10,7,5,1,2,12,3,11,14,,
16,16,16,16,16,16,16,16,16,16,1,2,16,16,16,16,,
16,16,1,16,16,16,16,6,16,5,2,3,16,4,16,16,,
5,2,8,1,12,16,3,4,7,10,11,13,6,9,14,15,,
16,16,16,16,16,16,16,16,16,16,16,1,16,16,16,16,,
5,16,1,4,11,15,13,6,14,7,3,10,12,2,9,8,,
5,2,4,1,13,11,14,11,12,11,3,6,16,7,15,11,,
16,16,1,4,16,16,16,3,16,16,2,16,16,5,16,16,,
9,16,2,10,13,15,12,3,11,6,4,5,8,1,14,7,,
16,16,16,16,10,16,16,16,12,16,14,16,16,1,16,16,,
3,15,1,12,16,5,16,15,13,10,2,9,11,4,6,14,,
1,16,2,16,16,16,3,16,4,16,16,16,16,16,16,16,,
16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
5,3,1,6,9,16,4,16,16,16,8,7,16,2,16,16,,
10,1,5,7,9,16,12,11,6,14,8,4,3,2,13,15,,
4,2,12,7,3,16,6,8,5,10,1,13,9,14,11,10,,
2,16,1,16,16,16,16,3,5,16,16,16,4,16,16,16,,
16,10,1,3,16,16,16,5,16,14,2,15,16,7,13,16,,
6,7,2,4,16,11,8,5,13,9,1,12,10,3,14,15,,
15,15,16,2,15,15,15,15,15,15,1,15,15,3,15,15,,
16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
3,16,4,2,12,13,11,7,10,8,5,14,6,1,9,15,,
16,10,16,16,16,16,16,1,16,16,16,16,16,16,16,3,,
14,8,1,6,12,11,15,2,13,4,3,10,7,5,9,16,,
16,9,4,8,10,11,14,15,2,6,3,13,5,1,7,12,,
16,4,16,1,16,16,16,2,16,16,16,16,3,16,16,16,,
16,16,16,16,16,16,16,16,16,16,16,1,16,16,16,16,,
