rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
5,7,Skipped,Skipped,Skipped,8,6,1,Skipped,2,4,Skipped,3,1.0,13.0
10,8,2,6,12,Skipped,7,3,1,4,9,5,11,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,5,2,Skipped,Skipped,10,3,1,4,8,6,Skipped,9,,
Skipped,2,Skipped,Skipped,Skipped,5,Skipped,1,Skipped,2,6,Skipped,2,,
Skipped,2,Skipped,Skipped,Skipped,3,1,Skipped,Skipped,Skipped,5,4,Skipped,,
Skipped,1,2,13,Skipped,Skipped,3,4,Skipped,10,Skipped,Skipped,Skipped,,
7,5,2,Skipped,9,1,Skipped,4,3,Skipped,6,Skipped,8,,
6,1,8,11,13,4,10,7,9,5,3,12,2,,
13,4,2,Skipped,Skipped,Skipped,3,1,5,6,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,3,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,4,1,Skipped,2,6,Skipped,5,,
12,5,6,3,10,13,7,2,4,9,8,1,11,,
Skipped,4,Skipped,Skipped,2,9,Skipped,6,5,10,1,7,3,,
Skipped,4,Skipped,Skipped,Skipped,13,1,5,2,Skipped,Skipped,Skipped,3,,
Skipped,3,Skipped,13,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,,
11,7,1,Skipped,8,Skipped,9,6,5,3,4,2,10,,
5,7,1,2,9,13,6,4,3,10,11,12,Skipped,,
Skipped,2,Skipped,Skipped,1,Skipped,5,6,8,7,3,Skipped,4,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
10,8,Skipped,3,Skipped,6,9,2,1,11,7,4,5,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
Skipped,4,2,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,5,Skipped,6,,
5,3,Skipped,Skipped,Skipped,6,7,Skipped,1,4,Skipped,Skipped,2,,
8,4,Skipped,Skipped,Skipped,Skipped,5,1,2,3,6,Skipped,7,,
Skipped,2,Skipped,6,Skipped,Skipped,5,1,Skipped,Skipped,3,Skipped,4,,
11,5,2,9,13,12,4,1,10,3,8,7,6,,
13,7,3,4,10,12,6,2,11,1,8,9,5,,
7,10,12,4,13,11,3,1,2,9,6,8,5,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,3,,
Skipped,Skipped,4,Skipped,Skipped,Skipped,2,1,3,5,Skipped,Skipped,Skipped,,
Skipped,4,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,5,7,3,6,,
2,1,Skipped,1,Skipped,Skipped,1,1,1,Skipped,Skipped,1,3,,
11,4,12,1,2,5,10,13,7,9,6,3,8,,
6,3,Skipped,Skipped,Skipped,Skipped,5,1,2,4,Skipped,Skipped,7,,
12,8,7,1,10,9,6,2,4,3,10,11,5,,
Skipped,3,Skipped,Skipped,5,Skipped,2,1,Skipped,Skipped,4,Skipped,Skipped,,
Skipped,4,3,2,Skipped,Skipped,7,1,8,Skipped,6,Skipped,5,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,4,Skipped,1,,
9,12,4,1,13,11,10,2,5,6,8,3,7,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,1,1,,
8,4,6,9,11,1,7,3,2,Skipped,5,10,12,,
13,4,13,3,13,13,6,2,9,8,7,1,5,,
Skipped,5,Skipped,3,1,4,Skipped,7,8,Skipped,6,2,Skipped,,
6,4,3,Skipped,Skipped,Skipped,Skipped,1,7,2,Skipped,Skipped,5,,
Skipped,5,1,Skipped,Skipped,Skipped,8,3,4,6,Skipped,2,7,,
10,2,7,3,Skipped,11,6,1,4,9,8,Skipped,5,,
3,1,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,4,Skipped,Skipped,Skipped,2,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,5,3,1,Skipped,10,8,2,4,6,11,Skipped,7,,
Skipped,2,8,Skipped,Skipped,Skipped,5,3,6,7,1,Skipped,4,,
11,2,5,Skipped,Skipped,10,8,1,8,8,4,8,3,,
10,6,7,3,?,12,8,1,11,9,5,2,4,,
