rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
7,11,12,11,11,6,4,6,8,13,3,1,2,1.0,13.0
13,6,11,4,1,5,7,9,8,12,10,3,2,,
Skipped,Skipped,Skipped,3,1,4,1,Skipped,Skipped,Skipped,Skipped,5,2,,
13,5,10,11,12,3,8,7,9,6,4,1,2,,
12,8,5,11,13,2,10,6,4,9,7,1,3,,
4,13,7,2,1,13,6,13,5,13,13,12,3,,
12,8,10,11,13,5,2,6,9,7,4,3,1,,
12,8,10,11,7,4,3,9,5,13,2,1,6,,
11,9,8,3,1,13,6,5,7,12,10,4,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,,
13,4,8,11,3,7,7,7,9,12,10,1,2,,
11,13,13,3,13,8,13,13,13,2,13,1,4,,
13,6,8,13,9,4,5,7,7,9,3,1,2,,
13,13,13,13,7,3,4,13,13,6,5,1,2,,
12,4,7,10,13,2,8,6,11,5,3,9,1,,
13,13,13,13,13,4,13,13,3,13,5,2,1,,
13,3,7,11,12,6,2,10,8,5,4,9,1,,
12,5,7,9,11,3,13,6,10,8,4,1,2,,
13,5,3,12,7,2,10,8,11,9,4,1,6,,
13,6,7,12,11,3,9,5,8,10,4,1,2,,
13,13,13,13,13,4,2,Skipped,Skipped,13,13,1,3,,
13,13,13,13,2,3,13,13,13,13,13,1,13,,
13,6,10,12,11,5,2,8,9,7,4,3,1,,
3,6,10,12,13,1,5,8,11,7,9,2,4,,
13,Skipped,11,Skipped,13,1,Skipped,Skipped,Skipped,Skipped,Skipped,1,5,,
12,8,9,11,13,5,3,7,4,10,6,1,2,,
13,13,13,13,13,13,13,13,13,13,13,1,13,,
13,13,13,13,13,2,13,13,13,13,13,1,2,,
12,7,8,4,13,3,10,9,5,11,6,1,2,,
12,5,10,7,13,4,3,9,6,11,8,1,2,,
11,3,12,10,13,2,7,5,9,8,4,1,6,,
3,10,6,2,1,11,4,8,5,9,12,13,8,,
13,Skipped,13,13,13,13,Skipped,7,13,13,8,1,2,,
13,8,12,5,7,11,1,3,4,9,10,6,2,,
13,13,13,13,13,1,13,13,13,13,13,1,13,,
13,5,7,12,10,3,9,6,11,8,4,2,1,,
12,9,11,4,13,5,7,8,3,10,6,1,2,,
13,7,9,11,12,3,4,5,Skipped,8,10,2,1,,
13,5,10,9,12,3,8,7,6,11,4,1,2,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,13,13,2,13,4,13,13,13,1,3,,
13,13,13,13,13,3,13,13,13,13,13,2,1,,
