rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
9,12,6,8,10,3,16,14,1,4,5,7,13,15,2,11,1.0,16.0
9,15,6,8,16,3,11,10,1,4,5,7,14,12,2,13,,
9,16,6,8,11,4,12,15,2,3,5,7,14,13,1,10,,
8,10,6,9,11,3,16,13,1,4,5,7,12,14,2,15,,
8,10,6,7,12,3,11,16,1,4,5,9,13,14,2,15,,
8,10,6,7,14,4,13,12,1,3,5,9,11,15,2,16,,
9,10,6,7,12,5,13,14,1,3,4,8,11,15,2,16,,
9,10,6,7,13,4,12,15,1,3,5,8,11,16,2,14,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
9,11,6,7,10,4,15,12,1,3,5,8,13,16,2,14,,
9,11,6,7,14,4,16,12,1,3,5,8,10,15,2,13,,
9,12,6,7,10,3,14,13,2,4,5,8,11,15,1,16,,
9,14,6,7,11,4,13,12,1,3,5,8,10,16,2,15,,
9,10,6,7,13,3,15,12,1,4,5,8,11,14,2,16,,
7,13,6,8,10,5,14,16,1,3,5,10,11,15,2,12,,
8,14,7,6,16,2,11,15,1,4,5,9,12,13,3,10,,
9,12,6,7,10,5,14,13,1,3,4,8,11,16,2,15,,
6,13,7,8,15,3,11,10,2,4,5,9,12,14,1,16,,
8,10,6,7,13,3,12,16,1,4,5,9,11,14,2,15,,
9,12,6,7,10,3,14,13,1,4,5,8,11,15,2,16,,
9,16,6,7,16,3,16,16,1,5,4,8,16,16,2,16,,
8,10,6,7,11,4,16,12,1,3,5,9,13,14,2,15,,
9,12,6,7,10,2,16,13,1,4,5,8,11,15,3,14,,
8,11,6,7,10,3,15,13,1,4,5,9,12,16,2,14,,
8,13,7,6,12,2,15,14,3,4,5,9,10,11,1,16,,
8,10,6,9,12,2,14,13,4,5,3,11,7,15,1,16,,
9,12,6,7,13,3,14,10,2,4,5,8,11,15,1,16,,
8,10,6,9,12,2,16,14,1,4,5,7,11,13,3,16,,
8,12,6,9,14,3,15,13,1,4,5,7,11,10,2,16,,
9,13,6,7,12,5,14,11,3,3,4,8,10,15,1,16,,
10,11,7,6,13,4,16,14,2,3,5,9,12,8,1,15,,
9,10,6,8,12,4,14,13,1,3,5,7,11,16,2,15,,
7,10,6,9,12,5,15,13,1,4,3,8,11,14,2,16,,
9,15,7,6,14,4,11,16,1,3,5,8,13,12,2,11,,
7,12,6,9,11,4,10,13,1,3,5,8,14,16,2,15,,
8,13,6,9,10,4,14,12,1,3,5,7,11,15,2,16,,
8,12,6,7,13,4,14,11,1,3,5,9,10,15,2,16,,
9,13,8,7,10,4,12,15,1,3,5,6,11,16,2,16,,
9,13,6,7,9,3,10,15,1,4,5,8,14,16,2,11,,
9,13,6,7,12,3,10,14,2,4,5,8,11,15,1,16,,
8,10,7,6,12,4,16,13,1,3,5,9,11,14,2,15,,
9,10,6,7,12,3,15,11,1,4,5,8,13,14,2,16,,
8,10,6,7,13,4,14,15,2,3,5,9,11,12,1,16,,
6,5,10,13,13,7,1,12,4,2,3,9,13,11,8,13,,
7,10,6,8,11,2,13,14,1,3,4,9,12,16,5,15,,
8,11,7,6,12,3,13,14,1,4,5,9,10,15,2,16,,
8,13,6,11,9,4,14,12,1,3,5,7,10,16,2,15,,
8,11,6,7,10,2,16,13,1,3,5,9,12,15,4,14,,
