rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,numSeats,numCands
33,33,33,33,33,33,33,33,33,3,33,33,33,2,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,1.0,33.0
33,11,10,33,33,33,33,33,33,33,33,33,33,2,33,6,5,33,33,33,33,33,33,33,1,2,33,33,15,33,33,2,33,,
33,33,33,33,33,33,33,33,3,33,33,33,33,1,33,33,33,33,33,33,33,33,5,33,3,33,33,33,33,33,33,33,33,,
23,28,21,25,6,14,7,22,29,2,4,12,15,1,9,30,8,10,16,5,11,33,31,26,3,24,27,20,19,17,32,13,18,,
33,33,33,33,33,33,5,33,33,3,33,33,33,2,6,33,33,33,33,33,33,33,33,33,1,4,33,33,33,33,33,33,33,,
33,4,33,33,33,17,6,33,17,5,13,8,33,3,7,11,16,20,15,33,33,18,33,33,2,1,33,9,12,10,33,14,19,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,5,33,33,33,33,33,33,33,33,11,14,3,2,33,8,12,33,15,16,7,6,13,33,1,4,10,33,33,9,33,33,33,,
5,10,33,33,6,33,10,33,33,20,2,7,5,1,25,4,10,20,12,20,10,9,33,25,1,13,33,33,3,33,33,15,20,,
33,20,11,24,33,23,14,33,33,21,6,33,19,2,18,5,15,10,15,17,33,9,13,22,1,3,33,8,4,15,33,7,16,,
32,10,32,32,19,6,18,32,32,13,12,14,32,1,21,3,33,32,32,20,32,32,32,32,2,3,32,17,32,32,32,32,32,,
33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,33,,
33,33,33,33,33,5,33,33,33,2,33,10,33,3,33,33,33,6,9,33,33,33,33,33,1,7,33,33,33,33,33,8,4,,
19,5,23,18,3,26,9,20,Skipped,6,11,Skipped,27,2,4,21,17,25,15,21,Skipped,13,16,14,1,10,7,Skipped,12,8,28,24,29,,
Skipped,Skipped,Skipped,28,3,4,5,Skipped,Skipped,1,5,10,15,5,1,Skipped,15,8,10,15,10,27,8,10,1,Skipped,Skipped,Skipped,Skipped,10,Skipped,15,10,,
33,33,4,33,33,33,33,11,33,33,33,33,33,2,33,33,10,33,5,33,12,9,6,33,1,8,33,33,3,7,33,33,33,,
13,33,1,33,33,33,15,33,33,33,9,13,12,4,33,33,33,33,11,33,33,33,33,33,2,33,10,33,6,7,33,5,33,,
33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,4,33,33,33,33,10,33,33,11,33,33,9,5,33,7,13,2,14,33,8,33,12,1,33,33,33,3,33,33,6,33,,
32,21,26,28,12,12,8,33,20,8,12,16,2,8,5,21,5,16,31,16,12,26,8,2,1,2,30,5,28,23,23,23,16,,
17,33,8,8,6,2,4,33,33,5,1,10,5,7,13,11,33,33,33,12,9,33,33,14,3,33,33,16,33,33,33,15,33,,
19,28,15,26,22,6,4,32,10,7,30,21,11,1,5,13,8,24,16,12,20,31,27,33,2,17,18,29,14,3,25,23,9,,
27,2,26,29,31,18,7,32,10,22,19,15,8,3,30,28,11,24,20,21,33,12,13,25,1,5,16,14,23,6,17,4,9,,
33,33,33,33,2,7,4,33,33,5,14,33,33,13,1,33,12,8,10,33,11,33,33,9,3,33,33,33,33,33,33,33,6,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,2,33,33,1,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
33,9,5,33,2,3,1,33,33,1,7,5,7,1,2,5,11,4,9,5,3,9,7,4,1,9,33,5,33,9,33,33,5,,
33,33,13,16,15,15,33,33,33,33,Skipped,11,33,1,5,6,33,33,10,9,12,14,17,33,1,3,33,30,8,33,33,4,7,,
33,33,33,33,33,8,33,33,33,33,33,10,6,4,33,33,33,33,3,5,33,33,33,33,1,33,33,33,33,2,33,9,8,,
33,19,26,33,10,8,4,33,24,4,10,20,10,7,4,15,10,21,33,15,15,21,15,2,1,8,33,3,28,23,26,24,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,6,Skipped,Skipped,1,3,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,7,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,,
33,5,33,33,33,33,33,33,33,33,6,33,33,1,33,4,33,33,33,33,33,33,33,33,2,3,33,7,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,3,2,1,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
12,33,10,8,33,33,11,33,33,3,33,7,33,33,5,33,33,2,1,33,33,33,33,33,6,33,33,4,9,33,33,33,33,,
33,20,30,24,19,1,7,33,33,8,9,29,11,2,5,14,21,5,17,13,4,23,22,14,10,33,33,18,26,15,21,33,3,,
32,14,32,32,9,11,14,32,32,9,14,10,32,3,14,32,3,9,5,14,33,10,32,11,1,2,32,2,32,14,32,14,14,,
31,33,33,33,24,33,4,31,33,33,33,33,33,33,33,3,33,33,33,24,33,33,33,32,1,20,33,15,33,28,33,33,33,,
33,33,33,33,16,4,11,33,33,9,12,14,6,2,6,8,17,16,12,33,8,33,11,5,1,14,33,33,33,15,33,11,9,,
33,33,33,33,33,2,33,33,33,33,5,33,8,3,33,33,33,8,4,6,33,33,33,33,1,33,33,33,33,33,33,9,7,,
33,21,33,33,10,10,5,33,33,3,15,20,10,7,4,15,8,14,33,15,15,33,9,10,1,5,33,1,33,33,33,33,15,,
7,16,20,19,27,10,8,11,9,5,25,28,22,6,3,32,26,2,1,17,31,30,14,21,4,33,23,18,12,15,24,13,29,,
6,7,3,5,2,2,1,7,6,1,3,4,7,2,1,3,5,2,4,4,2,5,4,3,1,6,3,3,5,4,7,5,3,,
33,33,33,33,33,33,33,33,33,33,7,33,4,2,33,12,10,33,33,33,33,9,7,33,1,14,15,33,33,13,17,16,33,,
28,17,32,33,15,6,13,31,30,2,14,19,18,4,3,22,16,8,7,11,12,29,10,9,1,23,26,20,27,21,24,25,5,,
33,6,14,33,33,33,11,33,33,33,33,16,4,2,33,7,5,33,33,33,33,33,11,33,1,3,33,33,5,14,33,9,33,,
30,6,10,30,30,33,25,25,30,11,33,30,25,2,30,7,5,33,25,33,30,30,30,33,1,2,30,30,8,25,15,2,15,,
33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,33,,
Skipped,9,Skipped,Skipped,Skipped,7,3,Skipped,Skipped,4,Skipped,12,6,1,Skipped,Skipped,15,11,14,Skipped,Skipped,16,Skipped,10,2,5,Skipped,Skipped,13,17,Skipped,8,Skipped,,
23,5,30,32,5,18,2,31,23,9,10,24,16,1,8,24,26,20,30,21,14,16,33,11,2,11,26,12,13,22,32,19,6,,
33,33,33,33,6,33,1,33,33,6,33,33,33,6,6,33,10,1,10,10,33,33,1,1,1,33,33,33,33,33,33,33,33,,
33,24,33,33,8,4,9,33,33,13,7,18,14,5,2,22,10,3,11,6,17,15,23,20,1,16,33,25,33,21,33,19,12,,
33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,3,33,33,33,33,33,33,4,33,33,33,4,1,33,33,7,33,5,33,33,33,33,33,1,7,33,5,33,33,33,4,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
19,32,11,33,13,8,24,17,27,33,8,33,33,14,7,33,9,3,6,21,4,14,22,2,5,33,33,33,12,15,10,33,1,,
33,33,33,33,33,5,8,33,33,7,33,33,33,6,1,33,33,4,2,33,33,33,10,33,3,33,33,33,33,33,33,33,9,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
31,14,31,32,24,31,10,33,31,19,4,33,7,2,31,23,31,31,30,28,32,31,30,29,1,3,31,31,31,31,18,16,28,,
33,6,33,33,11,33,3,33,33,5,33,8,33,1,33,7,33,33,10,9,33,33,33,33,2,4,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,8,Skipped,Skipped,4,5,Skipped,Skipped,Skipped,5,Skipped,5,Skipped,Skipped,10,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
33,33,14,33,Skipped,3,10,33,33,2,18,7,33,1,5,33,33,6,33,10,11,18,33,4,1,33,33,33,33,33,33,33,33,,
33,21,9,10,13,26,7,23,32,7,20,6,19,5,14,24,3,13,2,17,8,6,5,14,1,13,19,27,11,31,22,4,18,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
15,3,3,7,Skipped,10,5,Skipped,15,Skipped,2,8,6,2,Skipped,2,8,5,8,Skipped,8,12,10,10,1,4,7,9,12,10,15,Skipped,2,,
Skipped,6,11,Skipped,32,32,32,Skipped,Skipped,32,7,13,3,1,32,3,10,32,12,32,12,Skipped,Skipped,32,1,3,Skipped,14,8,9,Skipped,33,32,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,25,1,8,8,Skipped,Skipped,1,8,10,Skipped,8,1,Skipped,15,7,10,10,10,20,8,8,5,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,10,,
33,27,33,33,6,3,18,16,33,33,10,4,7,2,8,33,6,7,4,33,5,7,18,33,1,33,33,5,33,16,10,33,7,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2,1,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,Skipped,5,11,3,17,Skipped,3,5,13,7,1,7,10,Skipped,4,12,16,33,9,Skipped,8,1,Skipped,Skipped,13,Skipped,4,Skipped,Skipped,11,,
33,33,33,33,33,6,33,33,33,33,5,33,33,1,33,7,33,33,33,33,33,33,33,33,2,3,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,29,27,25,18,10,3,Skipped,21,4,11,19,5,7,13,15,24,20,23,14,22,17,16,6,2,1,Skipped,8,12,10,28,26,9,,
9,29,8,26,22,16,6,7,28,5,30,12,27,10,3,8,15,2,1,20,32,24,19,14,4,23,17,11,13,31,18,33,21,,
33,2,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
29,4,28,29,27,33,23,28,17,33,22,24,18,1,33,20,11,33,25,26,20,13,18,33,1,4,16,30,31,16,20,7,33,,
33,33,33,33,1,3,5,33,33,6,33,33,33,33,1,31,33,3,33,33,3,33,33,30,32,33,33,29,33,33,33,33,3,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,5,7,2,33,33,1,13,13,10,6,3,13,33,9,33,11,11,33,33,4,7,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,6,33,33,32,33,8,33,33,33,33,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,13,18,15,15,Skipped,Skipped,4,8,10,9,5,17,Skipped,Skipped,1,6,12,3,20,21,Skipped,2,Skipped,Skipped,19,7,11,Skipped,Skipped,16,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1,2,33,33,33,33,33,33,33,33,,
33,8,17,25,Skipped,21,Skipped,17,32,Skipped,5,21,20,2,21,4,32,21,7,Skipped,21,20,Skipped,Skipped,1,2,33,29,22,6,29,30,21,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
Skipped,14,Skipped,9,6,4,5,Skipped,20,3,10,12,17,2,7,12,16,8,16,11,13,16,15,16,1,10,Skipped,Skipped,21,16,23,14,14,,
33,4,33,33,33,12,2,33,33,33,33,33,33,1,8,33,3,33,33,33,33,7,33,9,1,6,33,33,33,5,33,11,10,,
33,33,16,33,25,5,20,33,33,5,12,33,33,3,9,33,9,4,8,14,10,33,33,33,1,33,33,33,14,9,33,14,8,,
Skipped,Skipped,Skipped,Skipped,15,10,10,Skipped,Skipped,10,12,20,5,3,15,Skipped,10,20,25,25,15,Skipped,15,20,3,Skipped,Skipped,20,Skipped,25,15,20,Skipped,,
