rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
13,13,2,13,13,13,13,13,13,1,13,13,13,1.0,13.0
1,6,4,13,9,12,8,5,7,2,10,11,3,,
1,2,9,13,12,11,10,6,3,7,4,8,5,,
12,2,7,13,1,4,10,11,3,6,8,9,5,,
1,6,13,13,13,13,4,3,13,13,13,5,1,,
13,13,13,13,13,13,13,13,13,13,1,13,13,,
13,13,13,4,13,13,13,13,13,2,13,1,3,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
2,13,5,13,6,6,6,1,1,5,4,3,13,,
12,13,6,8,1,4,2,3,9,5,10,7,11,,
9,8,4,6,6,10,1,13,3,5,10,7,2,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
2,8,13,5,13,13,13,3,7,13,1,6,4,,
8,6,Skipped,13,13,12,13,1,1,Skipped,13,13,5,,
8,5,2,10,3,4,1,7,9,13,12,11,6,,
13,13,13,13,13,13,13,3,13,13,13,13,1,,
13,13,13,13,13,13,1,13,13,13,13,13,13,,
1,8,11,4,5,10,6,7,2,12,9,13,3,,
6,3,13,2,10,12,4,1,5,9,8,7,11,,
9,13,13,1,3,5,4,7,2,12,11,6,8,,
5,2,6,13,13,13,13,3,1,7,13,13,4,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
6,13,4,12,8,7,9,1,2,5,11,11,3,,
2,3,4,13,10,12,11,6,1,5,8,9,7,,
3,13,13,13,13,13,1,13,1,13,13,2,13,,
4,2,11,13,13,13,13,13,3,6,7,13,1,,
5,9,3,8,12,11,13,7,2,4,10,6,1,,
13,13,13,13,1,13,4,13,13,13,13,13,2,,
1,12,9,10,13,11,7,6,4,8,5,3,2,,
13,2,13,1,13,13,13,13,13,13,13,13,3,,
13,2,13,13,13,13,13,3,1,13,13,4,5,,
Skipped,Skipped,7,Skipped,6,3,1,5,2,8,Skipped,4,Skipped,,
7,6,5,Skipped,Skipped,Skipped,Skipped,3,1,4,Skipped,Skipped,2,,
13,12,2,5,4,10,3,8,7,1,6,9,11,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,1,13,13,13,13,13,13,13,13,13,,
4,7,9,5,6,10,8,11,3,12,1,2,13,,
12,13,2,11,4,3,5,7,6,1,9,8,13,,
4,6,8,1,5,7,6,6,2,7,5,3,5,,
12,3,10,4,8,11,9,1,7,5,6,13,2,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
4,7,3,13,8,11,10,5,6,2,9,12,1,,
3,1,13,13,13,13,13,2,13,13,13,13,4,,
4,13,13,13,13,13,2,13,1,13,13,3,13,,
5,7,8,4,13,13,13,1,6,8,2,3,13,,
13,4,6,8,3,7,9,11,1,5,12,10,2,,
9,3,2,11,6,8,7,10,5,4,12,13,1,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
13,13,1,2,13,13,13,13,13,4,13,3,13,,
13,13,13,13,13,13,13,13,1,13,13,2,13,,
7,2,6,10,13,12,11,3,5,1,9,8,4,,
13,13,5,13,13,4,13,3,1,6,13,2,13,,
13,13,13,13,13,13,2,13,13,13,13,13,1,,
13,11,4,10,7,6,5,2,12,3,9,8,1,,
13,13,13,1,13,13,13,13,13,13,13,13,13,,
1,6,2,5,7,9,8,12,13,4,10,11,3,,
10,11,4,13,6,8,9,5,2,1,7,12,3,,
11,8,10,6,7,13,9,5,2,3,12,4,1,,
7,4,13,12,5,6,11,8,2,1,9,10,3,,
1,13,13,5,3,13,13,13,13,13,13,4,2,,
11,6,13,7,1,3,2,12,5,13,9,10,4,,
8,4,5,6,7,2,3,9,13,12,10,11,1,,
12,11,8,10,6,5,1,3,13,9,4,2,7,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
1,2,9,12,13,10,6,4,7,8,11,5,3,,
1,13,13,13,13,3,13,13,13,13,13,13,2,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,13,13,13,13,2,1,13,13,3,4,,
13,5,6,12,3,7,2,1,4,10,9,8,11,,
5,Skipped,Skipped,Skipped,Skipped,6,4,3,2,Skipped,1,7,Skipped,,
13,13,1,13,13,13,13,13,13,13,13,13,13,,
2,7,8,10,13,11,12,1,4,9,6,5,3,,
6,Skipped,5,1,10,9,7,2,8,4,Skipped,3,11,,
4,12,8,3,6,7,5,1,13,9,10,2,11,,
5,8,8,13,13,13,13,2,4,6,13,13,1,,
4,12,11,13,7,10,8,6,3,9,2,1,5,,
12,9,5,13,3,11,8,2,1,7,10,6,4,,
1,4,9,7,11,12,3,5,6,13,8,10,2,,
1,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
Skipped,Skipped,1,Skipped,1,1,1,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
12,6,11,4,10,5,7,3,9,8,1,2,13,,
4,13,9,5,3,11,10,1,12,8,7,2,6,,
5,11,6,4,12,10,7,1,3,9,13,8,2,,
12,11,8,10,6,7,4,1,13,5,2,3,9,,
10,11,1,7,6,5,2,13,13,4,12,13,3,,
Skipped,8,7,Skipped,3,5,2,1,9,6,10,4,11,,
5,2,6,13,11,10,9,1,4,7,8,12,3,,
2,13,13,1,13,13,13,13,13,13,13,13,13,,
8,5,10,2,12,11,13,7,6,9,1,3,4,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
4,3,7,6,9,10,12,1,13,8,11,2,5,,
13,13,13,13,13,13,13,1,3,13,13,4,2,,
13,7,1,10,4,11,6,8,3,2,9,12,5,,
1,4,11,9,10,12,8,3,5,13,7,2,6,,
1,Skipped,13,6,Skipped,Skipped,Skipped,4,7,Skipped,2,3,5,,
11,13,2,12,8,7,6,1,9,3,4,Skipped,5,,
11,12,4,13,7,6,8,5,2,3,9,10,1,,
1,13,13,4,13,13,13,3,6,13,5,2,13,,
1,7,10,9,6,12,13,3,4,11,5,2,8,,
1,13,10,5,11,7,6,2,4,12,8,9,3,,
4,5,6,Skipped,Skipped,Skipped,Skipped,1,3,6,Skipped,Skipped,2,,
13,3,13,13,13,13,13,2,13,13,13,13,1,,
13,11,2,8,6,7,3,12,9,5,10,Skipped,1,,
1,13,13,13,13,13,2,13,13,3,13,13,13,,
5,1,7,13,9,13,8,3,2,6,4,11,10,,
Skipped,12,4,13,1,3,11,2,8,5,10,13,13,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
8,1,5,1,4,2,1,3,2,6,3,3,7,,
11,12,5,2,10,9,8,3,7,6,1,4,13,,
4,2,Skipped,Skipped,Skipped,Skipped,Skipped,5,3,Skipped,Skipped,Skipped,1,,
1,13,13,13,13,13,13,4,2,13,6,5,3,,
12,12,12,12,12,12,13,12,12,12,1,12,12,,
1,13,13,3,13,13,13,6,13,13,4,5,2,,
13,13,13,6,2,5,4,1,13,13,7,3,13,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
7,5,2,13,13,13,13,6,4,3,13,13,1,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
4,13,13,1,13,13,13,13,13,13,3,5,2,,
2,13,4,12,3,10,5,7,8,9,6,11,1,,
9,7,6,10,11,5,8,Skipped,4,12,2,3,1,,
2,3,7,10,9,8,5,Skipped,Skipped,6,4,Skipped,1,,
4,7,5,10,13,13,13,1,2,6,8,3,9,,
10,Skipped,3,Skipped,7,5,6,1,2,4,8,9,Skipped,,
13,13,13,1,13,13,13,13,13,13,13,13,13,,
13,13,13,1,13,13,13,13,13,13,13,13,13,,
3,13,5,13,13,13,13,2,4,6,13,13,1,,
3,13,13,5,13,13,13,6,4,13,2,1,13,,
1,3,13,5,8,7,9,11,10,12,2,4,6,,
4,7,1,10,11,13,12,3,5,2,8,9,6,,
13,1,7,13,6,5,4,13,13,3,8,13,2,,
13,13,6,5,13,4,2,1,13,13,3,13,13,,
1,6,5,10,12,11,7,4,13,8,9,3,2,,
1,5,Skipped,11,6,10,9,2,4,Skipped,8,7,3,,
13,2,1,13,5,6,4,13,13,3,13,13,13,,
13,10,11,4,5,9,3,8,1,12,6,2,7,,
4,1,5,13,9,11,10,8,2,6,12,7,3,,
4,6,7,11,8,13,10,5,1,12,9,3,2,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,13,13,13,13,3,13,2,13,13,1,,
2,8,13,7,13,4,13,1,9,13,5,6,3,,
13,13,13,13,13,13,13,13,1,13,13,13,13,,
Skipped,Skipped,Skipped,4,2,3,1,Skipped,Skipped,Skipped,Skipped,6,5,,
1,13,Skipped,5,13,3,13,Skipped,4,Skipped,Skipped,13,2,,
8,10,3,6,7,12,11,1,2,4,13,9,5,,
11,5,7,1,2,4,3,9,13,6,10,8,12,,
2,13,7,1,4,6,5,9,12,8,3,10,Skipped,,
1,13,13,13,13,13,13,13,3,13,13,13,4,,
3,4,5,Skipped,Skipped,Skipped,Skipped,1,2,6,Skipped,Skipped,7,,
2,13,5,13,13,13,13,13,1,3,13,13,4,,
1,3,5,13,13,13,13,7,2,6,13,13,4,,
7,2,8,10,11,12,13,4,1,9,5,6,3,,
11,13,2,6,4,5,3,9,10,1,7,8,12,,
2,10,6,1,9,5,4,Skipped,Skipped,8,3,Skipped,7,,
8,7,12,6,9,5,11,2,3,13,4,10,1,,
11,1,5,4,6,8,7,12,3,2,10,13,9,,
