rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,numSeats,numCands
Skipped,5,Skipped,Skipped,Skipped,Skipped,6,2,3,4,Skipped,Skipped,1,Skipped,1.0,14.0
6,1,Skipped,10,2,9,5,12,8,13,11,7,3,4,,
Skipped,Skipped,Skipped,Skipped,2,4,Skipped,3,5,Skipped,Skipped,Skipped,1,Skipped,,
10,7,5,11,12,1,13,6,14,4,8,2,9,3,,
5,Skipped,1,Skipped,4,Skipped,Skipped,6,2,Skipped,Skipped,Skipped,3,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,4,Skipped,1,,
7,1,12,3,9,6,4,8,11,5,13,14,2,10,,
5,6,3,12,11,Skipped,9,8,10,4,2,Skipped,7,1,,
12,2,9,14,13,1,10,5,6,5,8,3,7,11,,
1,Skipped,9,Skipped,6,5,10,3,8,4,7,Skipped,2,Skipped,,
Skipped,2,1,Skipped,7,5,Skipped,6,3,Skipped,Skipped,8,4,Skipped,,
4,3,5,8,9,7,11,13,10,1,6,2,12,10,,
9,6,13,14,5,3,12,8,2,11,10,1,7,4,,
Skipped,Skipped,Skipped,Skipped,2,7,4,Skipped,5,3,6,1,Skipped,Skipped,,
8,6,7,11,1,5,14,Skipped,12,Skipped,13,10,Skipped,9,,
11,2,6,3,8,4,14,9,10,7,5,1,13,12,,
1,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
11,7,14,14,5,8,14,4,6,3,2,1,8,10,,
3,Skipped,6,Skipped,1,Skipped,5,4,7,Skipped,Skipped,Skipped,2,Skipped,,
Skipped,Skipped,5,Skipped,Skipped,Skipped,6,2,3,Skipped,4,Skipped,1,Skipped,,
Skipped,Skipped,Skipped,3,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,2,,
3,Skipped,Skipped,Skipped,2,Skipped,4,1,Skipped,6,Skipped,Skipped,5,Skipped,,
8,Skipped,Skipped,Skipped,4,2,9,3,7,5,Skipped,Skipped,1,6,,
2,Skipped,Skipped,Skipped,3,5,6,7,Skipped,Skipped,4,Skipped,1,Skipped,,
Skipped,Skipped,Skipped,5,3,Skipped,Skipped,2,6,7,Skipped,Skipped,1,4,,
5,3,2,14,1,4,6,9,10,13,11,7,8,12,,
2,Skipped,Skipped,1,Skipped,Skipped,4,Skipped,5,Skipped,Skipped,Skipped,Skipped,3,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
12,5,2,Skipped,1,9,11,3,10,8,Skipped,7,4,6,,
Skipped,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,5,Skipped,1,Skipped,2,,
11,3,4,10,9,7,2,Skipped,4,1,4,Skipped,Skipped,8,,
Skipped,2,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,3,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,,
5,3,10,14,6,2,12,11,13,8,4,1,7,9,,
6,5,8,Skipped,3,4,Skipped,10,9,11,12,2,1,7,,
3,Skipped,Skipped,8,6,5,9,1,Skipped,7,Skipped,Skipped,4,2,,
9,2,Skipped,12,4,3,10,7,1,6,Skipped,5,11,8,,
Skipped,2,4,Skipped,1,Skipped,Skipped,Skipped,5,Skipped,3,Skipped,Skipped,Skipped,,
6,9,2,13,5,10,14,8,11,12,1,3,4,7,,
?,2,10,11,4,1,?,12,9,5,6,8,3,7,,
