rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,7,3,Skipped,Skipped,Skipped,9,5,48,1.0,48.0
Skipped,Skipped,Skipped,12,16,Skipped,4,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,19,1,7,Skipped,13,Skipped,Skipped,Skipped,Skipped,5,Skipped,17,11,Skipped,Skipped,20,15,Skipped,2,14,Skipped,18,Skipped,Skipped,Skipped,3,Skipped,Skipped,9,6,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,24,Skipped,1,Skipped,19,Skipped,Skipped,Skipped,4,Skipped,Skipped,11,Skipped,24,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,16,Skipped,6,Skipped,Skipped,Skipped,5,8,Skipped,19,30,Skipped,Skipped,Skipped,Skipped,Skipped,7,24,Skipped,16,9,25,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,2,Skipped,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,8,9,Skipped,6,Skipped,,
Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,6,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,9,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,10,Skipped,48,Skipped,Skipped,4,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,10,Skipped,Skipped,Skipped,7,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,6,Skipped,11,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,1,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
Skipped,Skipped,10,Skipped,Skipped,Skipped,9,Skipped,7,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,3,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,48,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,2,30,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,47,44,Skipped,Skipped,Skipped,28,Skipped,Skipped,23,Skipped,4,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,3,4,Skipped,Skipped,11,Skipped,Skipped,13,Skipped,7,47,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,10,Skipped,5,Skipped,Skipped,Skipped,6,Skipped,Skipped,9,Skipped,Skipped,48,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,4,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,11,Skipped,3,Skipped,Skipped,41,Skipped,Skipped,Skipped,46,Skipped,6,5,Skipped,47,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,7,Skipped,12,10,Skipped,42,Skipped,48,Skipped,1,Skipped,Skipped,Skipped,4,8,Skipped,,
1,Skipped,Skipped,27,10,Skipped,2,17,8,Skipped,19,20,23,Skipped,Skipped,12,28,6,5,Skipped,11,30,26,Skipped,29,13,Skipped,25,4,Skipped,Skipped,14,21,7,18,22,Skipped,9,Skipped,Skipped,Skipped,3,24,Skipped,15,16,Skipped,Skipped,,
Skipped,34,Skipped,Skipped,34,34,6,19,19,Skipped,34,Skipped,18,35,14,4,34,2,12,Skipped,8,34,34,Skipped,9,11,34,17,22,Skipped,15,13,16,Skipped,3,7,19,10,Skipped,Skipped,23,5,34,34,19,1,Skipped,Skipped,,
47,47,Skipped,47,Skipped,47,Skipped,20,20,47,20,47,20,47,20,47,47,20,47,47,20,47,47,47,47,20,47,Skipped,47,47,20,20,Skipped,47,20,2,20,47,47,47,20,20,20,47,20,20,1,47,,
17,28,13,5,27,30,1,7,26,44,30,43,16,46,30,6,11,12,44,3,2,33,30,25,4,18,30,20,44,38,30,16,8,43,10,19,30,15,29,43,30,7,30,14,20,9,24,46,,
Skipped,20,10,Skipped,40,Skipped,2,5,Skipped,Skipped,Skipped,Skipped,40,Skipped,Skipped,20,Skipped,20,5,25,45,Skipped,Skipped,45,1,Skipped,Skipped,25,45,Skipped,Skipped,30,15,Skipped,10,40,Skipped,10,Skipped,Skipped,Skipped,20,Skipped,25,40,2,40,Skipped,,
28,38,47,35,23,30,8,17,18,37,41,44,21,46,24,5,22,4,15,31,3,34,27,39,9,16,20,10,27,36,25,14,6,42,7,29,33,1,40,48,32,12,11,19,13,2,44,43,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,Skipped,Skipped,Skipped,35,Skipped,34,Skipped,23,2,Skipped,Skipped,46,11,Skipped,43,48,10,1,Skipped,42,Skipped,Skipped,14,8,17,Skipped,45,6,Skipped,Skipped,22,39,4,5,41,15,30,Skipped,47,Skipped,Skipped,7,Skipped,44,9,40,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,10,Skipped,Skipped,Skipped,Skipped,9,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,9,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,9,9,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,5,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,,
40,40,41,40,21,27,2,13,17,47,3,47,4,47,16,40,28,1,26,40,20,29,26,40,29,11,40,15,48,40,14,5,10,40,6,22,12,30,40,47,20,8,9,20,26,7,24,47,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,15,14,14,9,Skipped,Skipped,4,Skipped,8,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,4,Skipped,Skipped,5,4,14,Skipped,14,Skipped,14,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,14,8,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,46,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,Skipped,Skipped,Skipped,24,29,22,6,23,Skipped,24,Skipped,9,Skipped,10,Skipped,29,21,29,Skipped,24,10,20,Skipped,Skipped,19,Skipped,22,29,Skipped,17,5,30,Skipped,4,29,17,1,Skipped,Skipped,17,9,24,25,18,2,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,,
7,Skipped,Skipped,Skipped,6,Skipped,10,2,Skipped,25,Skipped,Skipped,21,19,Skipped,19,44,32,6,Skipped,22,Skipped,Skipped,12,Skipped,39,Skipped,48,20,Skipped,Skipped,4,14,11,1,46,Skipped,Skipped,Skipped,48,Skipped,20,Skipped,Skipped,11,3,30,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,4,48,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,3,Skipped,Skipped,Skipped,,
16,30,11,6,21,41,2,8,29,37,33,35,23,44,39,7,25,18,45,4,3,46,5,20,1,13,43,10,38,36,40,34,9,31,12,28,42,17,27,Skipped,14,19,15,26,32,24,22,47,,
Skipped,11,Skipped,Skipped,6,Skipped,Skipped,10,Skipped,5,Skipped,Skipped,Skipped,7,Skipped,15,Skipped,1,4,14,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,12,Skipped,8,,
4,Skipped,Skipped,Skipped,6,Skipped,3,Skipped,Skipped,46,2,Skipped,Skipped,13,Skipped,8,27,10,9,Skipped,12,Skipped,Skipped,28,Skipped,11,Skipped,45,48,Skipped,Skipped,5,27,Skipped,Skipped,14,Skipped,13,Skipped,47,Skipped,7,Skipped,Skipped,39,Skipped,1,Skipped,,
1,32,34,26,25,Skipped,13,3,9,35,17,36,31,41,Skipped,18,42,10,21,38,17,39,Skipped,38,12,9,33,29,22,Skipped,6,2,19,Skipped,7,24,23,16,27,40,15,4,11,20,30,5,28,37,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
