rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,0,0,0,0,0,0,0,Unknown,8.0
2,3,5,1,8,6,4,7,Unknown,
3,3,4,1,6,7,5,8,Unknown,
3,2,4,1,6,7,5,8,Unknown,
2,3,5,1,6,8,4,7,Unknown,
2,3,4,1,8,6,5,7,Unknown,
3,4,2,1,6,7,5,8,Unknown,
2,3,4,1,6,8,5,7,Unknown,
3,2,6,1,8,5,7,4,Unknown,
3,2,5,1,7,6,4,8,Unknown,
2,3,5,1,7,6,4,8,Unknown,
3,4,5,1,6,7,2,8,Unknown,
2,3,4,1,8,6,5,7,Unknown,
2,5,3,1,7,6,4,8,Unknown,
2,3,5,1,7,4,6,8,Unknown,
2,3,5,1,7,6,4,8,Unknown,
3,2,5,1,6,7,4,8,Unknown,
4,3,1,8,8,8,2,8,Unknown,
2,3,5,1,7,6,4,8,Unknown,
2,3,5,1,8,6,4,7,Unknown,
2,3,4,1,6,7,5,8,Unknown,
5,3,4,1,8,7,2,6,Unknown,
4,6,7,8,3,2,5,1,Unknown,
8,8,8,8,8,8,8,8,Unknown,
2,3,4,1,8,6,5,7,Unknown,
2,4,3,1,6,7,5,8,Unknown,
2,3,4,1,7,6,5,8,Unknown,
2,3,5,1,6,7,4,8,Unknown,
2,3,5,1,8,6,4,7,Unknown,
4,3,5,1,7,6,2,8,Unknown,
2,3,5,1,7,6,4,8,Unknown,
3,2,5,1,8,6,4,7,Unknown,
2,3,4,1,6,7,5,8,Unknown,
2,3,5,1,8,6,4,7,Unknown,
2,4,5,1,7,6,3,8,Unknown,
2,3,5,1,8,6,4,7,Unknown,
2,3,4,1,7,6,5,8,Unknown,
2,3,4,1,7,7,5,8,Unknown,
2,3,4,1,8,6,5,7,Unknown,
3,2,4,1,7,6,5,8,Unknown,
2,3,5,1,6,7,4,8,Unknown,
2,3,4,1,8,6,5,7,Unknown,
2,3,4,1,8,6,5,7,Unknown,
2,3,4,1,7,6,5,8,Unknown,
2,3,4,1,6,7,5,8,Unknown,
2,3,4,1,6,7,5,8,Unknown,
3,5,2,1,8,6,4,7,Unknown,
3,4,5,1,8,6,2,7,Unknown,
2,4,5,1,8,8,3,8,Unknown,
2,4,3,1,7,6,5,8,Unknown,
3,2,4,1,8,6,5,7,Unknown,
2,3,5,1,7,6,4,8,Unknown,
1,6,8,7,4,2,5,3,Unknown,
2,3,5,1,8,6,4,7,Unknown,
3,5,7,1,6,2,8,4,Unknown,
2,3,5,1,8,6,4,7,Unknown,
2,5,4,1,6,7,3,8,Unknown,
2,3,4,1,6,7,5,8,Unknown,
2,3,5,1,7,6,4,8,Unknown,
8,8,1,8,8,8,8,8,Unknown,
2,5,3,1,8,6,5,7,Unknown,
1,7,2,4,8,6,3,5,Unknown,
2,5,3,1,7,6,4,8,Unknown,
5,1,6,3,7,4,2,8,Unknown,
2,3,4,1,6,7,5,8,Unknown,
2,3,4,1,6,7,5,8,Unknown,
2,3,4,1,8,6,5,7,Unknown,
2,3,5,1,7,6,4,8,Unknown,
2,3,4,1,8,6,5,7,Unknown,
2,3,4,1,7,6,5,8,Unknown,
2,3,5,1,7,6,4,8,Unknown,
