rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
8,3,8,8,2,8,8,1,Unknown,8.0
2,1,8,8,8,8,8,8,Unknown,
8,4,1,3,6,7,2,5,Unknown,
8,8,2,8,8,3,1,8,Unknown,
8,3,2,4,8,8,1,8,Unknown,
7,1,3,8,2,5,6,4,Unknown,
8,1,2,5,2,8,5,3,Unknown,
5,3,4,8,1,7,2,6,Unknown,
4,1,8,6,2,5,3,7,Unknown,
4,6,1,3,8,5,2,7,Unknown,
8,7,4,1,6,5,2,3,Unknown,
8,8,1,8,8,8,8,8,Unknown,
3,2,5,6,7,8,1,4,Unknown,
5,1,2,3,7,6,4,8,Unknown,
5,7,4,2,8,3,1,6,Unknown,
5,2,1,3,7,4,8,5,Unknown,
8,5,1,1,6,7,4,3,Unknown,
7,2,8,8,1,7,8,7,Unknown,
8,8,8,8,8,8,1,8,Unknown,
8,8,8,1,8,8,8,8,Unknown,
8,8,8,8,3,8,2,1,Unknown,
8,7,3,2,4,6,1,5,Unknown,
8,1,6,8,3,8,8,7,Unknown,
2,4,6,7,3,8,5,1,Unknown,
8,8,1,8,8,8,5,8,Unknown,
4,8,2,1,6,7,3,5,Unknown,
8,3,1,4,6,5,2,7,Unknown,
3,8,2,4,5,6,1,7,Unknown,
3,7,5,6,8,1,4,2,Unknown,
6,2,8,3,4,5,1,7,Unknown,
8,8,8,1,8,8,8,8,Unknown,
8,2,8,8,8,8,1,8,Unknown,
