rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
Skipped,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1.0,13.0
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,3,Skipped,Skipped,4,,
9,10,8,2,11,13,Skipped,Skipped,1,3,12,Skipped,7,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,3,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,2,,
8,7,1,4,Skipped,Skipped,4,Skipped,3,6,2,Skipped,5,,
Skipped,3,2,5,Skipped,Skipped,Skipped,Skipped,1,Skipped,6,Skipped,4,,
Skipped,2,1,3,Skipped,5,Skipped,Skipped,4,Skipped,Skipped,6,Skipped,,
12,10,2,6,13,7,3,9,5,1,4,11,8,,
Skipped,3,3,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,,
Skipped,4,6,3,Skipped,7,Skipped,5,1,2,Skipped,9,8,,
4,Skipped,6,5,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,3,,
6,5,8,Skipped,Skipped,Skipped,Skipped,4,1,2,7,Skipped,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,3,1,4,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,,
12,8,4,6,13,10,5,7,3,2,1,11,9,,
8,3,4,2,Skipped,7,3,1,1,Skipped,1,6,5,,
13,7,4,6,12,10,3,8,2,1,5,11,9,,
Skipped,3,2,Skipped,Skipped,7,6,Skipped,4,1,Skipped,Skipped,5,,
12,5,9,6,Skipped,8,11,7,3,1,2,10,4,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
11,9,2,6,10,12,4,7,3,1,5,Skipped,8,,
Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,1,3,5,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,,
8,5,1,4,Skipped,6,Skipped,Skipped,2,3,Skipped,Skipped,7,,
9,5,4,2,Skipped,7,8,6,1,Skipped,Skipped,10,3,,
10,6,3,1,Skipped,5,8,11,2,7,9,12,4,,
10,Skipped,3,8,9,Skipped,7,6,2,1,5,Skipped,4,,
11,3,2,6,10,9,1,7,2,4,1,8,5,,
12,4,3,6,13,10,7,2,5,8,1,11,9,,
9,12,1,7,8,13,4,10,5,3,2,11,6,,
11,3,2,Skipped,10,Skipped,4,7,1,5,12,Skipped,6,,
12,5,4,9,11,10,3,7,2,1,8,5,6,,
11,9,2,8,12,7,4,5,3,6,1,Skipped,10,,
Skipped,2,3,Skipped,Skipped,Skipped,4,Skipped,1,5,Skipped,Skipped,Skipped,,
8,Skipped,3,5,9,Skipped,6,7,1,2,Skipped,Skipped,4,,
5,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,2,1,Skipped,Skipped,4,,
5,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,2,1,Skipped,Skipped,3,,
13,12,2,5,12,12,12,12,4,1,3,12,12,,
12,9,7,5,11,13,2,8,3,1,4,10,6,,
Skipped,4,3,5,Skipped,6,Skipped,Skipped,1,Skipped,2,7,Skipped,,
Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,4,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
11,5,3,2,13,12,6,7,1,4,9,10,8,,
7,4,3,5,10,6,11,9,2,1,12,Skipped,8,,
Skipped,2,3,Skipped,Skipped,13,Skipped,Skipped,1,4,Skipped,12,Skipped,,
Skipped,2,3,4,Skipped,5,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
12,8,5,7,13,9,2,6,4,1,3,11,10,,
Skipped,3,1,4,Skipped,9,5,6,2,Skipped,Skipped,8,7,,
Skipped,3,6,1,Skipped,4,5,Skipped,2,Skipped,Skipped,7,Skipped,,
1,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,Skipped,Skipped,4,,
Skipped,4,1,6,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,5,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,,
10,9,6,3,?,11,5,8,2,1,?,7,4,,
