rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
12,1,12,12,12,12,12,12,12,12,12,12,1.0,12.0
12,12,3,12,12,12,12,2,12,12,1,12,,
6,9,3,11,1,10,7,2,8,5,12,4,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,12,3,12,6,12,12,2,12,6,12,4,,
Skipped,Skipped,1,Skipped,Skipped,1,Skipped,Skipped,1,Skipped,2,3,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
8,12,1,9,6,7,4,11,10,2,3,5,,
10,5,2,11,6,8,7,1,4,12,9,3,,
2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
11,12,2,7,3,9,Skipped,10,Skipped,1,4,5,,
6,9,7,8,12,5,1,2,11,3,10,4,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,12,12,12,12,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,Skipped,12,12,12,12,12,1,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
Skipped,1,6,2,5,3,Skipped,7,5,Skipped,4,Skipped,,
1,12,3,12,12,12,12,12,12,12,12,2,,
4,12,11,8,6,1,5,3,7,9,10,2,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,11,Skipped,Skipped,12,Skipped,Skipped,,
Skipped,3,4,Skipped,5,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,,
12,3,12,5,3,12,1,6,12,12,4,7,,
5,10,8,4,9,3,6,11,7,1,12,2,,
3,5,1,4,12,7,11,10,8,6,9,2,,
12,12,12,12,1,12,12,12,12,12,12,12,,
12,12,12,12,12,12,1,12,12,12,12,12,,
6,5,3,6,6,1,6,6,6,4,6,2,,
12,12,12,12,12,12,1,12,12,12,12,12,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,8,12,7,6,10,1,11,3,5,2,4,,
Skipped,12,1,12,12,12,12,12,5,Skipped,12,5,,
12,12,12,12,12,2,12,12,3,3,12,1,,
5,5,1,5,5,3,4,1,5,3,5,5,,
12,12,12,12,12,12,12,12,12,12,12,1,,
5,Skipped,2,9,4,1,6,Skipped,Skipped,3,7,10,,
1,3,5,12,6,10,7,10,7,4,11,2,,
Skipped,Skipped,1,5,4,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,,
12,6,7,10,12,1,5,3,9,8,4,2,,
12,12,12,12,1,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
12,12,12,1,12,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,7,2,6,4,3,6,4,5,5,5,2,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,1,12,12,12,12,12,12,12,,
5,8,5,10,3,6,9,9,1,6,10,3,,
12,12,2,12,12,12,12,12,12,1,12,12,,
11,3,7,6,5,8,4,9,12,1,10,2,,
8,5,4,3,2,1,Skipped,10,9,11,7,12,,
12,12,12,1,12,1,12,12,12,12,12,1,,
12,12,12,12,12,12,1,12,12,12,12,12,,
8,2,2,7,9,6,11,4,3,5,12,1,,
8,Skipped,10,Skipped,1,11,5,Skipped,Skipped,4,Skipped,8,,
Skipped,2,Skipped,4,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
1,7,2,10,8,11,6,5,9,4,12,3,,
Skipped,Skipped,8,6,4,9,2,7,1,3,Skipped,5,,
1,12,12,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
Skipped,3,2,Skipped,5,4,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
9,3,11,5,4,1,8,10,12,7,6,2,,
12,12,12,12,12,1,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
12,12,12,12,12,12,12,1,12,12,12,12,,
12,12,12,1,12,12,12,12,2,12,12,3,,
12,12,12,12,1,12,12,12,12,12,12,12,,
8,10,5,4,1,6,3,7,12,11,9,2,,
5,3,1,7,10,12,6,4,9,2,8,11,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,12,2,10,5,1,3,4,6,7,9,8,,
12,12,12,12,12,12,1,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,1,12,Skipped,12,12,12,3,12,2,,
12,12,12,12,1,12,12,12,12,12,12,12,,
12,2,12,12,12,Skipped,3,12,12,Skipped,Skipped,1,,
Skipped,5,7,Skipped,1,2,6,9,3,Skipped,8,1,,
12,12,12,12,12,12,12,12,12,12,Skipped,1,,
