rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
18,18,18,18,3,18,1,18,18,18,18,18,18,18,18,18,2,18,1.0,18.0
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,4,18,18,18,18,3,18,18,18,18,18,5,18,2,18,1,18,,
18,6,4,18,1,18,18,18,18,18,18,5,7,2,8,3,18,18,,
4,7,18,18,3,18,1,18,18,18,18,18,18,6,6,3,2,18,,
17,18,11,14,7,9,13,1,6,4,17,5,2,3,17,11,12,8,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
6,16,9,18,4,7,5,8,13,15,2,12,1,10,14,3,17,11,,
18,18,18,18,18,18,2,18,18,18,1,18,18,18,18,18,18,18,,
13,8,4,15,1,12,2,3,8,17,10,16,7,14,18,5,6,11,,
8,8,8,8,8,8,8,8,8,8,8,8,8,3,9,18,8,8,,
Skipped,6,2,Skipped,5,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,3,1,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
5,3,9,Skipped,1,Skipped,6,Skipped,Skipped,Skipped,7,Skipped,4,Skipped,3,2,8,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,3,6,Skipped,1,Skipped,Skipped,5,4,Skipped,,
18,18,18,18,18,18,18,18,18,18,3,18,1,18,4,2,18,18,,
18,2,18,18,18,18,18,18,18,18,18,18,18,18,18,3,18,18,,
18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,3,18,18,18,2,18,1,4,18,,
7,Skipped,Skipped,5,Skipped,Skipped,3,Skipped,Skipped,8,1,Skipped,4,Skipped,2,6,Skipped,Skipped,,
5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,18,5,5,,
Skipped,3,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,2,1,18,,
18,18,18,18,18,18,18,4,1,1,18,18,18,18,18,3,18,18,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
18,1,5,18,4,18,3,2,18,18,18,6,18,18,18,18,18,18,,
10,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,4,3,9,Skipped,6,8,5,2,1,Skipped,,
10,10,10,10,10,10,10,10,10,10,10,10,10,2,10,18,10,10,,
17,11,4,5,7,12,13,3,2,1,18,9,10,17,6,17,8,17,,
Skipped,4,Skipped,Skipped,3,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
