rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
16,11,10,16,2,14,Skipped,Skipped,Skipped,4,12,1,16,3,Skipped,6,1.0,16.0
16,7,16,6,16,5,16,16,16,16,2,1,4,16,3,16,,
Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,7,3,2,1,8,4,Skipped,Skipped,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,4,5,1,Skipped,Skipped,,
13,16,10,7,2,8,15,14,9,11,6,12,5,4,1,3,,
16,16,16,16,16,16,16,16,16,16,16,1,16,16,16,16,,
9,4,6,16,3,13,11,14,12,1,8,7,5,2,15,10,,
5,3,5,4,16,1,5,16,16,16,4,2,3,1,16,16,,
Skipped,10,8,4,12,13,15,16,5,16,16,2,3,1,6,16,,
10,16,8,9,6,2,7,13,3,15,5,11,4,1,14,12,,
16,16,3,16,16,16,16,16,4,1,16,16,16,2,16,16,,
9,8,12,Skipped,11,1,7,Skipped,12,2,10,3,4,5,6,Skipped,,
6,7,5,7,7,3,9,8,6,6,4,2,1,2,6,3,,
Skipped,10,6,5,7,11,8,12,Skipped,9,4,1,2,3,Skipped,Skipped,,
7,12,14,10,8,3,15,16,9,13,2,4,1,6,5,11,,
16,16,9,16,16,3,16,16,5,8,4,1,2,7,16,6,,
14,16,15,13,16,1,16,16,16,16,16,16,2,3,16,16,,
3,Skipped,4,9,Skipped,2,Skipped,Skipped,Skipped,5,7,6,1,8,Skipped,Skipped,,
16,6,3,16,16,7,8,16,16,16,5,4,2,1,16,16,,
7,8,9,4,14,12,10,1,2,5,6,13,3,16,15,11,,
16,16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,,
Skipped,4,Skipped,5,7,Skipped,Skipped,Skipped,Skipped,2,6,Skipped,3,1,Skipped,Skipped,,
9,10,8,14,6,4,11,15,16,1,5,2,7,3,12,13,,
16,16,1,16,4,5,8,16,16,16,16,7,2,6,3,9,,
Skipped,13,14,14,12,15,Skipped,Skipped,15,10,10,10,15,16,Skipped,16,,
Skipped,7,11,5,3,Skipped,Skipped,Skipped,9,6,4,1,Skipped,2,8,10,,
4,9,8,11,12,2,Skipped,Skipped,Skipped,3,7,1,6,5,10,Skipped,,
16,3,5,16,12,8,7,16,11,6,4,1,9,2,13,10,,
Skipped,Skipped,Skipped,Skipped,10,3,Skipped,Skipped,2,6,1,9,5,4,8,7,,
4,8,5,8,Skipped,2,Skipped,6,7,7,8,Skipped,1,1,14,Skipped,,
9,4,1,10,3,5,13,6,14,Skipped,7,12,8,2,11,Skipped,,
Skipped,6,Skipped,3,Skipped,Skipped,5,4,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
?,8,?,?,7,?,?,?,3,?,6,5,2,1,4,?,,
