rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,numSeats,numCands
1,18,9,4,15,14,15,20,10,3,21,16,17,7,6,5,13,12,11,2,8,1.0,21.0
3,15,2,4,16,18,10,21,9,1,19,14,20,11,12,13,17,8,7,6,5,,
21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
6,17,7,6,13,13,18,16,21,1,13,14,13,20,13,19,13,3,6,2,15,,
5,9,7,2,21,21,21,21,11,1,10,12,21,21,21,6,21,21,3,4,8,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
8,18,6,2,3,16,21,17,9,1,10,20,15,11,4,13,14,19,7,12,5,,
3,20,6,1,20,15,10,20,5,2,13,12,20,21,20,4,14,11,9,9,20,,
21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,,
6,20,2,3,15,12,7,10,14,1,8,13,21,16,19,17,18,11,9,5,4,,
1,20,21,10,6,17,18,7,8,9,2,19,16,14,5,11,3,15,12,13,4,,
6,14,8,5,18,15,16,21,7,1,12,19,21,17,9,11,10,21,2,3,13,,
3,13,5,6,21,21,14,21,21,1,9,8,21,10,11,7,16,15,12,2,4,,
9,9,18,7,21,21,11,10,1,11,21,8,21,11,5,8,17,17,3,2,16,,
7,15,3,4,19,14,18,20,9,1,8,12,21,16,17,13,10,11,2,6,5,,
8,8,8,5,21,21,21,21,8,1,21,21,8,21,21,21,8,21,21,4,10,,
3,13,8,7,Skipped,Skipped,Skipped,Skipped,4,2,14,Skipped,Skipped,Skipped,11,5,9,12,10,1,6,,
8,21,3,6,21,21,21,21,21,1,2,21,21,21,21,21,21,21,5,7,4,,
1,21,3,4,19,21,10,19,9,1,4,12,21,20,21,13,21,21,7,4,7,,
2,4,2,2,4,4,3,4,3,1,4,3,21,3,3,3,4,3,4,2,3,,
9,14,3,1,17,11,5,12,10,2,19,16,18,21,20,6,13,4,7,8,15,,
3,21,10,2,21,21,13,21,6,1,9,21,21,12,21,11,21,8,7,4,5,,
2,21,2,2,20,21,1,Skipped,4,1,10,12,2,20,21,13,3,21,1,2,7,,
2,21,4,2,20,21,8,Skipped,8,1,10,12,21,20,21,13,12,21,5,4,7,,
3,14,6,2,21,15,21,21,4,1,16,12,21,11,13,7,21,10,8,9,5,,
4,5,12,3,9,19,15,21,6,1,13,20,18,8,16,11,14,17,7,2,10,,
4,17,3,2,19,11,21,14,15,1,6,20,12,13,18,9,8,16,10,5,7,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
21,4,21,1,21,21,21,21,21,2,21,21,21,21,21,21,21,21,21,21,3,,
2,6,1,10,19,9,17,20,8,16,18,21,15,5,7,3,14,13,11,12,4,,
4,20,20,5,20,20,20,20,20,1,20,20,20,20,20,21,20,3,2,6,7,,
5,21,21,2,20,21,19,21,3,1,21,14,21,6,16,21,7,13,4,19,11,,
2,15,6,4,11,21,7,21,11,1,9,21,21,11,8,21,14,6,10,3,5,,
6,17,4,2,20,12,18,21,10,1,15,11,19,9,13,7,16,14,8,5,3,,
4,21,7,3,15,21,10,21,11,1,13,16,21,9,21,8,14,12,5,2,6,,
10,15,9,6,12,14,5,18,9,1,19,17,20,16,11,13,7,3,4,2,8,,
3,12,1,20,12,17,17,10,6,21,14,13,11,11,15,15,13,4,2,7,15,,
4,19,8,6,16,11,14,20,12,1,19,16,21,17,13,3,10,7,5,2,9,,
21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
1,11,6,8,19,15,9,17,5,2,7,13,12,18,14,4,21,20,16,3,10,,
4,14,3,2,19,17,10,21,8,1,16,18,20,11,13,12,15,9,5,7,6,,
19,7,3,20,6,1,5,12,9,21,11,10,15,13,4,17,8,14,16,18,2,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
21,21,5,2,21,21,21,21,21,1,21,21,21,21,21,21,4,21,21,21,3,,
6,20,4,5,13,11,14,20,12,1,20,16,21,15,13,17,11,6,2,3,7,,
21,8,21,2,21,21,10,21,21,1,9,7,21,21,11,12,5,21,4,3,21,,
2,21,21,6,21,21,4,21,21,1,5,21,21,21,21,21,21,21,21,3,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
5,20,6,4,20,20,20,20,8,3,20,9,20,20,20,10,20,20,1,2,7,,
5,16,3,2,12,15,14,20,13,1,17,19,21,9,11,18,7,10,4,6,8,,
3,5,3,4,17,17,11,8,15,2,21,11,18,9,16,1,19,10,6,3,3,,
21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
7,21,21,2,21,21,21,21,3,1,21,9,21,21,21,11,21,8,4,5,10,,
2,21,2,2,20,21,1,Skipped,4,1,10,12,2,20,21,13,3,21,1,2,7,,
4,14,10,2,18,15,10,21,12,1,16,17,20,8,13,6,19,5,7,3,9,,
2,6,2,2,12,6,6,12,12,1,12,12,21,2,12,12,12,6,12,6,6,,
2,21,8,5,21,21,21,11,4,3,9,21,21,21,21,7,21,21,6,1,10,,
3,15,10,6,18,11,21,13,9,1,5,14,21,19,20,12,8,19,7,4,2,,
21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
2,21,4,2,20,21,8,Skipped,8,1,10,12,21,20,21,13,12,21,5,4,7,,
21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,,
5,21,6,3,21,21,21,21,11,1,13,21,21,8,21,12,21,9,7,2,10,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
21,21,21,19,21,21,21,21,21,18,21,21,21,1,21,2,21,21,21,21,21,,
4,Skipped,8,1,Skipped,6,Skipped,11,Skipped,1,Skipped,Skipped,Skipped,10,9,Skipped,Skipped,Skipped,1,5,7,,
3,21,7,5,14,10,12,21,11,1,21,14,16,17,15,13,9,6,4,2,8,,
2,21,4,2,20,21,8,Skipped,8,1,10,12,21,20,21,13,12,21,5,4,7,,
7,12,3,2,16,15,11,13,8,1,15,10,21,10,21,6,11,14,4,5,9,,
7,21,2,3,21,21,8,21,8,1,21,21,21,5,21,21,21,21,21,5,3,,
2,21,4,2,20,21,8,Skipped,8,1,10,12,21,20,21,13,12,21,5,4,7,,
4,20,6,1,14,10,15,20,11,2,20,14,21,16,12,9,8,17,5,3,7,,
6,Skipped,5,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,7,3,4,,
21,21,5,21,21,21,21,21,21,1,21,21,21,21,21,21,21,3,2,4,21,,
2,21,2,2,20,21,10,19,9,1,10,12,21,20,21,13,21,21,7,2,7,,
7,9,11,15,13,4,18,12,5,14,6,10,17,2,19,8,16,3,21,20,1,,
2,21,8,6,19,10,12,19,11,3,19,19,13,20,19,1,10,7,5,5,10,,
2,2,2,2,16,16,2,16,2,1,2,16,16,2,2,16,2,2,2,2,2,,
21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,,
21,21,2,21,3,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,,
21,21,21,1,21,21,21,21,21,2,21,21,21,21,21,21,21,21,3,21,21,,
2,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,,
5,19,7,4,18,21,14,8,9,1,10,20,13,6,16,15,17,11,12,2,3,,
2,21,2,2,20,21,9,1,4,1,10,12,2,20,21,13,3,21,1,2,7,,
4,19,1,20,19,13,8,13,16,2,9,8,14,12,15,6,15,10,7,5,3,,
2,21,4,2,20,21,8,Skipped,8,1,10,12,21,20,21,13,12,21,5,4,7,,
7,14,13,2,15,16,9,17,18,4,11,19,21,21,12,8,10,3,1,6,5,,
21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,,
