rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,numSeats,numCands
7,6,21,21,21,21,1,21,21,2,21,5,21,21,21,21,21,21,4,21,3,1.0,21.0
10,7,6,3,11,19,2,19,13,3,13,8,9,5,15,15,15,19,21,21,1,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
7,10,9,4,8,21,3,21,21,2,21,21,12,5,11,13,21,21,6,21,1,,
21,21,21,21,21,21,1,21,21,4,21,21,21,2,21,21,21,21,21,21,3,,
21,21,2,5,21,21,1,21,21,3,21,21,7,6,21,21,21,21,21,21,4,,
4,11,1,8,6,12,3,15,18,5,13,9,7,10,17,19,16,21,14,20,2,,
3,10,6,9,21,21,1,21,21,4,21,10,10,5,21,10,21,21,10,21,1,,
7,13,8,3,11,17,1,14,20,4,9,10,5,6,15,12,Skipped,19,16,18,2,,
21,21,21,6,21,21,1,21,21,3,21,21,21,7,8,21,11,21,21,21,2,,
1,14,13,5,11,16,4,17,10,8,18,15,12,2,6,7,20,21,9,19,3,,
3,4,5,2,6,21,1,21,21,7,21,21,21,7,21,21,21,21,21,21,2,,
2,8,3,5,14,15,1,9,13,6,17,7,12,10,Skipped,18,16,Skipped,11,19,4,,
8,10,5,4,11,21,1,21,15,2,21,9,7,6,13,14,21,21,11,21,2,,
5,21,21,3,21,21,1,21,9,4,21,21,21,4,Skipped,10,21,21,21,21,2,,
6,5,6,2,7,Skipped,1,Skipped,21,3,Skipped,21,8,4,21,8,8,21,21,Skipped,3,,
3,7,2,8,9,Skipped,1,Skipped,Skipped,5,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,,
3,8,2,7,19,12,1,16,14,6,15,13,11,5,21,9,17,20,10,18,4,,
4,8,6,5,12,15,1,14,16,3,13,10,9,7,Skipped,21,Skipped,21,11,17,2,,
3,7,5,5,9,21,2,21,21,6,21,21,21,4,21,8,21,21,21,21,1,,
5,9,3,6,13,17,1,18,11,4,14,10,8,7,20,15,16,21,12,19,2,,
5,21,6,8,21,21,1,21,21,4,7,21,21,2,21,21,21,21,21,21,3,,
4,Skipped,5,3,11,Skipped,1,Skipped,Skipped,5,Skipped,10,Skipped,6,Skipped,21,Skipped,Skipped,10,Skipped,2,,
4,21,9,3,21,21,1,21,21,7,21,12,5,6,21,10,8,21,11,21,2,,
5,9,4,7,14,Skipped,2,Skipped,8,6,13,19,12,3,10,11,Skipped,Skipped,Skipped,Skipped,1,,
6,21,3,2,10,17,1,16,20,4,8,9,7,19,14,15,13,18,11,12,5,,
6,9,5,7,8,21,1,21,21,2,9,8,8,4,21,21,8,21,6,21,3,,
6,6,6,2,6,6,1,6,6,3,6,6,6,5,21,21,21,21,21,21,4,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
5,Skipped,7,6,Skipped,Skipped,1,Skipped,12,2,Skipped,Skipped,10,4,9,11,8,Skipped,11,Skipped,3,,
4,14,8,5,7,15,1,11,19,3,18,12,10,2,9,20,21,17,13,16,6,,
21,21,6,6,3,21,1,21,21,4,21,21,21,5,21,21,21,21,21,21,1,,
3,10,15,11,12,7,2,14,13,9,18,5,17,8,20,6,19,21,16,4,1,,
6,9,10,4,8,Skipped,2,Skipped,Skipped,3,7,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
4,7,6,9,8,Skipped,1,Skipped,Skipped,5,Skipped,7,Skipped,3,10,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
3,9,2,1,21,21,6,21,21,4,21,7,21,10,21,21,21,8,21,21,5,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
4,5,4,4,21,21,2,21,4,3,21,5,21,1,3,21,21,21,21,21,3,,
5,8,9,3,17,18,1,11,14,4,19,16,7,6,13,15,12,21,10,20,2,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
3,8,6,4,16,14,1,17,12,6,13,9,5,7,13,21,21,21,7,15,2,,
21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
4,20,10,6,3,19,1,21,17,3,21,10,14,3,11,19,20,20,5,20,2,,
5,6,7,4,8,21,1,21,21,3,21,11,10,9,21,21,21,21,21,21,2,,
2,3,2,2,6,21,1,21,21,3,21,4,5,3,21,21,21,21,21,21,1,,
4,21,6,2,21,21,1,21,21,5,21,21,7,4,21,21,21,21,21,21,3,,
5,4,6,8,10,16,2,19,14,3,11,9,15,7,17,12,18,21,13,20,1,,
4,6,1,11,9,21,1,21,21,6,21,10,8,1,21,21,21,21,21,21,4,,
4,21,4,2,10,21,1,10,21,2,10,21,5,5,21,21,21,21,10,21,3,,
3,1,10,7,Skipped,Skipped,4,Skipped,11,5,9,8,Skipped,6,Skipped,Skipped,Skipped,Skipped,13,12,2,,
21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
7,8,5,3,11,16,1,14,13,4,9,Skipped,12,10,21,21,21,14,18,14,2,,
4,21,21,2,21,21,1,21,21,2,21,21,21,3,21,21,21,21,21,21,3,,
21,21,21,21,1,21,3,21,21,21,21,21,21,21,21,21,21,21,21,21,2,,
1,21,21,2,21,21,4,21,21,21,21,21,21,21,21,21,21,21,21,21,3,,
3,9,3,3,16,11,1,14,11,8,11,6,6,10,19,18,14,21,17,20,2,,
1,15,3,7,11,20,4,21,18,6,21,8,2,11,21,21,21,21,12,18,5,,
1,21,4,5,21,21,2,21,21,6,21,9,7,8,21,21,21,10,11,21,3,,
21,21,21,3,21,21,2,21,21,21,21,21,21,21,21,21,21,21,21,21,1,,
4,7,4,4,16,19,1,12,11,5,14,8,5,9,10,21,17,20,14,16,2,,
7,Skipped,6,2,5,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,4,5,Skipped,Skipped,Skipped,Skipped,4,Skipped,2,,
5,21,6,9,21,21,2,21,8,21,21,3,21,4,21,21,21,21,21,21,1,,
7,6,21,9,10,21,1,21,21,3,21,8,5,4,21,21,21,21,21,21,2,,
4,8,5,5,21,21,2,21,21,3,21,7,8,6,21,21,21,21,6,21,1,,
