ballotID,ward,rank1,rank2,rank3,rank4,Num cands,Num seats
481,200,Jarrett Smith,skipped,skipped,skipped,4,1
2459,100,Jarrett Smith,skipped,skipped,skipped,4,1
3935,500,Jarrett Smith,skipped,skipped,skipped,4,1
6236,500,Jarrett Smith,skipped,skipped,skipped,4,1
6237,500,Jarrett Smith,skipped,skipped,skipped,4,1
6286,300,Jarrett Smith,skipped,skipped,skipped,4,1
880,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,4,1
1427,500,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,4,1
5306,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,4,1
1208,300,Talisha Searcy,writein,Seth Grimes,Jarrett Smith,4,1
4518,400,Talisha Searcy,writein,Seth Grimes,Jarrett Smith,4,1
5329,300,Talisha Searcy,writein,Seth Grimes,Jarrett Smith,4,1
5923,200,Talisha Searcy,writein,Seth Grimes,Jarrett Smith,4,1
843,100,Talisha Searcy,writein,Seth Grimes,Jarrett Smith,4,1
581,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,4,1
589,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,4,1
1814,200,Jarrett Smith,Talisha Searcy,skipped,skipped,4,1
2633,200,writein,Seth Grimes,Talisha Searcy,Jarrett Smith,4,1
5555,300,writein,Seth Grimes,Talisha Searcy,Jarrett Smith,4,1
568,200,writein,Seth Grimes,Talisha Searcy,Jarrett Smith,4,1
3766,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped,4,1
5310,100,Seth Grimes,writein,Talisha Searcy,Jarrett Smith,4,1
2092,600,Talisha Searcy,Seth Grimes,writein,Jarrett Smith,4,1
2791,100,Talisha Searcy,Seth Grimes,writein,Jarrett Smith,4,1
3735,100,Talisha Searcy,Seth Grimes,writein,Jarrett Smith,4,1
4342,100,Talisha Searcy,Seth Grimes,writein,Jarrett Smith,4,1
4743,200,Talisha Searcy,Seth Grimes,writein,Jarrett Smith,4,1
4834,500,Talisha Searcy,Seth Grimes,writein,Jarrett Smith,4,1
4835,200,Seth Grimes,Talisha Searcy,writein,Jarrett Smith,4,1
