ballotID,ward,rank1,rank2,Num cands,Num seats
481,200,Cindy Dyballa,skipped,2,1
546,200,Cindy Dyballa,skipped,2,1
996,200,Cindy Dyballa,skipped,2,1
1475,200,Cindy Dyballa,skipped,2,1
1503,200,Cindy Dyballa,skipped,2,1
1700,200,Cindy Dyballa,skipped,2,1
2026,200,Cindy Dyballa,skipped,2,1
3011,200,Cindy Dyballa,skipped,2,1
3430,200,Cindy Dyballa,skipped,2,1
3687,200,Cindy Dyballa,skipped,2,1
3721,200,Cindy Dyballa,skipped,2,1
4098,200,Cindy Dyballa,skipped,2,1
4339,200,Cindy Dyballa,skipped,2,1
5224,200,Cindy Dyballa,skipped,2,1
1166,200,writein,Cindy Dyballa,2,1
1319,200,writein,Cindy Dyballa,2,1
1933,200,writein,Cindy Dyballa,2,1
277,200,writein,Cindy Dyballa,2,1
2212,200,writein,Cindy Dyballa,2,1
2633,200,writein,Cindy Dyballa,2,1
3927,200,writein,Cindy Dyballa,2,1
4343,200,writein,Cindy Dyballa,2,1
4446,200,writein,Cindy Dyballa,2,1
4460,200,writein,Cindy Dyballa,2,1
4587,200,writein,Cindy Dyballa,2,1
4666,200,writein,Cindy Dyballa,2,1
4933,200,writein,Cindy Dyballa,2,1
5001,200,writein,Cindy Dyballa,2,1
5889,200,writein,Cindy Dyballa,2,1
6010,200,writein,Cindy Dyballa,2,1
6298,200,writein,Cindy Dyballa,2,1
1428,200,Cindy Dyballa,writein,2,1
1562,200,Cindy Dyballa,writein,2,1
2350,200,Cindy Dyballa,writein,2,1
2942,200,Cindy Dyballa,writein,2,1
44,200,Cindy Dyballa,writein,2,1
3381,200,Cindy Dyballa,writein,2,1
3647,200,Cindy Dyballa,writein,2,1
3983,200,Cindy Dyballa,writein,2,1
4083,200,Cindy Dyballa,writein,2,1
4126,200,Cindy Dyballa,writein,2,1
4285,200,Cindy Dyballa,writein,2,1
4410,200,Cindy Dyballa,writein,2,1
4665,200,Cindy Dyballa,writein,2,1
4901,200,Cindy Dyballa,writein,2,1
