voter_id,rank1,rank2,rank3,rank4,num_positions
0,James Scott ALLAN (Con),skipped,skipped,skipped,3
1,James Scott ALLAN (Con),skipped,skipped,skipped,3
2,James Scott ALLAN (Con),skipped,skipped,skipped,3
3,James Scott ALLAN (Con),skipped,skipped,skipped,3
4,James Scott ALLAN (Con),skipped,skipped,skipped,3
5,James Scott ALLAN (Con),skipped,skipped,skipped,3
6,James Scott ALLAN (Con),skipped,skipped,skipped,3
7,James Scott ALLAN (Con),skipped,skipped,skipped,3
8,James Scott ALLAN (Con),skipped,skipped,skipped,3
9,James Scott ALLAN (Con),skipped,skipped,skipped,3
10,James Scott ALLAN (Con),skipped,skipped,skipped,3
11,James Scott ALLAN (Con),skipped,skipped,skipped,3
12,James Scott ALLAN (Con),skipped,skipped,skipped,3
13,James Scott ALLAN (Con),skipped,skipped,skipped,3
14,James Scott ALLAN (Con),skipped,skipped,skipped,3
15,James Scott ALLAN (Con),skipped,skipped,skipped,3
16,James Scott ALLAN (Con),skipped,skipped,skipped,3
17,James Scott ALLAN (Con),skipped,skipped,skipped,3
18,James Scott ALLAN (Con),skipped,skipped,skipped,3
19,James Scott ALLAN (Con),skipped,skipped,skipped,3
20,James Scott ALLAN (Con),skipped,skipped,skipped,3
21,James Scott ALLAN (Con),skipped,skipped,skipped,3
22,James Scott ALLAN (Con),skipped,skipped,skipped,3
23,James Scott ALLAN (Con),skipped,skipped,skipped,3
24,James Scott ALLAN (Con),skipped,skipped,skipped,3
25,James Scott ALLAN (Con),skipped,skipped,skipped,3
26,James Scott ALLAN (Con),skipped,skipped,skipped,3
27,James Scott ALLAN (Con),skipped,skipped,skipped,3
28,James Scott ALLAN (Con),skipped,skipped,skipped,3
29,James Scott ALLAN (Con),skipped,skipped,skipped,3
30,James Scott ALLAN (Con),skipped,skipped,skipped,3
31,James Scott ALLAN (Con),skipped,skipped,skipped,3
32,James Scott ALLAN (Con),skipped,skipped,skipped,3
33,James Scott ALLAN (Con),skipped,skipped,skipped,3
34,James Scott ALLAN (Con),skipped,skipped,skipped,3
35,James Scott ALLAN (Con),skipped,skipped,skipped,3
36,James Scott ALLAN (Con),skipped,skipped,skipped,3
37,James Scott ALLAN (Con),skipped,skipped,skipped,3
38,James Scott ALLAN (Con),skipped,skipped,skipped,3
39,James Scott ALLAN (Con),skipped,skipped,skipped,3
40,James Scott ALLAN (Con),skipped,skipped,skipped,3
41,James Scott ALLAN (Con),skipped,skipped,skipped,3
42,James Scott ALLAN (Con),skipped,skipped,skipped,3
43,James Scott ALLAN (Con),skipped,skipped,skipped,3
44,James Scott ALLAN (Con),skipped,skipped,skipped,3
45,James Scott ALLAN (Con),skipped,skipped,skipped,3
46,James Scott ALLAN (Con),skipped,skipped,skipped,3
47,James Scott ALLAN (Con),skipped,skipped,skipped,3
48,James Scott ALLAN (Con),skipped,skipped,skipped,3
49,James Scott ALLAN (Con),skipped,skipped,skipped,3
50,James Scott ALLAN (Con),skipped,skipped,skipped,3
51,James Scott ALLAN (Con),skipped,skipped,skipped,3
52,James Scott ALLAN (Con),skipped,skipped,skipped,3
53,James Scott ALLAN (Con),skipped,skipped,skipped,3
54,James Scott ALLAN (Con),skipped,skipped,skipped,3
55,James Scott ALLAN (Con),skipped,skipped,skipped,3
56,James Scott ALLAN (Con),skipped,skipped,skipped,3
57,James Scott ALLAN (Con),skipped,skipped,skipped,3
58,James Scott ALLAN (Con),skipped,skipped,skipped,3
59,James Scott ALLAN (Con),skipped,skipped,skipped,3
60,James Scott ALLAN (Con),skipped,skipped,skipped,3
61,James Scott ALLAN (Con),skipped,skipped,skipped,3
62,James Scott ALLAN (Con),skipped,skipped,skipped,3
63,James Scott ALLAN (Con),skipped,skipped,skipped,3
64,James Scott ALLAN (Con),skipped,skipped,skipped,3
65,James Scott ALLAN (Con),skipped,skipped,skipped,3
66,James Scott ALLAN (Con),skipped,skipped,skipped,3
67,James Scott ALLAN (Con),skipped,skipped,skipped,3
68,James Scott ALLAN (Con),skipped,skipped,skipped,3
69,James Scott ALLAN (Con),skipped,skipped,skipped,3
70,James Scott ALLAN (Con),skipped,skipped,skipped,3
71,James Scott ALLAN (Con),skipped,skipped,skipped,3
72,James Scott ALLAN (Con),skipped,skipped,skipped,3
73,James Scott ALLAN (Con),skipped,skipped,skipped,3
74,James Scott ALLAN (Con),skipped,skipped,skipped,3
75,James Scott ALLAN (Con),skipped,skipped,skipped,3
76,James Scott ALLAN (Con),skipped,skipped,skipped,3
77,James Scott ALLAN (Con),skipped,skipped,skipped,3
78,James Scott ALLAN (Con),skipped,skipped,skipped,3
79,James Scott ALLAN (Con),skipped,skipped,skipped,3
80,James Scott ALLAN (Con),skipped,skipped,skipped,3
81,James Scott ALLAN (Con),skipped,skipped,skipped,3
82,James Scott ALLAN (Con),skipped,skipped,skipped,3
83,James Scott ALLAN (Con),skipped,skipped,skipped,3
84,James Scott ALLAN (Con),skipped,skipped,skipped,3
85,James Scott ALLAN (Con),skipped,skipped,skipped,3
86,James Scott ALLAN (Con),skipped,skipped,skipped,3
87,James Scott ALLAN (Con),skipped,skipped,skipped,3
88,James Scott ALLAN (Con),skipped,skipped,skipped,3
89,James Scott ALLAN (Con),skipped,skipped,skipped,3
90,James Scott ALLAN (Con),skipped,skipped,skipped,3
91,James Scott ALLAN (Con),skipped,skipped,skipped,3
92,James Scott ALLAN (Con),skipped,skipped,skipped,3
93,James Scott ALLAN (Con),skipped,skipped,skipped,3
