voter_id,rank1,rank2,rank3,rank4,num_positions
0,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
1,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
2,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
3,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
4,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
5,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
6,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
7,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
8,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
9,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
10,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
11,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
12,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
13,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
14,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
15,Lewis WHYTE Scottish Labour Party,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,skipped,3
16,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
17,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
18,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
19,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
20,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
21,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
22,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
23,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
24,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
25,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
26,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
27,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
28,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
29,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
30,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
31,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
32,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
33,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
34,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
35,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
36,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
37,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
38,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
39,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
40,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
41,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
42,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
43,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
44,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
45,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
46,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
47,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
48,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
49,Lewis WHYTE Scottish Labour Party,David GREGG Scottish Liberal Democrats,Isabelle MACKENZIE Scottish Conservative and Unionist,skipped,3
