voter_id,rank1,rank2,rank3,num_positions
0,Paul FINNEGAN Independent,skipped,skipped,2
1,Paul FINNEGAN Independent,skipped,skipped,2
2,Paul FINNEGAN Independent,skipped,skipped,2
3,Paul FINNEGAN Independent,skipped,skipped,2
4,Paul FINNEGAN Independent,skipped,skipped,2
5,Paul FINNEGAN Independent,skipped,skipped,2
6,Paul FINNEGAN Independent,skipped,skipped,2
7,Paul FINNEGAN Independent,skipped,skipped,2
8,Paul FINNEGAN Independent,skipped,skipped,2
9,Paul FINNEGAN Independent,skipped,skipped,2
10,Paul FINNEGAN Independent,skipped,skipped,2
11,Paul FINNEGAN Independent,skipped,skipped,2
12,Paul FINNEGAN Independent,skipped,skipped,2
13,Paul FINNEGAN Independent,skipped,skipped,2
14,Paul FINNEGAN Independent,skipped,skipped,2
15,Paul FINNEGAN Independent,skipped,skipped,2
16,Paul FINNEGAN Independent,skipped,skipped,2
17,Paul FINNEGAN Independent,skipped,skipped,2
18,Paul FINNEGAN Independent,skipped,skipped,2
19,Paul FINNEGAN Independent,skipped,skipped,2
20,Paul FINNEGAN Independent,skipped,skipped,2
21,Paul FINNEGAN Independent,skipped,skipped,2
22,Paul FINNEGAN Independent,skipped,skipped,2
23,Paul FINNEGAN Independent,skipped,skipped,2
24,Paul FINNEGAN Independent,skipped,skipped,2
25,Paul FINNEGAN Independent,skipped,skipped,2
26,Paul FINNEGAN Independent,skipped,skipped,2
27,Paul FINNEGAN Independent,skipped,skipped,2
28,Paul FINNEGAN Independent,skipped,skipped,2
29,Paul FINNEGAN Independent,skipped,skipped,2
30,Paul FINNEGAN Independent,skipped,skipped,2
31,Paul FINNEGAN Independent,skipped,skipped,2
32,Paul FINNEGAN Independent,skipped,skipped,2
33,Paul FINNEGAN Independent,skipped,skipped,2
34,Paul FINNEGAN Independent,skipped,skipped,2
35,Paul FINNEGAN Independent,skipped,skipped,2
36,Paul FINNEGAN Independent,skipped,skipped,2
37,Paul FINNEGAN Independent,skipped,skipped,2
38,Paul FINNEGAN Independent,skipped,skipped,2
39,Paul FINNEGAN Independent,skipped,skipped,2
40,Paul FINNEGAN Independent,skipped,skipped,2
41,Paul FINNEGAN Independent,skipped,skipped,2
42,Paul FINNEGAN Independent,skipped,skipped,2
43,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
44,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
45,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
46,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
47,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
48,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
49,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
50,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
51,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
52,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
53,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
54,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
55,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
56,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
57,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
58,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
59,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
60,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
61,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
62,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
63,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
64,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
65,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
66,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
67,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
68,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
69,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
70,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
71,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
72,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
73,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
74,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
75,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
76,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
77,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
78,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
79,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
80,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
81,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
82,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
83,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
84,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
85,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
86,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
87,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
88,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
89,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
90,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
91,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
92,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
93,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
94,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
95,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
96,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
97,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
98,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
99,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
100,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
101,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
102,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
103,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
104,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
105,Paul FINNEGAN Independent,Grant FULTON Independent,skipped,2
