voter_id,rank1,rank2,rank3,rank4,num_positions
0,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
1,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
2,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
3,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
4,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
5,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
6,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
7,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
8,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
9,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
10,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
11,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
12,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
13,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
14,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
15,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
16,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
17,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
18,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
19,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
20,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
21,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
22,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
23,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
24,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
25,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
26,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
27,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
28,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
29,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
30,Ken Smith (SNP),Mark Irvine (Ind),Robert MacIntyre (Ind),skipped,1
