ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
01010_00457_000254,BT32,Vote by Mail,"EBMUD, Ward #5",UTILITY DISTRICTS,334510,334510,Election Office,PATRICE BERRY,skipped,skipped,skipped,skipped,3,1
01010_00457_000261,BT32,Vote by Mail,"EBMUD, Ward #5",UTILITY DISTRICTS,334510,334510,Election Office,PATRICE BERRY,SASHA RITZIE-HERNANDEZ,skipped,skipped,skipped,3,1
02008_00047_000063,BT36,Election Day,"EBMUD, Ward #6",UTILITY DISTRICTS,354910,354910,Election Office,SASHA RITZIE-HERNANDEZ,PATRICE BERRY,skipped,skipped,skipped,3,1
01002_00400_000027,BT36,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,354700,354700,Election Office,SASHA RITZIE-HERNANDEZ,PATRICE BERRY,skipped,skipped,skipped,3,1
01002_00400_000022,BT37,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,347200,347200,Election Office,PATRICE BERRY,skipped,skipped,skipped,skipped,3,1
01002_00400_000009,BT36,Vote by Mail,"EBMUD, Ward #6",UTILITY DISTRICTS,354700,354700,Election Office,PATRICE BERRY,SASHA RITZIE-HERNANDEZ,skipped,skipped,skipped,3,1
02007_00041_000051,BT34,Election Day,"EBMUD, Ward #5",UTILITY DISTRICTS,334800,334800,Election Office,PATRICE BERRY,skipped,skipped,skipped,skipped,3,1
02008_00105_000072,BT36,Election Day,"EBMUD, Ward #6",UTILITY DISTRICTS,356410,356410,Election Office,SASHA RITZIE-HERNANDEZ,PATRICE BERRY,skipped,skipped,skipped,3,1
02008_00105_000163,BT36,Election Day,"EBMUD, Ward #6",UTILITY DISTRICTS,356410,356410,Election Office,PATRICE BERRY,SASHA RITZIE-HERNANDEZ,skipped,skipped,skipped,3,1
02008_00105_000302,BT36,Election Day,"EBMUD, Ward #6",UTILITY DISTRICTS,355100,355100,Election Office,PATRICE BERRY,SASHA RITZIE-HERNANDEZ,Write-in,skipped,skipped,3,1
03002_00002_000458,BT34,Election Day,"EBMUD, Ward #5",UTILITY DISTRICTS,334800,334800,Election Office,PATRICE BERRY,SASHA RITZIE-HERNANDEZ,skipped,skipped,skipped,3,1
03002_00002_000546,BT36,Election Day,"EBMUD, Ward #6",UTILITY DISTRICTS,354910,354910,Election Office,PATRICE BERRY,skipped,skipped,skipped,skipped,3,1
03002_00002_000544,BT36,Election Day,"EBMUD, Ward #6",UTILITY DISTRICTS,355100,355100,Election Office,SASHA RITZIE-HERNANDEZ,skipped,skipped,skipped,skipped,3,1
03002_00002_000614,BT36,Election Day,"EBMUD, Ward #6",UTILITY DISTRICTS,355100,355100,Election Office,PATRICE BERRY,skipped,skipped,skipped,skipped,3,1
03002_00002_000538,BT36,Election Day,"EBMUD, Ward #6",UTILITY DISTRICTS,354700,354700,Election Office,PATRICE BERRY,SASHA RITZIE-HERNANDEZ,skipped,skipped,skipped,3,1
